Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  10.367 ,  10.500 ,  5.265 ,  4.603 ,  5.202 ,  4.684 ,  9.955 ,  11.745 ,  24.714 ,  42.482 ,  43.030 ,  42.964 ,  19.580 ,  21.318 ,  28.842 ,  28.212 ,  37.708 ,  20.475 ,  37.492 ,  55.258 ,  57.160 ,  50.219 ,  35.584 
Fevereiro,  9.105 ,  7.977 ,  4.030 ,  4.168 ,  4.444 ,  3.980 ,  8.918 ,  9.585 ,  20.837 ,  37.917 ,  27.927 ,  29.037 ,  16.766 ,  22.181 ,  24.272 ,  36.680 ,  27.281 ,  17.795 ,  32.664 ,  46.131 ,  46.914 ,  45.317 ,  37.360 
Março,  8.536 ,  7.376 ,  3.804 ,  2.776 ,  5.643 ,  4.340 ,  8.236 ,  11.786 ,  24.981 ,  39.653 ,  34.120 ,  27.655 ,  18.253 ,  20.035 ,  23.569 ,  42.798 ,  22.438 ,  18.557 ,  32.231 ,  45.466 ,  37.687 ,  46.747 ,  55.883 
Abril,  8.058 ,  5.508 ,  4.331 ,  3.278 ,  5.076 ,  4.296 ,  6.305 ,  10.887 ,  27.391 ,  46.346 ,  39.478 ,  14.482 ,  17.198 ,  18.350 ,  21.791 ,  42.688 ,  21.339 ,  16.472 ,  27.380 ,  46.183 ,  27.316 ,  43.390 ,  44.177 
Maio,  8.013 ,  5.237 ,  4.388 ,  2.941 ,  4.501 ,  4.671 ,  6.548 ,  11.795 ,  29.631 ,  43.832 ,  42.308 ,  14.929 ,  16.832 ,  16.546 ,  20.231 ,  38.598 ,  26.126 ,  18.582 ,  27.844 ,  47.188 ,  26.722 ,  40.735 ,  42.494 
Junho,  6.527 ,  5.547 ,  4.135 ,  4.136 ,  4.863 ,  4.893 ,  7.439 ,  12.296 ,  30.292 ,  46.108 ,  43.787 ,  17.712 ,  17.334 ,  17.815 ,  18.330 ,  42.758 ,  25.870 ,  18.105 ,  38.993 ,  47.229 ,  32.283 ,  35.983 ,  43.863 
Julho,  8.602 ,  4.818 ,  4.330 ,  4.714 ,  5.174 ,  5.218 ,  7.112 ,  13.556 ,  32.855 ,  49.333 ,  46.529 ,  18.442 ,  13.318 ,  20.711 ,  18.950 ,  43.468 ,  25.733 ,  20.341 ,  37.309 ,  50.026 ,  36.590 ,  36.723 ,
Agosto,  8.059 ,  4.758 ,  2.975 ,  3.864 ,  4.963 ,  5.255 ,  7.993 ,  15.102 ,  32.495 ,  45.231 ,  49.752 ,  17.717 ,  14.032 ,  19.709 ,  18.717 ,  42.325 ,  26.493 ,  25.926 ,  42.873 ,  46.626 ,  43.710 ,  33.590 ,
Setembro,  7.359 ,  4.289 ,  4.414 ,  4.473 ,  5.203 ,  5.998 ,  7.145 ,  15.020 ,  34.315 ,  49.893 ,  52.187 ,  17.482 ,  12.528 ,  19.079 ,  19.475 ,  44.587 ,  22.439 ,  27.784 ,  49.054 ,  45.658 ,  43.485 ,  32.922 ,
Outubro,  7.063 ,  4.457 ,  5.194 ,  4.671 ,  5.373 ,  6.605 ,  7.324 ,  19.500 ,  37.362 ,  49.513 ,  48.564 ,  15.897 ,  15.748 ,  20.933 ,  22.642 ,  51.934 ,  23.988 ,  28.419 ,  59.709 ,  52.375 ,  45.690 ,  33.721 ,
Novembro,  8.173 ,  4.252 ,  3.742 ,  4.493 ,  4.242 ,  7.025 ,  8.057 ,  20.369 ,  34.520 ,  39.459 ,  31.619 ,  16.297 ,  15.147 ,  19.695 ,  23.615 ,  44.584 ,  21.531 ,  29.952 ,  59.323 ,  51.791 ,  43.046 ,  32.018 ,
Dezembro,  11.660 ,  4.814 ,  3.743 ,  5.754 ,  4.868 ,  10.148 ,  10.494 ,  22.312 ,  40.113 ,  51.404 ,  39.060 ,  21.616 ,  20.877 ,  29.167 ,  30.753 ,  49.488 ,  25.101 ,  34.950 ,  56.405 ,  61.068 ,  53.672 ,  37.779 ,
