Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  6.138 ,  4.940 ,  3.884 ,  3.703 ,  2.683 ,  2.571 ,  6.360 ,  7.483 ,  12.259 ,  15.325 ,  11.660 ,  14.922 ,  7.356 ,  8.923 ,  10.214 ,  11.745 ,  14.213 ,  10.623 ,  13.437 ,  13.931 ,  18.413 ,  14.257 ,  9.434 
Fevereiro,  5.303 ,  4.244 ,  3.256 ,  3.204 ,  2.386 ,  2.411 ,  5.668 ,  6.796 ,  10.978 ,  12.883 ,  7.807 ,  11.839 ,  7.448 ,  7.842 ,  9.093 ,  12.777 ,  11.975 ,  9.449 ,  10.208 ,  12.099 ,  15.773 ,  14.100 ,  9.500 
Março,  5.266 ,  4.636 ,  3.487 ,  2.312 ,  2.480 ,  2.897 ,  5.336 ,  7.799 ,  11.996 ,  13.761 ,  7.743 ,  12.620 ,  8.816 ,  8.044 ,  8.259 ,  14.565 ,  12.235 ,  9.964 ,  12.299 ,  13.728 ,  11.699 ,  15.227 ,  13.121 
Abril,  5.369 ,  4.347 ,  3.665 ,  2.544 ,  2.782 ,  3.559 ,  4.731 ,  7.283 ,  11.940 ,  13.981 ,  9.610 ,  7.147 ,  7.847 ,  8.010 ,  8.105 ,  14.713 ,  11.427 ,  7.927 ,  11.041 ,  14.439 ,  7.128 ,  10.876 ,  12.712 
Maio,  6.685 ,  4.682 ,  3.780 ,  2.616 ,  3.139 ,  3.430 ,  4.813 ,  7.785 ,  12.850 ,  12.706 ,  12.000 ,  8.459 ,  7.498 ,  7.092 ,  8.217 ,  13.913 ,  11.529 ,  9.578 ,  12.595 ,  14.130 ,  5.556 ,  11.949 ,  11.627 
Junho,  5.700 ,  4.433 ,  3.742 ,  2.802 ,  3.469 ,  2.886 ,  4.675 ,  7.840 ,  12.407 ,  13.773 ,  13.510 ,  9.712 ,  6.449 ,  7.941 ,  8.235 ,  14.046 ,  12.505 ,  9.219 ,  16.813 ,  12.072 ,  8.017 ,  9.819 ,  10.943 
Julho,  7.204 ,  4.675 ,  3.708 ,  3.270 ,  3.845 ,  3.656 ,  5.033 ,  8.459 ,  13.976 ,  16.665 ,  14.995 ,  8.466 ,  7.125 ,  8.221 ,  9.150 ,  14.619 ,  12.144 ,  9.155 ,  13.696 ,  12.383 ,  10.237 ,  10.249 ,
Agosto,  6.242 ,  4.065 ,  3.931 ,  2.528 ,  3.118 ,  3.317 ,  5.150 ,  9.726 ,  11.813 ,  16.030 ,  15.812 ,  8.261 ,  8.155 ,  8.008 ,  8.623 ,  13.838 ,  12.545 ,  11.096 ,  13.356 ,  13.515 ,  12.315 ,  8.300 ,
Setembro,  6.821 ,  3.987 ,  3.450 ,  2.880 ,  2.937 ,  3.543 ,  5.299 ,  9.917 ,  12.441 ,  16.437 ,  16.419 ,  7.606 ,  7.701 ,  7.526 ,  8.685 ,  14.096 ,  11.540 ,  11.211 ,  14.826 ,  13.169 ,  13.403 ,  8.343 ,
Outubro,  5.751 ,  3.573 ,  4.091 ,  2.761 ,  3.037 ,  3.322 ,  5.608 ,  11.623 ,  13.655 ,  16.161 ,  15.523 ,  7.968 ,  8.359 ,  8.060 ,  9.414 ,  17.209 ,  10.760 ,  10.599 ,  18.024 ,  14.630 ,  13.941 ,  10.059 ,
Novembro,  5.483 ,  3.722 ,  3.630 ,  2.680 ,  2.701 ,  3.537 ,  6.095 ,  11.586 ,  12.934 ,  12.568 ,  15.155 ,  8.156 ,  8.632 ,  8.037 ,  10.024 ,  14.519 ,  9.971 ,  11.232 ,  16.846 ,  13.764 ,  12.829 ,  11.935 ,
Dezembro,  5.671 ,  4.005 ,  3.633 ,  2.937 ,  3.047 ,  5.373 ,  7.332 ,  11.580 ,  15.692 ,  14.303 ,  17.271 ,  8.450 ,  8.034 ,  10.162 ,  11.916 ,  16.550 ,  12.457 ,  12.796 ,  16.570 ,  18.649 ,  15.638 ,  12.471 ,
