Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  11.688 ,  9.752 ,  8.613 ,  8.073 ,  5.808 ,  4.736 ,  6.549 ,  6.704 ,  11.935 ,  14.782 ,  7.414 ,  8.659 ,  4.414 ,  4.234 ,  6.547 ,  6.929 ,  5.045 ,  1.815 ,  4.057 ,  8.890 ,  11.873 ,  12.823 ,  3.985 
Fevereiro,  13.408 ,  9.235 ,  7.877 ,  6.767 ,  5.494 ,  5.055 ,  6.087 ,  6.618 ,  13.730 ,  15.251 ,  5.172 ,  6.663 ,  5.068 ,  7.106 ,  6.705 ,  10.463 ,  3.828 ,  1.574 ,  4.785 ,  11.407 ,  9.766 ,  17.552 ,  5.087 
Março,  13.389 ,  10.571 ,  9.191 ,  6.872 ,  6.806 ,  6.775 ,  5.346 ,  9.042 ,  14.307 ,  18.558 ,  7.676 ,  6.095 ,  6.319 ,  7.205 ,  5.850 ,  11.875 ,  3.453 ,  1.663 ,  4.042 ,  11.341 ,  6.591 ,  14.109 ,  9.135 
Abril,  12.681 ,  10.144 ,  9.057 ,  7.143 ,  7.997 ,  6.140 ,  5.015 ,  6.367 ,  12.986 ,  18.622 ,  10.483 ,  3.041 ,  4.675 ,  6.924 ,  5.643 ,  10.106 ,  2.999 ,  1.438 ,  4.435 ,  14.403 ,  3.658 ,  10.381 ,  8.696 
Maio,  13.047 ,  10.515 ,  9.425 ,  7.731 ,  6.226 ,  5.563 ,  5.888 ,  7.442 ,  14.122 ,  18.901 ,  12.329 ,  8.038 ,  4.900 ,  6.390 ,  5.581 ,  9.596 ,  3.927 ,  1.778 ,  6.705 ,  16.872 ,  5.841 ,  9.718 ,  7.639 
Junho,  10.144 ,  10.039 ,  8.334 ,  7.117 ,  5.912 ,  6.200 ,  6.098 ,  9.565 ,  13.738 ,  22.446 ,  13.411 ,  9.362 ,  4.686 ,  6.207 ,  5.194 ,  9.275 ,  4.405 ,  1.293 ,  9.283 ,  14.945 ,  8.723 ,  7.890 ,  7.939 
Julho,  12.938 ,  9.366 ,  9.394 ,  7.620 ,  6.678 ,  5.609 ,  5.856 ,  13.674 ,  14.114 ,  23.708 ,  13.263 ,  7.531 ,  4.437 ,  6.214 ,  5.646 ,  9.210 ,  4.143 ,  2.063 ,  14.348 ,  15.244 ,  12.706 ,  8.459 ,
Agosto,  12.318 ,  10.331 ,  9.926 ,  7.201 ,  6.507 ,  6.574 ,  7.296 ,  18.021 ,  15.299 ,  22.900 ,  14.508 ,  8.693 ,  4.784 ,  6.593 ,  5.859 ,  9.499 ,  3.905 ,  4.712 ,  23.220 ,  16.070 ,  13.177 ,  9.068 ,
Setembro,  11.603 ,  9.399 ,  9.470 ,  7.492 ,  6.759 ,  7.018 ,  6.798 ,  16.792 ,  15.524 ,  24.183 ,  15.312 ,  8.089 ,  4.686 ,  6.251 ,  6.216 ,  9.936 ,  3.696 ,  8.022 ,  29.567 ,  16.555 ,  14.377 ,  7.189 ,
Outubro,  11.976 ,  9.824 ,  9.830 ,  7.246 ,  6.160 ,  7.003 ,  8.209 ,  20.957 ,  17.141 ,  23.809 ,  12.869 ,  6.846 ,  4.983 ,  7.025 ,  6.588 ,  10.875 ,  2.783 ,  4.869 ,  32.680 ,  17.827 ,  21.062 ,  7.186 ,
Novembro,  11.419 ,  8.931 ,  7.682 ,  7.316 ,  5.637 ,  7.452 ,  8.459 ,  20.590 ,  14.562 ,  17.303 ,  10.329 ,  5.342 ,  4.271 ,  6.655 ,  6.674 ,  7.219 ,  2.180 ,  6.186 ,  20.800 ,  15.938 ,  27.472 ,  5.938 ,
Dezembro,  12.338 ,  9.700 ,  8.606 ,  8.591 ,  6.214 ,  9.433 ,  9.256 ,  14.449 ,  17.318 ,  18.892 ,  11.368 ,  5.660 ,  4.912 ,  7.212 ,  7.411 ,  7.395 ,  2.618 ,  5.877 ,  13.709 ,  18.352 ,  14.527 ,  5.228 ,
