Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  16.683 ,  13.461 ,  13.806 ,  13.793 ,  13.411 ,  12.588 ,  18.409 ,  27.573 ,  44.942 ,  53.005 ,  52.108 ,  69.732 ,  49.171 ,  58.406 ,  77.635 ,  88.257 ,  89.178 ,  64.808 ,  106.932 ,  133.698 ,  139.384 ,  139.874 ,  95.286 
Fevereiro,  16.256 ,  12.083 ,  11.721 ,  10.407 ,  12.368 ,  11.664 ,  16.227 ,  26.041 ,  44.565 ,  50.992 ,  42.348 ,  55.903 ,  53.966 ,  57.099 ,  74.816 ,  85.465 ,  81.883 ,  60.210 ,  94.345 ,  124.220 ,  134.413 ,  131.012 ,  107.523 
Março,  15.730 ,  12.802 ,  13.071 ,  9.793 ,  15.253 ,  12.775 ,  11.588 ,  30.913 ,  47.566 ,  56.402 ,  57.383 ,  34.205 ,  55.745 ,  66.202 ,  69.867 ,  96.932 ,  82.638 ,  70.408 ,  112.115 ,  138.630 ,  112.856 ,  119.516 ,  124.773 
Abril,  16.199 ,  12.326 ,  13.345 ,  10.823 ,  15.030 ,  9.560 ,  10.510 ,  27.408 ,  49.528 ,  60.328 ,  66.898 ,  24.801 ,  50.420 ,  62.150 ,  66.808 ,  100.082 ,  80.909 ,  68.474 ,  100.202 ,  143.590 ,  99.707 ,  129.211 ,  126.589 
Maio,  16.347 ,  13.204 ,  13.383 ,  10.914 ,  15.017 ,  9.024 ,  16.580 ,  30.106 ,  48.807 ,  57.691 ,  68.788 ,  55.762 ,  50.691 ,  61.641 ,  67.496 ,  98.206 ,  94.882 ,  74.054 ,  103.762 ,  148.984 ,  106.822 ,  125.248 ,  129.283 
Junho,  16.203 ,  13.380 ,  12.977 ,  10.526 ,  12.399 ,  8.660 ,  17.184 ,  35.791 ,  47.536 ,  61.830 ,  70.665 ,  69.205 ,  53.460 ,  64.682 ,  69.003 ,  103.728 ,  92.999 ,  75.892 ,  125.460 ,  138.598 ,  110.632 ,  117.973 ,  129.251 
Julho,  17.654 ,  12.853 ,  15.925 ,  13.305 ,  16.897 ,  9.849 ,  18.814 ,  34.312 ,  53.775 ,  71.441 ,  79.906 ,  68.824 ,  56.974 ,  72.868 ,  75.765 ,  110.037 ,  97.507 ,  75.532 ,  132.010 ,  150.193 ,  118.256 ,  124.505 ,
Agosto,  14.287 ,  12.871 ,  14.546 ,  11.766 ,  12.631 ,  10.636 ,  20.525 ,  40.642 ,  50.926 ,  67.813 ,  78.664 ,  72.313 ,  61.452 ,  76.886 ,  77.325 ,  107.797 ,  97.658 ,  92.945 ,  145.430 ,  151.407 ,  128.344 ,  122.709 ,
Setembro,  16.088 ,  12.266 ,  16.075 ,  11.946 ,  14.321 ,  13.449 ,  23.935 ,  39.974 ,  54.113 ,  71.468 ,  83.208 ,  68.462 ,  61.917 ,  77.478 ,  81.742 ,  113.764 ,  96.921 ,  104.781 ,  143.146 ,  149.724 ,  141.479 ,  118.476 ,
Outubro,  14.594 ,  11.636 ,  18.054 ,  13.340 ,  14.135 ,  13.732 ,  25.670 ,  48.332 ,  57.235 ,  75.896 ,  82.835 ,  67.994 ,  68.936 ,  87.275 ,  87.653 ,  122.900 ,  87.802 ,  110.556 ,  160.426 ,  159.450 ,  160.560 ,  116.505 ,
Novembro,  14.365 ,  12.396 ,  14.069 ,  13.827 ,  13.054 ,  15.500 ,  26.346 ,  46.662 ,  51.073 ,  67.803 ,  80.279 ,  57.611 ,  64.060 ,  83.373 ,  83.597 ,  100.771 ,  74.410 ,  101.125 ,  143.623 ,  154.542 ,  142.270 ,  107.990 ,
Dezembro,  16.020 ,  13.766 ,  14.218 ,  14.951 ,  15.580 ,  21.939 ,  32.793 ,  47.552 ,  60.524 ,  79.012 ,  87.996 ,  60.259 ,  61.951 ,  84.486 ,  94.519 ,  112.825 ,  81.716 ,  123.190 ,  149.115 ,  159.840 ,  163.024 ,  121.344 ,
