Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.596 ,  1.182 ,  881 ,  1.065 ,  713 ,  1.066 ,  1.534 ,  2.661 ,  6.754 ,  10.855 ,  7.158 ,  5.665 ,  1.970 ,  2.224 ,  4.044 ,  4.565 ,  3.492 ,  2.172 ,  2.459 ,  3.386 ,  4.977 ,  4.315 ,  3.489 
Fevereiro,  1.373 ,  988 ,  769 ,  679 ,  656 ,  655 ,  2.131 ,  2.392 ,  6.378 ,  9.647 ,  2.613 ,  5.017 ,  1.718 ,  1.932 ,  3.360 ,  4.322 ,  2.853 ,  1.639 ,  1.919 ,  2.869 ,  3.236 ,  4.472 ,  5.814 
Março,  1.136 ,  1.017 ,  696 ,  625 ,  670 ,  688 ,  1.117 ,  2.904 ,  6.879 ,  10.989 ,  3.380 ,  4.597 ,  1.940 ,  1.826 ,  3.712 ,  4.903 ,  3.027 ,  1.780 ,  1.958 ,  3.200 ,  2.721 ,  5.479 ,  9.771 
Abril,  1.226 ,  1.064 ,  819 ,  509 ,  629 ,  661 ,  866 ,  2.713 ,  7.388 ,  11.081 ,  5.205 ,  2.214 ,  1.889 ,  1.950 ,  3.626 ,  4.793 ,  2.568 ,  1.658 ,  1.981 ,  3.694 ,  1.872 ,  3.778 ,  10.273 
Maio,  1.306 ,  954 ,  715 ,  532 ,  714 ,  693 ,  984 ,  2.807 ,  8.304 ,  11.177 ,  7.366 ,  2.589 ,  1.770 ,  1.663 ,  3.286 ,  4.912 ,  2.759 ,  1.970 ,  2.600 ,  4.224 ,  1.730 ,  3.656 ,  7.022 
Junho,  1.255 ,  857 ,  716 ,  610 ,  646 ,  715 ,  980 ,  3.199 ,  8.019 ,  12.259 ,  8.032 ,  2.667 ,  1.613 ,  1.638 ,  3.034 ,  4.497 ,  2.841 ,  1.911 ,  3.270 ,  3.587 ,  2.324 ,  3.456 ,  8.786 
Julho,  1.896 ,  1.078 ,  853 ,  704 ,  724 ,  783 ,  1.049 ,  3.935 ,  9.291 ,  13.819 ,  9.883 ,  2.355 ,  2.359 ,  2.101 ,  3.472 ,  4.741 ,  4.375 ,  1.781 ,  3.225 ,  4.077 ,  3.397 ,  4.078 ,
Agosto,  1.407 ,  1.067 ,  856 ,  793 ,  587 ,  854 ,  1.168 ,  4.697 ,  8.877 ,  13.199 ,  10.371 ,  2.101 ,  2.745 ,  1.910 ,  3.197 ,  4.641 ,  3.772 ,  2.335 ,  3.591 ,  3.871 ,  3.442 ,  6.821 ,
Setembro,  1.523 ,  856 ,  772 ,  759 ,  789 ,  996 ,  1.134 ,  4.842 ,  9.846 ,  13.765 ,  10.802 ,  1.954 ,  2.305 ,  1.618 ,  2.917 ,  5.069 ,  2.554 ,  2.631 ,  3.864 ,  3.484 ,  3.884 ,  3.778 ,
Outubro,  1.461 ,  851 ,  954 ,  787 ,  748 ,  1.188 ,  1.491 ,  5.936 ,  9.200 ,  13.033 ,  8.969 ,  1.891 ,  1.919 ,  2.591 ,  3.450 ,  5.553 ,  2.527 ,  2.430 ,  4.643 ,  4.286 ,  3.748 ,  6.760 ,
Novembro,  1.362 ,  702 ,  694 ,  675 ,  675 ,  1.237 ,  1.735 ,  6.430 ,  12.696 ,  10.963 ,  7.875 ,  1.985 ,  1.981 ,  2.950 ,  4.064 ,  4.453 ,  2.214 ,  2.608 ,  4.225 ,  4.745 ,  3.305 ,  4.062 ,
Dezembro,  1.212 ,  811 ,  808 ,  866 ,  704 ,  1.737 ,  2.404 ,  6.580 ,  13.726 ,  11.862 ,  6.805 ,  2.167 ,  1.630 ,  4.043 ,  4.483 ,  4.765 ,  2.496 ,  2.704 ,  3.564 ,  5.580 ,  4.546 ,  4.264 ,
