Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  47.585 ,  35.371 ,  27.588 ,  39.539 ,  34.891 ,  32.096 ,  35.624 ,  43.644 ,  70.149 ,  91.519 ,  58.768 ,  62.326 ,  39.119 ,  50.946 ,  70.327 ,  77.322 ,  114.404 ,  81.348 ,  167.814 ,  254.649 ,  264.537 ,  249.167 ,  128.562 
Fevereiro,  52.737 ,  28.849 ,  24.446 ,  31.462 ,  32.137 ,  27.275 ,  27.750 ,  34.850 ,  63.337 ,  84.373 ,  39.216 ,  55.127 ,  40.351 ,  51.100 ,  62.180 ,  82.846 ,  94.476 ,  72.639 ,  145.775 ,  239.158 ,  237.695 ,  237.411 ,  154.615 
Março,  48.458 ,  35.484 ,  22.087 ,  28.772 ,  34.161 ,  29.712 ,  24.778 ,  38.889 ,  67.776 ,  92.266 ,  51.765 ,  47.115 ,  41.682 ,  49.491 ,  52.139 ,  106.232 ,  89.797 ,  85.154 ,  157.390 ,  240.448 ,  196.267 ,  209.422 ,  210.331 
Abril,  46.727 ,  31.924 ,  28.238 ,  29.365 ,  33.503 ,  28.446 ,  22.700 ,  35.760 ,  74.585 ,  100.249 ,  68.011 ,  32.474 ,  39.435 ,  61.217 ,  56.718 ,  141.119 ,  100.900 ,  87.119 ,  157.549 ,  246.560 ,  171.020 ,  214.484 ,  196.145 
Maio,  53.943 ,  37.098 ,  36.090 ,  29.438 ,  35.008 ,  30.100 ,  27.865 ,  39.031 ,  76.636 ,  102.049 ,  72.585 ,  48.476 ,  41.118 ,  50.477 ,  52.818 ,  144.302 ,  148.179 ,  95.729 ,  153.488 ,  258.251 ,  190.792 ,  214.706 ,  174.497 
Junho,  46.728 ,  36.284 ,  35.295 ,  26.013 ,  32.716 ,  29.786 ,  28.572 ,  42.971 ,  75.420 ,  101.280 ,  78.597 ,  52.849 ,  40.103 ,  55.634 ,  54.189 ,  161.694 ,  144.603 ,  102.075 ,  194.808 ,  246.401 ,  195.568 ,  180.432 ,  190.399 
Julho,  49.472 ,  31.751 ,  40.687 ,  33.266 ,  39.088 ,  31.486 ,  32.285 ,  50.977 ,  83.053 ,  116.055 ,  87.208 ,  47.868 ,  42.439 ,  65.123 ,  59.753 ,  184.977 ,  149.502 ,  109.252 ,  219.567 ,  279.445 ,  218.064 ,  191.592 ,
Agosto,  44.236 ,  33.723 ,  36.348 ,  30.460 ,  33.570 ,  35.524 ,  30.555 ,  53.870 ,  79.875 ,  107.644 ,  80.878 ,  51.075 ,  42.984 ,  64.431 ,  58.873 ,  186.041 ,  147.611 ,  137.358 ,  243.840 ,  269.578 ,  224.458 ,  186.698 ,
Setembro,  42.570 ,  28.158 ,  35.679 ,  28.422 ,  36.181 ,  38.680 ,  33.913 ,  55.943 ,  85.222 ,  112.883 ,  83.824 ,  42.672 ,  43.188 ,  63.833 ,  62.093 ,  197.828 ,  146.962 ,  159.819 ,  240.703 ,  271.952 ,  245.895 ,  177.987 ,
Outubro,  41.070 ,  28.825 ,  47.216 ,  29.904 ,  36.532 ,  32.995 ,  34.362 ,  67.096 ,  91.731 ,  107.304 ,  74.597 ,  42.584 ,  51.340 ,  69.905 ,  67.616 ,  205.864 ,  117.074 ,  173.316 ,  276.755 ,  295.379 ,  270.740 ,  174.669 ,
Novembro,  38.942 ,  28.851 ,  35.272 ,  28.310 ,  33.288 ,  34.180 ,  32.339 ,  66.580 ,  83.550 ,  85.392 ,  68.218 ,  40.645 ,  48.939 ,  67.359 ,  67.471 ,  147.450 ,  88.256 ,  172.873 ,  254.276 ,  284.794 ,  246.950 ,  139.079 ,
Dezembro,  38.622 ,  35.348 ,  39.580 ,  39.311 ,  39.830 ,  41.201 ,  40.671 ,  73.131 ,  105.865 ,  103.415 ,  74.493 ,  45.553 ,  53.394 ,  77.380 ,  85.481 ,  154.262 ,  105.527 ,  191.901 ,  276.349 ,  304.301 ,  281.698 ,  168.196 ,
