Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  5.863 ,  3.152 ,  4.038 ,  4.808 ,  4.839 ,  4.287 ,  7.671 ,  7.095 ,  19.292 ,  30.463 ,  32.800 ,  27.062 ,  19.537 ,  37.374 ,  43.707 ,  50.005 ,  49.115 ,  46.260 ,  68.765 ,  76.132 ,  84.074 ,  76.140 ,  53.395 
Fevereiro,  6.017 ,  2.599 ,  3.618 ,  3.929 ,  4.071 ,  4.162 ,  6.479 ,  6.499 ,  17.736 ,  27.492 ,  28.477 ,  26.058 ,  20.160 ,  35.616 ,  37.685 ,  46.576 ,  48.345 ,  42.907 ,  61.716 ,  73.307 ,  78.627 ,  73.975 ,  57.730 
Março,  6.458 ,  3.825 ,  3.728 ,  3.562 ,  4.709 ,  5.280 ,  5.526 ,  7.199 ,  18.625 ,  30.329 ,  32.360 ,  27.165 ,  22.117 ,  38.234 ,  37.736 ,  53.768 ,  50.044 ,  51.416 ,  69.030 ,  78.348 ,  69.805 ,  74.083 ,  70.347 
Abril,  5.429 ,  2.780 ,  3.582 ,  3.395 ,  4.417 ,  5.294 ,  4.500 ,  7.008 ,  19.094 ,  32.420 ,  32.368 ,  17.806 ,  25.305 ,  38.985 ,  38.769 ,  56.416 ,  49.350 ,  48.314 ,  58.153 ,  81.008 ,  62.245 ,  74.758 ,  66.700 
Maio,  7.824 ,  2.650 ,  3.526 ,  2.210 ,  5.158 ,  5.342 ,  4.551 ,  5.605 ,  19.147 ,  29.174 ,  34.217 ,  25.432 ,  29.742 ,  39.507 ,  39.894 ,  53.813 ,  47.454 ,  52.222 ,  58.393 ,  81.568 ,  66.183 ,  73.359 ,  66.093 
Junho,  4.748 ,  3.156 ,  2.927 ,  2.029 ,  4.380 ,  5.550 ,  4.697 ,  6.508 ,  20.824 ,  30.835 ,  34.174 ,  31.839 ,  31.050 ,  38.310 ,  35.174 ,  56.383 ,  48.069 ,  51.890 ,  65.387 ,  74.438 ,  66.952 ,  71.954 ,  65.149 
Julho,  3.741 ,  5.782 ,  4.032 ,  3.232 ,  6.155 ,  5.657 ,  5.587 ,  7.378 ,  24.328 ,  35.643 ,  36.091 ,  32.021 ,  33.982 ,  41.225 ,  39.711 ,  60.042 ,  49.697 ,  54.827 ,  70.766 ,  85.641 ,  69.601 ,  72.478 ,
Agosto,  6.040 ,  5.965 ,  5.185 ,  2.713 ,  4.924 ,  6.206 ,  6.480 ,  8.552 ,  24.325 ,  32.817 ,  36.669 ,  32.335 ,  35.305 ,  40.504 ,  44.255 ,  59.531 ,  52.177 ,  59.672 ,  77.318 ,  84.283 ,  75.510 ,  71.517 ,
Setembro,  4.618 ,  3.226 ,  36.469 ,  2.591 ,  5.046 ,  5.908 ,  5.980 ,  10.387 ,  26.899 ,  34.587 ,  37.149 ,  30.251 ,  34.564 ,  40.706 ,  46.650 ,  63.415 ,  50.517 ,  61.753 ,  73.833 ,  84.649 ,  81.678 ,  69.591 ,
Outubro,  3.380 ,  3.084 ,  5.052 ,  2.978 ,  5.181 ,  6.237 ,  6.153 ,  14.083 ,  26.772 ,  37.743 ,  38.644 ,  33.204 ,  40.957 ,  45.434 ,  49.431 ,  69.810 ,  52.510 ,  64.422 ,  81.049 ,  92.384 ,  90.453 ,  68.372 ,
Novembro,  3.488 ,  3.834 ,  5.726 ,  3.528 ,  4.771 ,  7.782 ,  6.961 ,  12.855 ,  26.896 ,  33.835 ,  36.203 ,  29.916 ,  38.000 ,  44.352 ,  45.820 ,  62.996 ,  49.124 ,  66.532 ,  79.259 ,  89.404 ,  80.699 ,  55.149 ,
Dezembro,  3.566 ,  4.936 ,  6.320 ,  5.047 ,  5.600 ,  9.271 ,  7.880 ,  14.034 ,  32.912 ,  38.603 ,  37.160 ,  25.556 ,  41.140 ,  48.278 ,  55.214 ,  66.544 ,  53.547 ,  74.228 ,  76.954 ,  98.907 ,  89.786 ,  65.149 ,
