Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.224 ,  1.605 ,  832 ,  1.158 ,  782 ,  722 ,  1.094 ,  1.116 ,  2.104 ,  3.359 ,  2.483 ,  3.397 ,  2.537 ,  2.721 ,  3.162 ,  3.297 ,  3.680 ,  2.204 ,  3.395 ,  4.834 ,  5.233 ,  4.351 ,  2.846 
Fevereiro,  2.431 ,  1.284 ,  576 ,  756 ,  802 ,  664 ,  853 ,  814 ,  2.001 ,  3.192 ,  2.393 ,  3.026 ,  2.321 ,  2.577 ,  2.779 ,  3.868 ,  3.561 ,  1.694 ,  2.736 ,  4.181 ,  4.483 ,  4.443 ,  2.795 
Março,  2.230 ,  1.570 ,  705 ,  759 ,  1.313 ,  902 ,  748 ,  956 ,  2.171 ,  3.423 ,  2.533 ,  2.775 ,  2.513 ,  2.826 ,  2.683 ,  4.342 ,  3.450 ,  2.071 ,  3.089 ,  4.560 ,  3.633 ,  5.367 ,  4.180 
Abril,  2.804 ,  1.445 ,  718 ,  756 ,  788 ,  715 ,  672 ,  968 ,  2.118 ,  3.686 ,  3.168 ,  1.879 ,  2.524 ,  2.586 ,  2.616 ,  4.193 ,  3.062 ,  1.546 ,  3.000 ,  4.674 ,  2.160 ,  4.384 ,  3.789 
Maio,  2.811 ,  1.605 ,  784 ,  1.090 ,  880 ,  776 ,  846 ,  1.028 ,  2.366 ,  3.630 ,  3.463 ,  2.904 ,  2.614 ,  2.457 ,  2.678 ,  3.909 ,  3.559 ,  1.766 ,  3.084 ,  4.960 ,  1.848 ,  3.842 ,  3.568 
Junho,  2.211 ,  1.256 ,  740 ,  652 ,  627 ,  806 ,  715 ,  1.144 ,  2.428 ,  4.034 ,  4.029 ,  3.109 ,  2.409 ,  2.606 ,  2.406 ,  3.920 ,  3.152 ,  1.845 ,  4.265 ,  4.683 ,  2.575 ,  3.492 ,  9.829 
Julho,  3.350 ,  1.403 ,  925 ,  600 ,  842 ,  905 ,  848 ,  1.554 ,  2.836 ,  4.508 ,  4.991 ,  2.772 ,  2.498 ,  2.662 ,  2.701 ,  3.975 ,  3.135 ,  1.685 ,  4.281 ,  4.812 ,  3.354 ,  3.167 ,
Agosto,  3.156 ,  954 ,  843 ,  482 ,  850 ,  799 ,  744 ,  1.747 ,  2.651 ,  4.409 ,  4.972 ,  2.737 ,  2.542 ,  2.847 ,  2.521 ,  4.282 ,  3.013 ,  2.474 ,  4.956 ,  4.715 ,  4.158 ,  3.319 ,
Setembro,  2.705 ,  1.000 ,  893 ,  570 ,  996 ,  1.033 ,  824 ,  1.772 ,  3.207 ,  4.697 ,  5.112 ,  2.675 ,  2.440 ,  2.594 ,  2.560 ,  6.651 ,  2.845 ,  2.710 ,  5.938 ,  4.669 ,  4.047 ,  2.778 ,
Outubro,  2.457 ,  1.047 ,  867 ,  548 ,  880 ,  1.033 ,  934 ,  2.277 ,  3.184 ,  4.343 ,  4.932 ,  2.722 ,  2.951 ,  3.075 ,  2.814 ,  5.205 ,  2.638 ,  2.672 ,  6.918 ,  5.157 ,  4.341 ,  3.346 ,
Novembro,  1.716 ,  835 ,  1.115 ,  457 ,  840 ,  1.172 ,  994 ,  2.096 ,  2.933 ,  3.481 ,  4.514 ,  2.615 ,  2.636 ,  2.759 ,  2.936 ,  4.743 ,  2.249 ,  3.040 ,  6.265 ,  4.983 ,  3.719 ,  3.285 ,
Dezembro,  1.945 ,  812 ,  704 ,  1.000 ,  914 ,  1.282 ,  1.095 ,  2.278 ,  3.550 ,  3.430 ,  4.377 ,  2.954 ,  2.731 ,  3.247 ,  3.624 ,  4.582 ,  2.571 ,  3.548 ,  5.719 ,  6.150 ,  4.534 ,  3.448 ,
