Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  4.163 ,  2.435 ,  1.720 ,  2.538 ,  2.536 ,  2.400 ,  3.465 ,  5.241 ,  7.496 ,  8.583 ,  8.510 ,  8.241 ,  3.958 ,  4.313 ,  6.495 ,  8.069 ,  11.809 ,  6.443 ,  11.103 ,  20.973 ,  21.104 ,  17.712 ,  10.508 
Fevereiro,  3.490 ,  1.696 ,  1.737 ,  2.421 ,  2.050 ,  2.202 ,  2.866 ,  4.797 ,  7.091 ,  7.665 ,  5.792 ,  7.583 ,  3.708 ,  4.672 ,  5.319 ,  11.102 ,  8.198 ,  5.909 ,  10.431 ,  17.507 ,  16.788 ,  20.842 ,  10.369 
Março,  3.562 ,  1.993 ,  1.723 ,  2.444 ,  2.535 ,  2.816 ,  3.424 ,  5.575 ,  7.656 ,  8.449 ,  6.036 ,  6.819 ,  3.994 ,  4.212 ,  5.436 ,  13.419 ,  7.034 ,  6.419 ,  9.704 ,  15.505 ,  12.065 ,  18.055 ,  15.499 
Abril,  3.360 ,  2.086 ,  1.653 ,  2.652 ,  2.686 ,  2.611 ,  2.623 ,  4.705 ,  7.784 ,  8.820 ,  6.445 ,  4.176 ,  3.408 ,  4.904 ,  5.596 ,  12.683 ,  6.191 ,  5.556 ,  7.761 ,  14.900 ,  5.777 ,  9.604 ,  14.236 
Maio,  3.611 ,  2.166 ,  1.955 ,  2.737 ,  2.922 ,  2.579 ,  2.878 ,  4.565 ,  8.300 ,  8.364 ,  6.626 ,  4.122 ,  3.524 ,  4.287 ,  5.412 ,  11.783 ,  6.385 ,  5.911 ,  10.559 ,  13.149 ,  4.823 ,  8.717 ,  12.163 
Junho,  2.875 ,  2.072 ,  1.843 ,  2.444 ,  2.596 ,  2.835 ,  2.710 ,  4.765 ,  8.532 ,  9.771 ,  6.832 ,  4.470 ,  3.968 ,  4.132 ,  5.290 ,  11.224 ,  6.807 ,  5.123 ,  11.186 ,  11.287 ,  6.536 ,  6.971 ,  10.920 
Julho,  3.567 ,  2.049 ,  2.078 ,  2.372 ,  2.929 ,  2.786 ,  2.446 ,  4.751 ,  7.689 ,  10.440 ,  8.116 ,  3.589 ,  3.214 ,  4.249 ,  5.152 ,  10.633 ,  6.333 ,  4.573 ,  9.761 ,  11.418 ,  9.341 ,  5.832 ,
Agosto,  3.096 ,  2.018 ,  2.200 ,  2.561 ,  2.839 ,  2.985 ,  2.904 ,  4.951 ,  6.366 ,  9.717 ,  7.679 ,  3.728 ,  3.175 ,  4.327 ,  5.087 ,  9.810 ,  6.649 ,  6.254 ,  10.329 ,  10.410 ,  11.496 ,  6.040 ,
Setembro,  2.679 ,  1.846 ,  1.893 ,  2.406 ,  2.906 ,  3.326 ,  2.788 ,  4.850 ,  6.629 ,  10.385 ,  7.279 ,  3.554 ,  3.235 ,  4.052 ,  5.601 ,  9.725 ,  6.278 ,  6.582 ,  14.431 ,  10.817 ,  13.134 ,  6.016 ,
Outubro,  2.381 ,  1.762 ,  2.254 ,  2.477 ,  2.821 ,  2.784 ,  3.025 ,  5.862 ,  7.040 ,  10.440 ,  7.047 ,  3.355 ,  4.260 ,  4.682 ,  5.796 ,  11.421 ,  6.237 ,  6.578 ,  22.456 ,  13.243 ,  14.421 ,  10.323 ,
Novembro,  2.382 ,  1.555 ,  1.617 ,  2.331 ,  2.542 ,  2.982 ,  3.417 ,  6.579 ,  6.540 ,  9.166 ,  7.350 ,  3.845 ,  3.990 ,  4.375 ,  6.637 ,  10.138 ,  5.934 ,  7.743 ,  23.385 ,  15.532 ,  14.497 ,  11.472 ,
Dezembro,  2.712 ,  1.950 ,  1.952 ,  3.063 ,  2.691 ,  3.723 ,  4.051 ,  6.947 ,  8.538 ,  11.178 ,  8.848 ,  4.537 ,  4.283 ,  6.051 ,  8.108 ,  11.562 ,  7.190 ,  9.907 ,  24.079 ,  22.220 ,  16.249 ,  15.794 ,
