Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  24.091 ,  15.149 ,  9.921 ,  16.896 ,  6.934 ,  13.027 ,  22.012 ,  21.398 ,  45.297 ,  82.615 ,  52.293 ,  67.301 ,  34.052 ,  38.402 ,  59.548 ,  53.956 ,  43.579 ,  31.789 ,  49.958 ,  73.913 ,  62.293 ,  56.644 ,  48.583 
Fevereiro,  21.798 ,  13.999 ,  8.755 ,  16.189 ,  6.018 ,  10.838 ,  19.661 ,  19.896 ,  43.035 ,  66.727 ,  36.057 ,  65.908 ,  35.499 ,  40.229 ,  55.168 ,  48.695 ,  40.706 ,  29.989 ,  43.621 ,  64.489 ,  52.902 ,  50.853 ,  43.063 
Março,  22.463 ,  15.726 ,  9.329 ,  10.315 ,  5.943 ,  12.453 ,  13.710 ,  31.536 ,  49.616 ,  72.006 ,  38.444 ,  52.914 ,  37.483 ,  41.344 ,  49.045 ,  56.049 ,  40.195 ,  33.899 ,  49.022 ,  57.507 ,  38.277 ,  52.369 ,  55.017 
Abril,  19.821 ,  12.378 ,  11.251 ,  7.618 ,  7.220 ,  12.792 ,  11.615 ,  31.379 ,  53.339 ,  72.193 ,  54.854 ,  32.365 ,  34.451 ,  42.123 ,  48.346 ,  56.688 ,  39.446 ,  32.573 ,  44.827 ,  59.917 ,  28.550 ,  46.048 ,  48.968 
Maio,  18.887 ,  12.172 ,  9.872 ,  6.389 ,  7.929 ,  12.828 ,  14.102 ,  21.936 ,  53.322 ,  69.365 ,  68.772 ,  39.800 ,  35.377 ,  43.633 ,  47.703 ,  52.261 ,  40.657 ,  32.873 ,  45.118 ,  68.794 ,  31.601 ,  55.606 ,  45.010 
Junho,  18.428 ,  14.234 ,  10.551 ,  5.252 ,  6.722 ,  12.884 ,  14.593 ,  23.035 ,  51.440 ,  71.289 ,  71.453 ,  45.917 ,  33.830 ,  49.369 ,  43.859 ,  52.640 ,  39.201 ,  33.455 ,  52.022 ,  66.513 ,  37.191 ,  47.385 ,  44.110 
Julho,  21.406 ,  14.223 ,  16.627 ,  5.846 ,  9.215 ,  14.526 ,  16.831 ,  26.145 ,  54.684 ,  74.320 ,  81.570 ,  36.107 ,  34.058 ,  49.372 ,  45.451 ,  56.140 ,  41.294 ,  35.008 ,  57.447 ,  72.010 ,  45.540 ,  54.906 ,
Agosto,  16.109 ,  12.168 ,  15.742 ,  4.906 ,  7.425 ,  16.426 ,  17.486 ,  27.838 ,  55.489 ,  70.265 ,  68.123 ,  40.142 ,  37.807 ,  54.861 ,  45.232 ,  57.553 ,  41.890 ,  45.167 ,  71.136 ,  65.349 ,  48.113 ,  53.873 ,
Setembro,  16.305 ,  10.177 ,  17.121 ,  5.275 ,  9.174 ,  18.177 ,  20.931 ,  26.912 ,  59.767 ,  81.295 ,  65.436 ,  35.753 ,  35.576 ,  52.485 ,  46.286 ,  58.529 ,  42.622 ,  46.768 ,  75.133 ,  62.760 ,  51.915 ,  58.087 ,
Outubro,  17.833 ,  12.927 ,  20.339 ,  5.504 ,  11.421 ,  16.626 ,  20.324 ,  33.631 ,  70.993 ,  75.680 ,  66.731 ,  37.915 ,  39.038 ,  55.311 ,  48.602 ,  66.537 ,  39.149 ,  48.705 ,  84.181 ,  69.158 ,  58.869 ,  56.603 ,
Novembro,  18.411 ,  11.025 ,  12.850 ,  5.219 ,  16.105 ,  17.154 ,  27.036 ,  45.489 ,  65.498 ,  66.503 ,  60.648 ,  36.903 ,  37.026 ,  54.954 ,  45.598 ,  50.552 ,  32.956 ,  47.789 ,  79.195 ,  63.714 ,  51.088 ,  51.531 ,
Dezembro,  16.637 ,  11.393 ,  15.208 ,  8.769 ,  15.711 ,  22.797 ,  25.953 ,  50.209 ,  74.579 ,  70.555 ,  82.076 ,  40.735 ,  41.080 ,  60.993 ,  55.467 ,  54.714 ,  39.115 ,  55.747 ,  94.692 ,  72.856 ,  58.258 ,  58.736 ,
