Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.499 ,  1.197 ,  958 ,  1.363 ,  1.172 ,  1.065 ,  920 ,  1.271 ,  2.549 ,  4.647 ,  3.086 ,  3.198 ,  1.561 ,  1.611 ,  1.721 ,  1.713 ,  1.731 ,  995 ,  1.489 ,  905 ,  1.281 ,  1.149 ,  666 
Fevereiro,  3.594 ,  905 ,  1.014 ,  998 ,  1.014 ,  1.083 ,  849 ,  1.027 ,  2.325 ,  3.810 ,  1.758 ,  2.538 ,  1.511 ,  1.727 ,  1.336 ,  2.302 ,  1.253 ,  740 ,  1.201 ,  817 ,  1.205 ,  1.353 ,  629 
Março,  2.596 ,  924 ,  934 ,  989 ,  891 ,  1.051 ,  565 ,  1.224 ,  2.471 ,  4.377 ,  2.321 ,  2.478 ,  1.623 ,  1.761 ,  1.391 ,  2.649 ,  1.257 ,  850 ,  1.155 ,  1.143 ,  910 ,  1.435 ,  994 
Abril,  2.922 ,  1.113 ,  1.157 ,  875 ,  869 ,  772 ,  550 ,  1.085 ,  2.763 ,  4.422 ,  2.564 ,  1.848 ,  1.614 ,  1.691 ,  1.598 ,  2.234 ,  1.221 ,  637 ,  935 ,  1.507 ,  695 ,  1.287 ,  991 
Maio,  3.446 ,  1.108 ,  1.194 ,  1.085 ,  1.117 ,  1.055 ,  845 ,  1.287 ,  3.005 ,  4.426 ,  2.717 ,  2.199 ,  1.579 ,  1.801 ,  1.463 ,  2.179 ,  1.132 ,  757 ,  993 ,  1.712 ,  645 ,  1.204 ,  770 
Junho,  1.104 ,  1.109 ,  940 ,  1.025 ,  793 ,  1.103 ,  807 ,  1.307 ,  3.086 ,  4.854 ,  3.089 ,  2.224 ,  1.650 ,  1.603 ,  1.291 ,  2.262 ,  990 ,  589 ,  1.343 ,  1.218 ,  698 ,  1.054 ,  801 
Julho,  1.331 ,  1.098 ,  1.253 ,  951 ,  1.017 ,  1.323 ,  888 ,  1.630 ,  3.913 ,  5.241 ,  3.282 ,  2.119 ,  1.515 ,  1.869 ,  1.582 ,  2.457 ,  1.027 ,  768 ,  1.357 ,  1.134 ,  792 ,  952 ,
Agosto,  1.749 ,  1.147 ,  1.246 ,  1.012 ,  1.208 ,  1.279 ,  971 ,  1.982 ,  3.832 ,  5.414 ,  3.689 ,  2.242 ,  1.797 ,  1.715 ,  1.390 ,  2.402 ,  1.146 ,  913 ,  1.729 ,  989 ,  883 ,  911 ,
Setembro,  1.531 ,  1.032 ,  1.363 ,  949 ,  1.027 ,  1.211 ,  947 ,  2.281 ,  3.908 ,  5.854 ,  4.473 ,  1.827 ,  1.684 ,  1.578 ,  1.489 ,  2.422 ,  1.043 ,  1.158 ,  1.649 ,  1.377 ,  1.189 ,  890 ,
Outubro,  1.517 ,  1.126 ,  1.691 ,  923 ,  1.091 ,  1.049 ,  1.085 ,  2.861 ,  4.035 ,  5.165 ,  4.238 ,  1.907 ,  1.674 ,  1.731 ,  1.445 ,  3.418 ,  1.156 ,  985 ,  1.520 ,  1.534 ,  1.340 ,  805 ,
Novembro,  1.181 ,  648 ,  1.344 ,  774 ,  1.171 ,  1.223 ,  1.027 ,  2.809 ,  4.095 ,  4.233 ,  4.285 ,  1.918 ,  1.775 ,  1.536 ,  1.578 ,  2.686 ,  1.130 ,  1.307 ,  1.177 ,  1.498 ,  1.223 ,  814 ,
Dezembro,  1.151 ,  941 ,  1.447 ,  1.001 ,  1.369 ,  1.415 ,  1.166 ,  2.771 ,  4.601 ,  4.744 ,  4.578 ,  2.013 ,  1.716 ,  2.126 ,  1.850 ,  2.471 ,  1.445 ,  1.634 ,  1.093 ,  1.635 ,  1.383 ,  712 ,
