Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.409 ,  2.126 ,  1.765 ,  1.608 ,  1.115 ,  1.021 ,  1.228 ,  1.279 ,  2.374 ,  3.714 ,  3.991 ,  3.318 ,  1.852 ,  1.824 ,  2.089 ,  2.487 ,  3.180 ,  1.991 ,  4.032 ,  6.106 ,  7.171 ,  4.463 ,  3.416 
Fevereiro,  2.315 ,  1.750 ,  1.395 ,  1.220 ,  1.040 ,  850 ,  1.177 ,  1.062 ,  2.075 ,  3.288 ,  3.003 ,  2.882 ,  1.724 ,  1.996 ,  1.809 ,  5.756 ,  2.653 ,  1.556 ,  2.757 ,  4.573 ,  5.334 ,  5.357 ,  2.761 
Março,  2.658 ,  1.943 ,  1.467 ,  1.046 ,  1.147 ,  1.029 ,  1.151 ,  1.215 ,  2.052 ,  3.672 ,  3.299 ,  2.988 ,  1.717 ,  1.811 ,  1.711 ,  4.051 ,  2.429 ,  1.513 ,  2.054 ,  4.585 ,  3.012 ,  5.331 ,  4.223 
Abril,  2.627 ,  1.821 ,  1.425 ,  1.042 ,  1.186 ,  1.022 ,  995 ,  1.117 ,  2.152 ,  4.155 ,  3.050 ,  1.937 ,  1.779 ,  1.649 ,  1.769 ,  4.169 ,  1.981 ,  1.197 ,  1.823 ,  4.186 ,  1.709 ,  3.828 ,  3.671 
Maio,  2.644 ,  1.780 ,  1.573 ,  1.119 ,  1.221 ,  1.072 ,  856 ,  1.179 ,  2.351 ,  3.948 ,  3.121 ,  2.098 ,  1.763 ,  1.535 ,  1.648 ,  3.409 ,  2.028 ,  1.236 ,  3.315 ,  3.442 ,  1.460 ,  3.130 ,  2.968 
Junho,  1.929 ,  1.724 ,  1.530 ,  1.125 ,  1.336 ,  1.187 ,  955 ,  1.282 ,  2.434 ,  4.842 ,  3.314 ,  1.972 ,  1.877 ,  1.541 ,  1.614 ,  3.442 ,  1.864 ,  1.253 ,  2.440 ,  2.945 ,  2.055 ,  2.135 ,  2.682 
Julho,  2.497 ,  1.754 ,  1.499 ,  1.076 ,  1.456 ,  1.143 ,  857 ,  1.280 ,  2.549 ,  5.069 ,  3.154 ,  1.544 ,  1.674 ,  1.486 ,  1.604 ,  3.315 ,  1.779 ,  1.205 ,  2.350 ,  2.777 ,  2.504 ,  1.957 ,
Agosto,  2.535 ,  1.644 ,  1.479 ,  1.039 ,  1.385 ,  1.201 ,  1.042 ,  1.519 ,  2.254 ,  4.847 ,  3.325 ,  1.536 ,  1.790 ,  1.479 ,  1.455 ,  2.915 ,  1.597 ,  1.518 ,  2.782 ,  2.629 ,  2.760 ,  1.741 ,
Setembro,  2.382 ,  1.559 ,  1.449 ,  1.110 ,  1.371 ,  1.325 ,  1.131 ,  1.339 ,  2.496 ,  5.238 ,  3.395 ,  1.648 ,  1.521 ,  1.477 ,  1.569 ,  2.981 ,  1.703 ,  1.943 ,  5.164 ,  2.950 ,  3.023 ,  1.595 ,
Outubro,  2.346 ,  1.820 ,  1.629 ,  1.201 ,  1.188 ,  1.107 ,  1.078 ,  1.647 ,  2.769 ,  5.138 ,  3.354 ,  1.659 ,  1.844 ,  1.594 ,  1.789 ,  5.657 ,  1.737 ,  2.078 ,  7.483 ,  4.314 ,  3.582 ,  1.790 ,
Novembro,  2.048 ,  1.554 ,  1.287 ,  1.025 ,  1.144 ,  1.163 ,  1.086 ,  1.868 ,  2.540 ,  4.019 ,  2.859 ,  1.715 ,  1.647 ,  1.696 ,  1.909 ,  3.468 ,  1.706 ,  3.203 ,  7.067 ,  6.617 ,  3.562 ,  2.383 ,
Dezembro,  2.297 ,  1.651 ,  1.508 ,  1.271 ,  1.174 ,  1.396 ,  1.220 ,  2.061 ,  3.391 ,  4.568 ,  3.368 ,  1.950 ,  1.935 ,  2.676 ,  2.547 ,  3.829 ,  2.536 ,  3.720 ,  7.169 ,  8.995 ,  4.414 ,  3.182 ,
