Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  15 ,  1 ,  -   ,  16 ,  24 ,  16 ,  34 ,  11 ,  11 ,  17 ,  19 ,  13 ,  33 ,  4 ,  45 ,  25 ,  20 ,  26 ,  30 ,  19 ,  -   ,  15 ,  10 
Fevereiro,  -   ,  -   ,  -   ,  2 ,  14 ,  5 ,  22 ,  12 ,  26 ,  2 ,  10 ,  12 ,  16 ,  22 ,  17 ,  32 ,  27 ,  -   ,  16 ,  -   ,  15 ,  5 ,  12 
Março,  -   ,  0 ,  1 ,  2 ,  1 ,  28 ,  7 ,  9 ,  6 ,  11 ,  16 ,  13 ,  12 ,  13 ,  17 ,  3 ,  15 ,  13 ,  0 ,  31 ,  5 ,  32 ,  21 
Abril,  16 ,  1 ,  2 ,  2 ,  13 ,  4 ,  13 ,  17 ,  21 ,  14 ,  18 ,  13 ,  26 ,  14 ,  43 ,  18 ,  0 ,  7 ,  31 ,  -   ,  10 ,  7 ,  5 
Maio,  -   ,  1 ,  1 ,  31 ,  30 ,  9 ,  12 ,  16 ,  12 ,  13 ,  44 ,  17 ,  32 ,  21 ,  22 ,  24 ,  15 ,  7 ,  7 ,  12 ,  23 ,  10 ,  5 
Junho,  17 ,  1 ,  15 ,  7 ,  5 ,  20 ,  10 ,  30 ,  33 ,  15 ,  22 ,  27 ,  16 ,  23 ,  41 ,  16 ,  33 ,  10 ,  12 ,  22 ,  13 ,  16 ,  14 
Julho,  1 ,  1 ,  16 ,  10 ,  32 ,  8 ,  18 ,  31 ,  23 ,  27 ,  16 ,  11 ,  22 ,  22 ,  34 ,  18 ,  15 ,  7 ,  21 ,  15 ,  -   ,  5 ,
Agosto,  21 ,  0 ,  11 ,  33 ,  46 ,  31 ,  10 ,  21 ,  35 ,  20 ,  18 ,  12 ,  21 ,  18 ,  20 ,  3 ,  15 ,  6 ,  28 ,  18 ,  32 ,  33 ,
Setembro,  16 ,  0 ,  29 ,  14 ,  36 ,  36 ,  21 ,  27 ,  24 ,  11 ,  23 ,  32 ,  12 ,  37 ,  33 ,  25 ,  -   ,  11 ,  -   ,  12 ,  15 ,  -   ,
Outubro,  16 ,  0 ,  28 ,  6 ,  9 ,  8 ,  8 ,  7 ,  13 ,  6 ,  18 ,  19 ,  23 ,  27 ,  23 ,  11 ,  30 ,  0 ,  16 ,  8 ,  18 ,  12 ,
Novembro,  7 ,  0 ,  16 ,  22 ,  16 ,  7 ,  15 ,  16 ,  18 ,  9 ,  8 ,  15 ,  18 ,  4 ,  18 ,  23 ,  23 ,  18 ,  22 ,  15 ,  5 ,  11 ,
Dezembro,  1 ,  0 ,  9 ,  17 ,  22 ,  76 ,  16 ,  5 ,  14 ,  10 ,  18 ,  19 ,  29 ,  42 ,  3 ,  5 ,  16 ,  16 ,  7 ,  28 ,  5 ,  17 ,
