Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  115 ,  91 ,  133 ,  162 ,  130 ,  29 ,  94 ,  89 ,  20 ,  98 ,  96 ,  104 ,  137 ,  128 ,  176 ,  78 ,  68 ,  64 ,  68 ,  67 ,  -   ,  64 ,  -   
Fevereiro,  143 ,  124 ,  165 ,  94 ,  116 ,  87 ,  63 ,  72 ,  107 ,  69 ,  95 ,  171 ,  147 ,  154 ,  103 ,  79 ,  66 ,  -   ,  68 ,  68 ,  68 ,  68 ,  -   
Março,  145 ,  127 ,  122 ,  76 ,  80 ,  86 ,  48 ,  75 ,  101 ,  98 ,  164 ,  171 ,  214 ,  121 ,  151 ,  84 ,  121 ,  35 ,  -   ,  67 ,  -   ,  64 ,  -   
Abril,  99 ,  147 ,  159 ,  115 ,  95 ,  89 ,  91 ,  81 ,  79 ,  73 ,  119 ,  128 ,  141 ,  127 ,  156 ,  77 ,  16 ,  68 ,  47 ,  83 ,  35 ,  -   ,  -   
Maio,  119 ,  143 ,  166 ,  88 ,  97 ,  69 ,  52 ,  76 ,  111 ,  102 ,  182 ,  133 ,  167 ,  182 ,  110 ,  126 ,  187 ,  68 ,  68 ,  33 ,  -   ,  33 ,  68 
Junho,  125 ,  87 ,  117 ,  91 ,  92 ,  77 ,  52 ,  123 ,  141 ,  143 ,  152 ,  145 ,  204 ,  130 ,  101 ,  90 ,  48 ,  33 ,  101 ,  67 ,  67 ,  33 ,  -   
Julho,  171 ,  111 ,  69 ,  145 ,  92 ,  77 ,  59 ,  61 ,  126 ,  153 ,  122 ,  159 ,  170 ,  125 ,  222 ,  90 ,  94 ,  64 ,  33 ,  -   ,  68 ,  27 ,
Agosto,  95 ,  89 ,  142 ,  58 ,  128 ,  80 ,  142 ,  97 ,  98 ,  111 ,  206 ,  142 ,  223 ,  150 ,  113 ,  87 ,  138 ,  68 ,  33 ,  130 ,  63 ,  28 ,
Setembro,  161 ,  82 ,  134 ,  132 ,  97 ,  80 ,  181 ,  98 ,  167 ,  115 ,  215 ,  177 ,  156 ,  171 ,  141 ,  79 ,  163 ,  99 ,  35 ,  0 ,  -   ,  28 ,
Outubro,  136 ,  137 ,  212 ,  66 ,  116 ,  87 ,  99 ,  111 ,  250 ,  124 ,  169 ,  153 ,  167 ,  149 ,  171 ,  96 ,  2 ,  64 ,  68 ,  64 ,  -   ,  31 ,
Novembro,  128 ,  108 ,  113 ,  119 ,  108 ,  95 ,  74 ,  211 ,  111 ,  169 ,  129 ,  132 ,  127 ,  129 ,  73 ,  89 ,  46 ,  64 ,  -   ,  31 ,  -   ,  -   ,
Dezembro,  135 ,  195 ,  127 ,  138 ,  133 ,  65 ,  86 ,  110 ,  143 ,  208 ,  180 ,  192 ,  202 ,  181 ,  141 ,  125 ,  68 ,  68 ,  68 ,  64 ,  33 ,  65 ,
