Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  74 ,  55 ,  38 ,  28 ,  16 ,  26 ,  43 ,  43 ,  29 ,  29 ,  46 ,  58 ,  47 ,  36 ,  48 ,  17 ,  21 ,  5 ,  25 ,  11 ,  5 ,  25 ,  32 
Fevereiro,  61 ,  49 ,  56 ,  40 ,  48 ,  30 ,  25 ,  29 ,  40 ,  29 ,  63 ,  51 ,  35 ,  47 ,  38 ,  29 ,  32 ,  10 ,  10 ,  27 ,  0 ,  -   ,  15 
Março,  58 ,  14 ,  46 ,  48 ,  26 ,  39 ,  57 ,  41 ,  24 ,  54 ,  49 ,  56 ,  87 ,  63 ,  52 ,  35 ,  27 ,  30 ,  29 ,  13 ,  0 ,  24 ,  51 
Abril,  76 ,  59 ,  49 ,  11 ,  48 ,  49 ,  49 ,  35 ,  66 ,  38 ,  74 ,  71 ,  50 ,  50 ,  50 ,  35 ,  29 ,  15 ,  25 ,  20 ,  -   ,  1 ,  31 
Maio,  49 ,  89 ,  66 ,  58 ,  44 ,  34 ,  63 ,  58 ,  61 ,  42 ,  74 ,  74 ,  60 ,  67 ,  75 ,  30 ,  44 ,  25 ,  20 ,  26 ,  1 ,  26 ,  53 
Junho,  85 ,  52 ,  24 ,  34 ,  38 ,  53 ,  41 ,  27 ,  69 ,  63 ,  81 ,  81 ,  73 ,  48 ,  46 ,  42 ,  48 ,  25 ,  21 ,  15 ,  1 ,  31 ,  42 
Julho,  91 ,  42 ,  76 ,  47 ,  34 ,  43 ,  60 ,  50 ,  39 ,  88 ,  74 ,  74 ,  73 ,  59 ,  25 ,  36 ,  25 ,  25 ,  30 ,  25 ,  -   ,  21 ,
Agosto,  58 ,  44 ,  14 ,  67 ,  45 ,  41 ,  38 ,  43 ,  56 ,  51 ,  67 ,  84 ,  67 ,  45 ,  32 ,  37 ,  50 ,  20 ,  35 ,  25 ,  -   ,  52 ,
Setembro,  66 ,  39 ,  45 ,  35 ,  35 ,  50 ,  83 ,  37 ,  43 ,  111 ,  95 ,  74 ,  60 ,  63 ,  39 ,  25 ,  33 ,  31 ,  15 ,  -   ,  1 ,  36 ,
Outubro,  69 ,  54 ,  51 ,  39 ,  44 ,  33 ,  39 ,  59 ,  48 ,  118 ,  32 ,  46 ,  61 ,  36 ,  15 ,  25 ,  57 ,  25 ,  25 ,  -   ,  0 ,  21 ,
Novembro,  47 ,  33 ,  44 ,  36 ,  10 ,  54 ,  27 ,  37 ,  13 ,  54 ,  74 ,  65 ,  35 ,  51 ,  40 ,  40 ,  27 ,  15 ,  -   ,  -   ,  0 ,  32 ,
Dezembro,  44 ,  31 ,  56 ,  69 ,  30 ,  15 ,  46 ,  21 ,  42 ,  61 ,  52 ,  57 ,  53 ,  34 ,  15 ,  15 ,  42 ,  15 ,  24 ,  1 ,  1 ,  47 ,
