Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  5 ,  7 ,  1 ,  7 ,  24 ,  9 ,  20 ,  13 ,  8 ,  30 ,  11 ,  6 ,  10 ,  26 ,  30 ,  67 ,  34 ,  46 ,  73 ,  54 ,  25 ,  31 ,  45 
Fevereiro,  2 ,  5 ,  1 ,  24 ,  1 ,  11 ,  12 ,  20 ,  10 ,  26 ,  17 ,  14 ,  20 ,  40 ,  41 ,  30 ,  71 ,  56 ,  31 ,  52 ,  45 ,  51 ,  46 
Março,  5 ,  7 ,  1 ,  1 ,  4 ,  1 ,  29 ,  22 ,  4 ,  23 ,  11 ,  16 ,  15 ,  40 ,  22 ,  60 ,  37 ,  73 ,  53 ,  74 ,  32 ,  56 ,  40 
Abril,  5 ,  5 ,  1 ,  1 ,  6 ,  2 ,  20 ,  19 ,  29 ,  17 ,  16 ,  10 ,  15 ,  48 ,  47 ,  21 ,  56 ,  65 ,  65 ,  53 ,  36 ,  41 ,  32 
Maio,  2 ,  3 ,  0 ,  13 ,  1 ,  8 ,  1 ,  10 ,  24 ,  18 ,  15 ,  10 ,  10 ,  44 ,  50 ,  77 ,  51 ,  56 ,  37 ,  67 ,  40 ,  48 ,  69 
Junho,  5 ,  5 ,  12 ,  12 ,  -   ,  1 ,  11 ,  10 ,  19 ,  11 ,  11 ,  11 ,  15 ,  24 ,  46 ,  18 ,  57 ,  74 ,  84 ,  43 ,  41 ,  71 ,  33 
Julho,  3 ,  2 ,  0 ,  14 ,  2 ,  2 ,  13 ,  25 ,  20 ,  14 ,  16 ,  15 ,  15 ,  35 ,  27 ,  87 ,  47 ,  99 ,  46 ,  68 ,  29 ,  48 ,
Agosto,  2 ,  0 ,  7 ,  0 ,  16 ,  19 ,  2 ,  20 ,  24 ,  33 ,  10 ,  20 ,  21 ,  25 ,  48 ,  62 ,  52 ,  58 ,  67 ,  48 ,  68 ,  31 ,
Setembro,  3 ,  -   ,  25 ,  6 ,  11 ,  23 ,  11 ,  15 ,  27 ,  34 ,  16 ,  26 ,  30 ,  20 ,  56 ,  45 ,  71 ,  56 ,  81 ,  85 ,  28 ,  42 ,
Outubro,  6 ,  0 ,  16 ,  1 ,  9 ,  15 ,  10 ,  6 ,  21 ,  15 ,  11 ,  15 ,  41 ,  33 ,  18 ,  77 ,  28 ,  109 ,  26 ,  68 ,  50 ,  53 ,
Novembro,  4 ,  1 ,  12 ,  2 ,  5 ,  18 ,  1 ,  8 ,  17 ,  5 ,  31 ,  10 ,  41 ,  36 ,  56 ,  89 ,  62 ,  39 ,  50 ,  25 ,  52 ,  37 ,
Dezembro,  8 ,  2 ,  9 ,  2 ,  9 ,  10 ,  13 ,  7 ,  12 ,  5 ,  6 ,  10 ,  43 ,  22 ,  34 ,  51 ,  80 ,  47 ,  67 ,  55 ,  50 ,  27 ,
