Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  200 ,  391 ,  342 ,  564 ,  496 ,  448 ,  225 ,  352 ,  346 ,  325 ,  379 ,  375 ,  306 ,  418 ,  429 ,  391 ,  414 ,  267 ,  390 ,  219 ,  166 ,  159 ,  185 
Fevereiro,  353 ,  343 ,  389 ,  534 ,  305 ,  277 ,  138 ,  381 ,  374 ,  342 ,  332 ,  326 ,  319 ,  315 ,  276 ,  333 ,  334 ,  282 ,  265 ,  156 ,  149 ,  227 ,  181 
Março,  202 ,  337 ,  193 ,  297 ,  304 ,  201 ,  188 ,  248 ,  242 ,  298 ,  244 ,  209 ,  296 ,  309 ,  431 ,  386 ,  455 ,  370 ,  401 ,  234 ,  198 ,  185 ,  233 
Abril,  167 ,  281 ,  225 ,  138 ,  202 ,  159 ,  118 ,  222 ,  525 ,  260 ,  202 ,  326 ,  359 ,  484 ,  437 ,  397 ,  238 ,  246 ,  292 ,  168 ,  117 ,  255 ,  134 
Maio,  179 ,  324 ,  156 ,  290 ,  180 ,  166 ,  204 ,  203 ,  241 ,  208 ,  214 ,  221 ,  220 ,  314 ,  316 ,  323 ,  250 ,  302 ,  167 ,  172 ,  206 ,  202 ,  292 
Junho,  156 ,  44 ,  229 ,  117 ,  143 ,  111 ,  138 ,  150 ,  (57),  196 ,  220 ,  202 ,  115 ,  151 ,  267 ,  274 ,  164 ,  217 ,  203 ,  196 ,  118 ,  203 ,  221 
Julho,  346 ,  150 ,  277 ,  234 ,  135 ,  181 ,  179 ,  191 ,  542 ,  178 ,  221 ,  189 ,  308 ,  252 ,  192 ,  227 ,  219 ,  261 ,  235 ,  184 ,  193 ,  244 ,
Agosto,  185 ,  256 ,  73 ,  208 ,  211 ,  230 ,  110 ,  151 ,  161 ,  195 ,  180 ,  194 ,  186 ,  241 ,  307 ,  185 ,  318 ,  205 ,  160 ,  108 ,  111 ,  190 ,
Setembro,  96 ,  107 ,  240 ,  177 ,  164 ,  99 ,  161 ,  323 ,  242 ,  177 ,  187 ,  151 ,  186 ,  253 ,  284 ,  255 ,  198 ,  218 ,  175 ,  225 ,  155 ,  139 ,
Outubro,  397 ,  309 ,  355 ,  284 ,  362 ,  223 ,  156 ,  1 ,  278 ,  250 ,  259 ,  259 ,  295 ,  202 ,  274 ,  257 ,  271 ,  288 ,  146 ,  127 ,  166 ,  220 ,
Novembro,  335 ,  284 ,  351 ,  364 ,  190 ,  161 ,  281 ,  357 ,  283 ,  275 ,  277 ,  265 ,  290 ,  330 ,  309 ,  265 ,  296 ,  281 ,  206 ,  128 ,  199 ,  177 ,
Dezembro,  342 ,  360 ,  353 ,  367 ,  364 ,  172 ,  292 ,  207 ,  346 ,  385 ,  339 ,  299 ,  354 ,  399 ,  395 ,  451 ,  365 ,  268 ,  256 ,  134 ,  160 ,  158 ,
