Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.463 ,  946 ,  1.219 ,  1.787 ,  1.971 ,  1.707 ,  741 ,  967 ,  844 ,  670 ,  648 ,  522 ,  635 ,  628 ,  707 ,  528 ,  318 ,  294 ,  224 ,  370 ,  235 ,  350 ,  343 
Fevereiro,  1.694 ,  1.001 ,  916 ,  1.464 ,  1.618 ,  1.361 ,  366 ,  855 ,  891 ,  564 ,  429 ,  612 ,  604 ,  638 ,  678 ,  527 ,  359 ,  358 ,  311 ,  369 ,  298 ,  305 ,  242 
Março,  1.216 ,  774 ,  751 ,  1.100 ,  1.089 ,  772 ,  561 ,  863 ,  642 ,  501 ,  674 ,  599 ,  739 ,  627 ,  621 ,  562 ,  485 ,  642 ,  487 ,  326 ,  226 ,  437 ,  367 
Abril,  1.004 ,  703 ,  613 ,  697 ,  971 ,  665 ,  312 ,  567 ,  656 ,  526 ,  524 ,  557 ,  632 ,  649 ,  636 ,  350 ,  366 ,  317 ,  542 ,  294 ,  193 ,  306 ,  322 
Maio,  622 ,  521 ,  439 ,  585 ,  545 ,  441 ,  308 ,  640 ,  446 ,  418 ,  415 ,  555 ,  565 ,  583 ,  631 ,  527 ,  598 ,  480 ,  304 ,  361 ,  372 ,  405 ,  607 
Junho,  833 ,  346 ,  627 ,  499 ,  519 ,  423 ,  304 ,  490 ,  398 ,  339 ,  471 ,  460 ,  515 ,  511 ,  474 ,  608 ,  317 ,  371 ,  524 ,  357 ,  347 ,  500 ,  293 
Julho,  453 ,  482 ,  601 ,  625 ,  547 ,  314 ,  341 ,  434 ,  567 ,  465 ,  512 ,  520 ,  545 ,  619 ,  514 ,  493 ,  474 ,  458 ,  342 ,  334 ,  222 ,  412 ,
Agosto,  556 ,  345 ,  246 ,  468 ,  654 ,  361 ,  375 ,  446 ,  443 ,  422 ,  493 ,  479 ,  529 ,  522 ,  563 ,  440 ,  534 ,  350 ,  330 ,  374 ,  206 ,  447 ,
Setembro,  302 ,  336 ,  591 ,  687 ,  507 ,  405 ,  456 ,  374 ,  433 ,  509 ,  476 ,  457 ,  476 ,  524 ,  673 ,  460 ,  449 ,  482 ,  395 ,  364 ,  309 ,  318 ,
Outubro,  619 ,  603 ,  773 ,  922 ,  550 ,  407 ,  198 ,  440 ,  565 ,  628 ,  482 ,  574 ,  652 ,  573 ,  489 ,  446 ,  489 ,  305 ,  366 ,  260 ,  306 ,  367 ,
Novembro,  936 ,  782 ,  1.128 ,  1.023 ,  789 ,  576 ,  352 ,  583 ,  518 ,  557 ,  628 ,  639 ,  716 ,  674 ,  527 ,  393 ,  335 ,  488 ,  129 ,  274 ,  235 ,  298 ,
Dezembro,  734 ,  872 ,  1.369 ,  1.485 ,  1.051 ,  483 ,  531 ,  992 ,  646 ,  785 ,  762 ,  704 ,  764 ,  705 ,  499 ,  486 ,  436 ,  332 ,  499 ,  316 ,  391 ,  319 ,
