Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  46 ,  57 ,  49 ,  27 ,  55 ,  57 ,  28 ,  96 ,  60 ,  56 ,  107 ,  60 ,  94 ,  63 ,  116 ,  58 ,  22 ,  20 ,  5 ,  27 ,  17 ,  40 ,  44 
Fevereiro,  87 ,  54 ,  56 ,  32 ,  23 ,  12 ,  38 ,  8 ,  65 ,  86 ,  113 ,  84 ,  107 ,  74 ,  54 ,  46 ,  58 ,  45 ,  22 ,  0 ,  22 ,  41 ,  25 
Março,  60 ,  61 ,  24 ,  32 ,  16 ,  43 ,  41 ,  59 ,  68 ,  80 ,  73 ,  102 ,  66 ,  18 ,  41 ,  58 ,  66 ,  20 ,  0 ,  21 ,  5 ,  47 ,  40 
Abril,  44 ,  83 ,  21 ,  27 ,  21 ,  31 ,  53 ,  70 ,  80 ,  34 ,  70 ,  60 ,  42 ,  44 ,  59 ,  35 ,  20 ,  20 ,  30 ,  10 ,  0 ,  -   ,  15 
Maio,  62 ,  74 ,  55 ,  30 ,  33 ,  12 ,  40 ,  45 ,  64 ,  73 ,  85 ,  54 ,  99 ,  59 ,  44 ,  51 ,  42 ,  1 ,  26 ,  5 ,  39 ,  55 ,  35 
Junho,  85 ,  76 ,  35 ,  48 ,  28 ,  45 ,  44 ,  25 ,  77 ,  53 ,  55 ,  57 ,  52 ,  62 ,  41 ,  31 ,  27 ,  41 ,  40 ,  36 ,  5 ,  25 ,  30 
Julho,  86 ,  53 ,  5 ,  52 ,  20 ,  44 ,  51 ,  58 ,  57 ,  61 ,  79 ,  57 ,  41 ,  41 ,  82 ,  41 ,  25 ,  21 ,  59 ,  40 ,  12 ,  41 ,
Agosto,  66 ,  91 ,  37 ,  59 ,  55 ,  59 ,  41 ,  54 ,  79 ,  64 ,  116 ,  44 ,  47 ,  41 ,  69 ,  29 ,  20 ,  40 ,  45 ,  63 ,  50 ,  15 ,
Setembro,  87 ,  57 ,  60 ,  31 ,  40 ,  51 ,  39 ,  38 ,  51 ,  59 ,  100 ,  25 ,  27 ,  51 ,  47 ,  51 ,  92 ,  20 ,  40 ,  19 ,  9 ,  30 ,
Outubro,  85 ,  61 ,  43 ,  47 ,  46 ,  31 ,  49 ,  98 ,  70 ,  53 ,  72 ,  78 ,  52 ,  31 ,  43 ,  59 ,  22 ,  31 ,  35 ,  20 ,  38 ,  34 ,
Novembro,  70 ,  49 ,  32 ,  37 ,  32 ,  30 ,  52 ,  46 ,  71 ,  67 ,  69 ,  60 ,  68 ,  97 ,  51 ,  55 ,  60 ,  66 ,  6 ,  30 ,  24 ,  40 ,
Dezembro,  67 ,  25 ,  21 ,  58 ,  48 ,  32 ,  44 ,  75 ,  80 ,  75 ,  65 ,  37 ,  66 ,  27 ,  62 ,  30 ,  73 ,  36 ,  56 ,  17 ,  30 ,  24 ,
