Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  49 ,  18 ,  56 ,  17 ,  11 ,  39 ,  27 ,  30 ,  16 ,  30 ,  16 ,  25 ,  35 ,  16 ,  10 ,  14 ,  3 ,  25 ,  10 ,  20 ,  6 ,  17 ,  1 
Fevereiro,  69 ,  18 ,  18 ,  19 ,  15 ,  7 ,  25 ,  10 ,  43 ,  15 ,  15 ,  29 ,  16 ,  31 ,  30 ,  12 ,  4 ,  -   ,  13 ,  1 ,  -   ,  0 ,  10 
Março,  8 ,  61 ,  19 ,  5 ,  27 ,  26 ,  7 ,  35 ,  (3),  30 ,  45 ,  14 ,  17 ,  18 ,  8 ,  2 ,  14 ,  -   ,  20 ,  20 ,  10 ,  8 ,  1 
Abril,  37 ,  27 ,  18 ,  12 ,  8 ,  22 ,  23 ,  31 ,  59 ,  30 ,  14 ,  24 ,  15 ,  31 ,  18 ,  13 ,  3 ,  -   ,  1 ,  0 ,  -   ,  9 ,  16 
Maio,  67 ,  43 ,  20 ,  9 ,  7 ,  8 ,  22 ,  2 ,  (17),  14 ,  30 ,  23 ,  15 ,  16 ,  19 ,  19 ,  15 ,  34 ,  10 ,  10 ,  -   ,  10 ,  1 
Junho,  46 ,  50 ,  20 ,  2 ,  9 ,  19 ,  23 ,  52 ,  53 ,  31 ,  29 ,  24 ,  14 ,  26 ,  20 ,  4 ,  5 ,  -   ,  30 ,  1 ,  0 ,  5 ,  10 
Julho,  37 ,  42 ,  3 ,  28 ,  9 ,  12 ,  7 ,  16 ,  51 ,  16 ,  27 ,  16 ,  21 ,  14 ,  10 ,  13 ,  18 ,  -   ,  1 ,  10 ,  7 ,  10 ,
Agosto,  37 ,  42 ,  17 ,  17 ,  28 ,  25 ,  29 ,  36 ,  41 ,  30 ,  42 ,  13 ,  26 ,  18 ,  18 ,  15 ,  19 ,  -   ,  -   ,  10 ,  6 ,  6 ,
Setembro,  35 ,  20 ,  58 ,  30 ,  14 ,  28 ,  25 ,  19 ,  34 ,  15 ,  39 ,  33 ,  21 ,  19 ,  27 ,  18 ,  2 ,  8 ,  20 ,  0 ,  7 ,  11 ,
Outubro,  20 ,  42 ,  19 ,  2 ,  8 ,  26 ,  6 ,  45 ,  27 ,  30 ,  31 ,  (0),  18 ,  28 ,  6 ,  8 ,  27 ,  10 ,  -   ,  6 ,  8 ,  11 ,
Novembro,  36 ,  20 ,  22 ,  16 ,  10 ,  26 ,  13 ,  31 ,  31 ,  31 ,  23 ,  46 ,  30 ,  18 ,  24 ,  24 ,  1 ,  10 ,  20 ,  21 ,  16 ,  11 ,
Dezembro,  79 ,  22 ,  22 ,  5 ,  25 ,  23 ,  30 ,  (0),  30 ,  31 ,  38 ,  11 ,  15 ,  23 ,  8 ,  17 ,  3 ,  15 ,  0 ,  5 ,  0 ,  16 ,
