Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  30 ,  63 ,  67 ,  77 ,  103 ,  101 ,  62 ,  25 ,  40 ,  52 ,  73 ,  92 ,  74 ,  150 ,  102 ,  92 ,  64 ,  64 ,  68 ,  130 ,  135 ,  113 ,  259 
Fevereiro,  30 ,  81 ,  35 ,  47 ,  68 ,  77 ,  92 ,  29 ,  11 ,  75 ,  73 ,  38 ,  91 ,  59 ,  98 ,  47 ,  64 ,  64 ,  -   ,  64 ,  129 ,  278 ,  326 
Março,  60 ,  70 ,  66 ,  16 ,  76 ,  60 ,  16 ,  54 ,  44 ,  51 ,  76 ,  128 ,  120 ,  60 ,  151 ,  91 ,  177 ,  161 ,  -   ,  68 ,  199 ,  358 ,  296 
Abril,  30 ,  77 ,  7 ,  31 ,  25 ,  60 ,  62 ,  22 ,  37 ,  44 ,  81 ,  75 ,  73 ,  104 ,  99 ,  93 ,  64 ,  64 ,  45 ,  165 ,  232 ,  387 ,  124 
Maio,  60 ,  94 ,  90 ,  32 ,  71 ,  58 ,  78 ,  15 ,  38 ,  69 ,  106 ,  25 ,  34 ,  57 ,  191 ,  49 ,  64 ,  64 ,  -   ,  35 ,  64 ,  143 ,  268 
Junho,  30 ,  2 ,  62 ,  52 ,  80 ,  92 ,  46 ,  52 ,  14 ,  72 ,  72 ,  35 ,  77 ,  56 ,  6 ,  139 ,  64 ,  31 ,  35 ,  68 ,  66 ,  297 ,  236 
Julho,  30 ,  84 ,  46 ,  48 ,  77 ,  76 ,  32 ,  21 ,  128 ,  25 ,  70 ,  70 ,  77 ,  108 ,  190 ,  50 ,  64 ,  -   ,  35 ,  136 ,  240 ,  365 ,
Agosto,  60 ,  36 ,  62 ,  50 ,  33 ,  43 ,  30 ,  37 ,  48 ,  79 ,  36 ,  115 ,  90 ,  144 ,  11 ,  94 ,  173 ,  -   ,  35 ,  135 ,  128 ,  279 ,
Setembro,  30 ,  35 ,  30 ,  62 ,  62 ,  46 ,  50 ,  56 ,  81 ,  81 ,  71 ,  113 ,  76 ,  104 ,  98 ,  116 ,  64 ,  33 ,  33 ,  132 ,  198 ,  133 ,
Outubro,  62 ,  67 ,  108 ,  66 ,  51 ,  101 ,  20 ,  32 ,  61 ,  47 ,  43 ,  70 ,  80 ,  104 ,  99 ,  139 ,  75 ,  103 ,  64 ,  -   ,  45 ,  451 ,
Novembro,  30 ,  69 ,  62 ,  62 ,  106 ,  56 ,  25 ,  35 ,  61 ,  80 ,  79 ,  96 ,  34 ,  106 ,  8 ,  35 ,  168 ,  -   ,  -   ,  33 ,  232 ,  306 ,
Dezembro,  30 ,  33 ,  46 ,  94 ,  82 ,  72 ,  62 ,  22 ,  45 ,  52 ,  87 ,  90 ,  71 ,  57 ,  96 ,  109 ,  -   ,  68 ,  68 ,  132 ,  406 ,  342 ,
