Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.074 ,  2.983 ,  2.705 ,  826 ,  1.532 ,  1.643 ,  2.310 ,  719 ,  825 ,  610 ,  1.180 ,  1.382 ,  1.614 ,  1.363 ,  1.459 ,  1.240 ,  847 ,  698 ,  659 ,  762 ,  577 ,  611 ,  584 
Fevereiro,  2.527 ,  2.979 ,  2.567 ,  1.102 ,  889 ,  1.742 ,  1.865 ,  902 ,  889 ,  801 ,  1.402 ,  1.382 ,  1.654 ,  1.190 ,  1.277 ,  994 ,  1.004 ,  891 ,  622 ,  648 ,  571 ,  560 ,  447 
Março,  2.112 ,  3.219 ,  2.724 ,  1.046 ,  1.360 ,  1.574 ,  1.689 ,  1.052 ,  936 ,  1.007 ,  1.405 ,  1.211 ,  1.749 ,  1.382 ,  1.180 ,  1.253 ,  1.057 ,  916 ,  928 ,  745 ,  522 ,  601 ,  818 
Abril,  2.199 ,  2.284 ,  1.983 ,  881 ,  1.039 ,  1.409 ,  1.313 ,  1.080 ,  1.086 ,  1.006 ,  1.159 ,  1.468 ,  1.470 ,  1.481 ,  1.442 ,  1.170 ,  968 ,  867 ,  835 ,  681 ,  239 ,  642 ,  432 
Maio,  2.150 ,  2.904 ,  1.921 ,  1.005 ,  977 ,  1.153 ,  1.389 ,  968 ,  887 ,  998 ,  1.189 ,  1.518 ,  1.569 ,  1.315 ,  1.303 ,  1.101 ,  862 ,  675 ,  629 ,  617 ,  679 ,  579 ,  736 
Junho,  2.092 ,  1.638 ,  1.064 ,  826 ,  1.000 ,  1.041 ,  1.162 ,  936 ,  902 ,  895 ,  1.272 ,  1.349 ,  1.322 ,  1.179 ,  961 ,  990 ,  829 ,  816 ,  919 ,  815 ,  611 ,  695 ,  632 
Julho,  2.005 ,  1.854 ,  787 ,  839 ,  1.005 ,  1.004 ,  1.112 ,  888 ,  1.048 ,  902 ,  1.236 ,  1.367 ,  1.464 ,  1.299 ,  1.185 ,  1.036 ,  877 ,  788 ,  727 ,  696 ,  657 ,  701 ,
Agosto,  2.046 ,  2.154 ,  665 ,  814 ,  935 ,  1.179 ,  1.266 ,  916 ,  980 ,  1.029 ,  1.301 ,  1.469 ,  1.499 ,  1.488 ,  1.200 ,  1.112 ,  970 ,  716 ,  605 ,  705 ,  612 ,  638 ,
Setembro,  1.728 ,  1.984 ,  982 ,  742 ,  1.000 ,  1.254 ,  1.237 ,  817 ,  878 ,  1.150 ,  1.231 ,  1.465 ,  1.190 ,  1.062 ,  1.241 ,  908 ,  797 ,  877 ,  783 ,  630 ,  565 ,  623 ,
Outubro,  2.041 ,  2.308 ,  1.034 ,  827 ,  1.048 ,  1.136 ,  1.186 ,  848 ,  753 ,  1.393 ,  1.247 ,  1.343 ,  1.381 ,  1.279 ,  1.098 ,  955 ,  803 ,  654 ,  536 ,  730 ,  706 ,  588 ,
Novembro,  2.675 ,  2.037 ,  792 ,  929 ,  1.247 ,  2.008 ,  1.445 ,  768 ,  811 ,  1.255 ,  888 ,  1.450 ,  1.317 ,  1.322 ,  965 ,  762 ,  706 ,  762 ,  538 ,  669 ,  581 ,  567 ,
Dezembro,  2.270 ,  2.120 ,  856 ,  2.293 ,  1.304 ,  2.009 ,  1.627 ,  815 ,  762 ,  1.351 ,  1.244 ,  1.595 ,  1.426 ,  1.277 ,  984 ,  886 ,  1.026 ,  670 ,  779 ,  520 ,  546 ,  480 ,
