Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  3.066 ,  3.037 ,  3.430 ,  3.807 ,  3.449 ,  3.577 ,  3.684 ,  4.278 ,  5.027 ,  5.535 ,  6.025 ,  7.931 ,  8.517 ,  9.388 ,  10.545 ,  12.135 ,  9.863 ,  10.073 ,  10.305 ,  10.600 ,  11.134 ,  10.959 ,  10.432 
Fevereiro,  3.495 ,  2.758 ,  3.173 ,  2.756 ,  3.128 ,  3.324 ,  3.584 ,  3.913 ,  4.705 ,  5.349 ,  6.013 ,  7.701 ,  8.574 ,  9.017 ,  9.574 ,  9.812 ,  10.547 ,  9.690 ,  9.482 ,  9.904 ,  10.613 ,  9.113 ,  10.512 
Março,  2.947 ,  3.117 ,  3.480 ,  2.955 ,  3.832 ,  3.972 ,  4.054 ,  4.555 ,  5.120 ,  5.691 ,  7.668 ,  9.012 ,  9.358 ,  9.739 ,  10.616 ,  11.177 ,  11.464 ,  11.793 ,  11.712 ,  10.872 ,  10.019 ,  10.633 ,  11.078 
Abril,  3.024 ,  3.104 ,  3.428 ,  3.191 ,  4.003 ,  3.876 ,  3.841 ,  4.599 ,  5.357 ,  5.821 ,  7.220 ,  8.636 ,  9.154 ,  10.487 ,  10.992 ,  11.877 ,  11.412 ,  10.577 ,  11.118 ,  11.623 ,  9.226 ,  10.251 ,  11.140 
Maio,  3.207 ,  3.330 ,  3.676 ,  3.546 ,  3.532 ,  4.193 ,  4.366 ,  4.883 ,  5.691 ,  5.755 ,  7.224 ,  8.818 ,  10.082 ,  10.633 ,  10.982 ,  11.209 ,  11.417 ,  11.676 ,  11.714 ,  11.597 ,  8.886 ,  11.423 ,  12.330 
Junho,  3.613 ,  3.407 ,  3.635 ,  3.591 ,  3.796 ,  4.100 ,  4.313 ,  5.042 ,  5.662 ,  6.017 ,  7.637 ,  8.592 ,  9.574 ,  9.864 ,  10.870 ,  11.975 ,  11.266 ,  11.746 ,  10.066 ,  10.468 ,  10.304 ,  11.713 ,  11.545 
Julho,  3.264 ,  3.305 ,  3.959 ,  4.104 ,  4.197 ,  4.356 ,  4.648 ,  5.397 ,  6.349 ,  6.993 ,  8.391 ,  9.385 ,  10.101 ,  10.875 ,  11.808 ,  12.584 ,  11.559 ,  11.699 ,  11.141 ,  12.116 ,  11.746 ,  12.518 ,
Agosto,  3.836 ,  3.756 ,  4.585 ,  3.816 ,  4.363 ,  4.729 ,  5.281 ,  5.516 ,  6.215 ,  6.435 ,  8.535 ,  9.589 ,  10.947 ,  11.016 ,  12.071 ,  12.088 ,  12.420 ,  12.314 ,  12.241 ,  12.364 ,  11.763 ,  12.656 ,
Setembro,  3.677 ,  3.228 ,  4.650 ,  3.963 ,  4.502 ,  4.353 ,  5.391 ,  5.195 ,  6.597 ,  6.962 ,  9.186 ,  9.069 ,  10.408 ,  10.632 ,  13.069 ,  12.176 ,  11.980 ,  11.668 ,  10.994 ,  11.825 ,  12.502 ,  12.677 ,
Outubro,  3.226 ,  3.347 ,  4.451 ,  3.978 ,  4.095 ,  4.018 ,  5.062 ,  5.634 ,  6.766 ,  7.175 ,  8.790 ,  8.894 ,  10.902 ,  11.247 ,  13.163 ,  12.289 ,  11.204 ,  11.596 ,  11.838 ,  12.235 ,  13.824 ,  12.209 ,
Novembro,  3.290 ,  3.346 ,  3.519 ,  3.638 ,  3.975 ,  4.103 ,  4.938 ,  5.318 ,  5.759 ,  6.423 ,  8.594 ,  9.184 ,  10.465 ,  10.790 ,  11.291 ,  10.555 ,  11.175 ,  11.275 ,  11.367 ,  11.741 ,  12.576 ,  11.509 ,
Dezembro,  3.358 ,  3.158 ,  3.945 ,  4.252 ,  4.305 ,  4.930 ,  4.965 ,  5.657 ,  6.714 ,  7.570 ,  9.702 ,  10.139 ,  10.813 ,  11.644 ,  13.173 ,  12.384 ,  12.511 ,  12.486 ,  11.893 ,  12.658 ,  13.827 ,  12.910 ,
