Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  14.001 ,  14.303 ,  14.231 ,  14.803 ,  14.677 ,  14.663 ,  14.617 ,  14.706 ,  14.671 ,  15.112 ,  17.649 ,  22.291 ,  28.950 ,  34.087 ,  38.825 ,  41.026 ,  36.899 ,  41.238 ,  38.081 ,  35.146 ,  37.940 ,  37.526 ,  36.112 
Fevereiro,  13.998 ,  12.969 ,  13.151 ,  12.126 ,  13.133 ,  13.166 ,  13.335 ,  13.006 ,  13.064 ,  13.465 ,  18.332 ,  21.272 ,  27.111 ,  29.222 ,  34.007 ,  31.978 ,  35.849 ,  36.506 ,  33.137 ,  33.263 ,  36.025 ,  31.718 ,  36.195 
Março,  12.592 ,  13.862 ,  13.668 ,  11.634 ,  14.281 ,  14.481 ,  14.052 ,  13.870 ,  13.059 ,  14.383 ,  22.001 ,  24.340 ,  29.299 ,  31.680 ,  35.130 ,  35.621 ,  39.044 ,  40.280 ,  38.251 ,  34.913 ,  31.593 ,  33.136 ,  34.338 
Abril,  13.921 ,  13.574 ,  13.475 ,  12.319 ,  14.783 ,  14.046 ,  13.144 ,  13.123 ,  13.476 ,  14.622 ,  20.076 ,  24.493 ,  28.830 ,  32.722 ,  37.196 ,  36.703 ,  36.294 ,  36.921 ,  36.049 ,  36.175 ,  29.458 ,  31.717 ,  34.595 
Maio,  13.963 ,  13.623 ,  13.261 ,  13.159 ,  12.471 ,  13.423 ,  13.683 ,  13.538 ,  12.938 ,  13.408 ,  19.139 ,  23.903 ,  29.171 ,  32.796 ,  35.692 ,  34.726 ,  36.723 ,  38.037 ,  35.637 ,  36.983 ,  28.445 ,  34.292 ,  35.975 
Junho,  13.676 ,  13.680 ,  12.195 ,  12.334 ,  12.998 ,  13.344 ,  13.451 ,  13.290 ,  12.506 ,  13.671 ,  18.384 ,  24.621 ,  28.882 ,  30.973 ,  33.135 ,  33.601 ,  35.472 ,  36.336 ,  33.877 ,  33.861 ,  30.225 ,  35.820 ,  32.814 
Julho,  12.461 ,  12.964 ,  13.315 ,  13.385 ,  13.799 ,  13.192 ,  13.173 ,  12.879 ,  14.337 ,  15.218 ,  19.640 ,  24.324 ,  28.606 ,  32.805 ,  36.317 ,  34.342 ,  36.830 ,  37.419 ,  33.504 ,  37.334 ,  34.075 ,  38.634 ,
Agosto,  13.174 ,  13.631 ,  13.906 ,  13.360 ,  14.058 ,  14.056 ,  14.916 ,  13.677 ,  14.981 ,  13.515 ,  19.904 ,  26.350 ,  32.062 ,  33.688 ,  36.131 ,  33.151 ,  38.471 ,  37.021 ,  35.990 ,  37.916 ,  34.580 ,  38.594 ,
Setembro,  14.420 ,  13.366 ,  14.314 ,  13.612 ,  15.094 ,  14.060 ,  15.412 ,  12.412 ,  16.332 ,  14.615 ,  21.166 ,  26.614 ,  30.187 ,  32.774 ,  37.522 ,  35.135 ,  39.011 ,  36.407 ,  32.045 ,  36.135 ,  36.557 ,  39.058 ,
Outubro,  13.614 ,  12.844 ,  16.426 ,  14.359 ,  14.799 ,  13.193 ,  14.563 ,  14.326 ,  16.401 ,  15.843 ,  21.544 ,  26.683 ,  33.643 ,  35.446 ,  39.353 ,  36.338 ,  38.116 ,  37.448 ,  34.190 ,  38.919 ,  41.901 ,  39.621 ,
Novembro,  13.934 ,  13.140 ,  13.045 ,  13.135 ,  14.321 ,  13.787 ,  13.945 ,  13.844 ,  14.044 ,  15.656 ,  21.794 ,  26.894 ,  32.151 ,  35.212 ,  35.619 ,  33.539 ,  37.930 ,  36.908 ,  31.532 ,  37.049 ,  39.927 ,  37.369 ,
Dezembro,  14.794 ,  13.568 ,  15.514 ,  15.946 ,  16.579 ,  15.631 ,  14.608 ,  14.818 ,  16.566 ,  19.893 ,  25.699 ,  31.311 ,  34.942 ,  39.115 ,  42.687 ,  39.714 ,  43.324 ,  41.141 ,  35.426 ,  39.381 ,  43.144 ,  42.289 ,
