Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  58.255 ,  55.778 ,  73.285 ,  61.394 ,  67.656 ,  66.305 ,  74.300 ,  72.807 ,  73.244 ,  75.407 ,  90.579 ,  89.628 ,  110.324 ,  123.305 ,  129.032 ,  139.650 ,  115.855 ,  133.703 ,  109.219 ,  96.880 ,  94.725 ,  99.146 ,  106.686 
Fevereiro,  60.709 ,  53.147 ,  73.658 ,  53.879 ,  63.622 ,  65.698 ,  68.501 ,  66.368 ,  69.297 ,  71.170 ,  92.003 ,  96.010 ,  109.883 ,  111.595 ,  122.773 ,  111.442 ,  125.362 ,  129.365 ,  103.089 ,  89.457 ,  94.413 ,  86.740 ,  98.218 
Março,  56.363 ,  58.775 ,  66.229 ,  53.974 ,  71.854 ,  78.474 ,  76.320 ,  74.315 ,  72.098 ,  76.033 ,  94.452 ,  121.655 ,  118.773 ,  124.593 ,  133.567 ,  122.194 ,  135.317 ,  143.899 ,  118.780 ,  94.703 ,  82.346 ,  84.714 ,  95.142 
Abril,  59.585 ,  59.497 ,  62.505 ,  58.672 ,  74.744 ,  67.734 ,  74.177 ,  72.046 ,  76.625 ,  78.600 ,  89.270 ,  123.665 ,  120.913 ,  128.336 ,  145.499 ,  125.857 ,  132.075 ,  138.124 ,  111.718 ,  97.397 ,  76.441 ,  90.317 ,  99.725 
Maio,  60.409 ,  58.421 ,  64.018 ,  63.330 ,  69.996 ,  74.667 ,  75.197 ,  74.713 ,  76.717 ,  73.796 ,  83.655 ,  98.672 ,  122.117 ,  131.582 ,  143.141 ,  119.062 ,  123.187 ,  139.582 ,  98.289 ,  95.482 ,  86.889 ,  101.887 ,  102.326 
Junho,  63.763 ,  61.221 ,  58.343 ,  63.379 ,  69.573 ,  75.152 ,  70.340 ,  71.974 ,  74.169 ,  75.447 ,  83.662 ,  92.980 ,  117.712 ,  122.197 ,  131.556 ,  118.987 ,  118.472 ,  135.248 ,  107.146 ,  85.416 ,  91.879 ,  104.945 ,  91.799 
Julho,  59.714 ,  59.287 ,  66.566 ,  72.278 ,  78.476 ,  75.636 ,  72.462 ,  74.046 ,  81.309 ,  83.744 ,  89.604 ,  97.647 ,  121.505 ,  132.671 ,  130.258 ,  124.757 ,  123.429 ,  137.004 ,  94.894 ,  97.170 ,  93.258 ,  114.994 ,
Agosto,  59.023 ,  60.783 ,  64.539 ,  65.846 ,  74.933 ,  77.823 ,  76.071 ,  75.150 ,  77.954 ,  77.682 ,  86.845 ,  101.146 ,  124.611 ,  131.141 ,  137.023 ,  116.091 ,  126.451 ,  129.497 ,  98.638 ,  95.820 ,  91.369 ,  111.318 ,
Setembro,  65.078 ,  58.200 ,  64.382 ,  67.839 ,  80.995 ,  76.928 ,  76.001 ,  70.184 ,  79.246 ,  79.577 ,  90.285 ,  101.819 ,  119.644 ,  122.207 ,  140.890 ,  117.596 ,  126.779 ,  120.375 ,  88.315 ,  90.868 ,  95.579 ,  115.608 ,
Outubro,  60.459 ,  60.886 ,  72.679 ,  70.156 ,  74.041 ,  69.166 ,  73.292 ,  74.859 ,  81.723 ,  86.890 ,  89.568 ,  101.475 ,  127.886 ,  131.352 ,  147.045 ,  123.486 ,  127.028 ,  120.162 ,  95.635 ,  97.792 ,  107.087 ,  121.153 ,
Novembro,  60.729 ,  64.001 ,  59.138 ,  67.422 ,  71.829 ,  71.381 ,  71.477 ,  73.165 ,  73.285 ,  76.966 ,  89.644 ,  106.367 ,  117.611 ,  128.226 ,  128.777 ,  111.449 ,  128.574 ,  110.923 ,  90.270 ,  94.269 ,  98.975 ,  113.455 ,
Dezembro,  63.978 ,  70.205 ,  67.845 ,  77.818 ,  83.164 ,  80.509 ,  81.901 ,  80.835 ,  86.262 ,  95.935 ,  103.942 ,  125.494 ,  135.231 ,  142.426 ,  150.326 ,  139.310 ,  148.561 ,  121.316 ,  107.079 ,  105.878 ,  118.611 ,  134.325 ,
