Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  20.899 ,  32.030 ,  26.311 ,  25.945 ,  27.348 ,  29.262 ,  28.371 ,  28.587 ,  26.957 ,  28.316 ,  29.560 ,  33.759 ,  49.760 ,  47.214 ,  50.411 ,  55.000 ,  47.728 ,  52.816 ,  43.360 ,  40.247 ,  39.773 ,  44.648 ,  55.983 
Fevereiro,  23.245 ,  23.135 ,  24.706 ,  22.893 ,  25.191 ,  29.248 ,  27.868 ,  25.452 ,  25.307 ,  25.676 ,  27.861 ,  32.788 ,  48.442 ,  40.527 ,  47.835 ,  40.873 ,  47.189 ,  49.570 ,  40.280 ,  37.720 ,  38.249 ,  39.617 ,  56.116 
Março,  21.683 ,  24.748 ,  26.254 ,  22.880 ,  28.928 ,  33.159 ,  29.410 ,  30.380 ,  28.644 ,  28.424 ,  35.329 ,  40.226 ,  52.030 ,  46.238 ,  53.129 ,  48.882 ,  53.744 ,  58.171 ,  48.171 ,  40.176 ,  38.618 ,  43.763 ,  53.572 
Abril,  21.882 ,  23.881 ,  26.808 ,  24.175 ,  30.246 ,  31.072 ,  29.480 ,  30.076 ,  29.200 ,  29.842 ,  32.976 ,  46.892 ,  50.680 ,  47.779 ,  56.822 ,  48.433 ,  51.678 ,  54.327 ,  50.969 ,  40.824 ,  37.381 ,  42.516 ,  52.244 
Maio,  24.084 ,  25.234 ,  27.221 ,  27.931 ,  29.303 ,  31.062 ,  30.757 ,  29.994 ,  29.703 ,  28.378 ,  31.925 ,  41.214 ,  48.130 ,  49.316 ,  59.586 ,  44.990 ,  50.964 ,  56.620 ,  45.180 ,  40.435 ,  40.216 ,  44.727 ,  55.584 
Junho,  24.138 ,  26.176 ,  26.451 ,  25.383 ,  29.873 ,  30.896 ,  29.303 ,  28.553 ,  29.048 ,  29.287 ,  31.553 ,  35.686 ,  46.612 ,  47.007 ,  54.066 ,  47.230 ,  49.044 ,  53.971 ,  44.872 ,  36.866 ,  40.047 ,  51.609 ,  49.991 
Julho,  24.424 ,  23.303 ,  27.535 ,  28.389 ,  33.462 ,  31.383 ,  30.783 ,  29.646 ,  29.426 ,  31.605 ,  32.283 ,  36.879 ,  48.510 ,  51.663 ,  56.601 ,  49.310 ,  50.101 ,  54.923 ,  41.631 ,  40.976 ,  40.645 ,  50.910 ,
Agosto,  23.568 ,  26.516 ,  27.483 ,  26.857 ,  32.711 ,  32.720 ,  32.427 ,  29.871 ,  30.768 ,  29.150 ,  32.539 ,  39.335 ,  49.386 ,  51.373 ,  55.193 ,  45.512 ,  51.736 ,  51.744 ,  43.161 ,  39.865 ,  39.770 ,  52.122 ,
Setembro,  23.955 ,  24.240 ,  28.175 ,  27.230 ,  35.126 ,  31.823 ,  32.437 ,  27.454 ,  32.714 ,  30.372 ,  33.733 ,  41.757 ,  48.229 ,  48.520 ,  57.430 ,  46.609 ,  52.352 ,  47.950 ,  39.125 ,  37.547 ,  42.619 ,  57.774 ,
Outubro,  22.493 ,  25.409 ,  31.022 ,  29.521 ,  32.993 ,  29.565 ,  30.709 ,  29.903 ,  32.624 ,  31.777 ,  33.030 ,  41.150 ,  52.213 ,  52.557 ,  60.305 ,  45.393 ,  51.063 ,  48.490 ,  40.779 ,  40.078 ,  44.769 ,  54.655 ,
Novembro,  27.908 ,  23.800 ,  24.674 ,  27.735 ,  31.259 ,  29.586 ,  30.377 ,  27.560 ,  28.318 ,  28.287 ,  33.241 ,  42.730 ,  46.143 ,  50.138 ,  50.123 ,  41.812 ,  50.942 ,  45.157 ,  39.450 ,  37.941 ,  45.183 ,  59.540 ,
Dezembro,  27.400 ,  24.277 ,  28.995 ,  31.900 ,  36.776 ,  32.821 ,  33.036 ,  30.185 ,  33.178 ,  33.827 ,  39.779 ,  55.991 ,  52.876 ,  54.610 ,  60.907 ,  51.470 ,  60.012 ,  50.085 ,  44.878 ,  42.634 ,  54.541 ,  68.228 ,
