Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  8.452 ,  10.840 ,  12.206 ,  13.347 ,  13.207 ,  13.950 ,  16.167 ,  18.585 ,  20.540 ,  22.823 ,  26.839 ,  30.206 ,  36.328 ,  42.842 ,  48.035 ,  53.959 ,  47.887 ,  51.026 ,  50.229 ,  47.590 ,  47.747 ,  48.167 ,  41.918 
Fevereiro,  9.585 ,  9.219 ,  10.952 ,  10.192 ,  11.356 ,  12.552 ,  13.839 ,  16.115 ,  17.332 ,  19.552 ,  24.777 ,  26.591 ,  32.990 ,  34.500 ,  41.495 ,  41.208 ,  45.662 ,  45.003 ,  43.195 ,  43.383 ,  42.098 ,  38.948 ,  41.077 
Março,  7.626 ,  10.375 ,  11.344 ,  9.797 ,  12.896 ,  13.979 ,  15.079 ,  17.073 ,  17.835 ,  21.204 ,  28.848 ,  30.915 ,  34.933 ,  38.643 ,  43.114 ,  47.179 ,  50.218 ,  50.760 ,  49.156 ,  44.135 ,  37.661 ,  40.430 ,  40.173 
Abril,  8.282 ,  10.161 ,  10.939 ,  11.076 ,  13.767 ,  13.269 ,  14.342 ,  17.324 ,  18.251 ,  22.085 ,  27.200 ,  27.211 ,  35.391 ,  39.611 ,  46.557 ,  46.573 ,  46.858 ,  48.747 ,  45.770 ,  45.951 ,  32.329 ,  38.119 ,  39.159 
Maio,  9.638 ,  10.555 ,  11.776 ,  11.830 ,  12.891 ,  13.757 ,  15.457 ,  17.230 ,  18.736 ,  19.935 ,  26.639 ,  29.432 ,  36.682 ,  40.893 ,  46.176 ,  46.077 ,  48.961 ,  52.008 ,  44.792 ,  45.400 ,  34.378 ,  42.087 ,  42.531 
Junho,  10.861 ,  10.754 ,  11.087 ,  11.401 ,  13.259 ,  14.363 ,  15.973 ,  17.068 ,  19.215 ,  22.207 ,  27.449 ,  30.352 ,  36.564 ,  39.203 ,  43.829 ,  47.350 ,  47.552 ,  50.999 ,  45.465 ,  42.484 ,  38.982 ,  44.230 ,  40.208 
Julho,  10.473 ,  10.861 ,  12.554 ,  12.961 ,  13.845 ,  14.772 ,  16.362 ,  17.988 ,  22.005 ,  25.025 ,  29.985 ,  31.480 ,  39.456 ,  43.235 ,  47.888 ,  51.230 ,  50.179 ,  51.476 ,  45.515 ,  50.239 ,  40.254 ,  47.255 ,
Agosto,  10.857 ,  11.125 ,  12.528 ,  12.156 ,  13.921 ,  15.431 ,  17.280 ,  18.440 ,  21.524 ,  23.476 ,  29.499 ,  32.392 ,  40.159 ,  42.854 ,  47.118 ,  48.075 ,  51.543 ,  52.423 ,  47.518 ,  47.481 ,  42.486 ,  47.553 ,
Setembro,  11.773 ,  10.561 ,  13.030 ,  12.548 ,  15.370 ,  15.573 ,  17.623 ,  16.309 ,  22.749 ,  24.260 ,  30.524 ,  31.915 ,  38.491 ,  41.201 ,  48.674 ,  49.270 ,  53.046 ,  49.777 ,  42.843 ,  45.134 ,  47.081 ,  48.055 ,
Outubro,  10.630 ,  10.893 ,  14.462 ,  13.473 ,  14.172 ,  14.409 ,  17.356 ,  18.732 ,  23.179 ,  25.599 ,  29.206 ,  31.116 ,  41.957 ,  45.105 ,  51.923 ,  49.594 ,  49.007 ,  50.856 ,  47.914 ,  49.190 ,  51.394 ,  46.277 ,
Novembro,  10.592 ,  10.977 ,  11.139 ,  11.769 ,  13.550 ,  14.377 ,  16.933 ,  17.927 ,  19.500 ,  23.769 ,  29.851 ,  33.750 ,  39.620 ,  42.779 ,  47.192 ,  45.390 ,  49.666 ,  49.548 ,  46.308 ,  46.967 ,  49.295 ,  43.607 ,
Dezembro,  10.952 ,  10.639 ,  13.312 ,  15.027 ,  15.963 ,  17.303 ,  19.310 ,  20.533 ,  25.279 ,  29.356 ,  34.574 ,  38.627 ,  42.341 ,  49.137 ,  57.209 ,  54.014 ,  55.448 ,  55.156 ,  48.956 ,  52.929 ,  56.034 ,  51.256 ,
