Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  9.563 ,  10.440 ,  11.231 ,  10.675 ,  12.338 ,  12.364 ,  13.372 ,  14.055 ,  15.545 ,  17.092 ,  20.112 ,  22.167 ,  26.749 ,  29.157 ,  30.988 ,  36.069 ,  31.611 ,  32.301 ,  33.197 ,  34.002 ,  35.915 ,  33.810 ,  33.756 
Fevereiro,  11.341 ,  9.567 ,  10.531 ,  8.840 ,  10.836 ,  12.371 ,  12.673 ,  13.552 ,  15.018 ,  15.820 ,  19.300 ,  22.520 ,  26.982 ,  26.394 ,  29.922 ,  29.005 ,  33.298 ,  31.914 ,  31.724 ,  32.640 ,  34.161 ,  30.584 ,  33.218 
Março,  9.370 ,  10.895 ,  10.203 ,  9.396 ,  12.792 ,  13.657 ,  14.472 ,  15.412 ,  16.057 ,  17.889 ,  23.635 ,  25.606 ,  29.456 ,  29.783 ,  29.751 ,  32.816 ,  35.982 ,  36.195 ,  36.191 ,  35.625 ,  32.175 ,  33.167 ,  35.881 
Abril,  10.720 ,  10.727 ,  10.703 ,  9.796 ,  13.085 ,  12.544 ,  13.453 ,  15.247 ,  16.627 ,  18.366 ,  23.336 ,  26.253 ,  28.627 ,  30.991 ,  32.570 ,  33.819 ,  34.542 ,  35.210 ,  35.050 ,  36.397 ,  29.150 ,  34.180 ,  36.123 
Maio,  11.166 ,  11.165 ,  10.524 ,  11.675 ,  13.048 ,  13.569 ,  14.710 ,  15.881 ,  16.840 ,  18.188 ,  23.095 ,  25.800 ,  29.853 ,  31.623 ,  33.166 ,  33.269 ,  35.454 ,  37.743 ,  34.124 ,  36.241 ,  30.937 ,  35.926 ,  37.540 
Junho,  12.312 ,  11.588 ,  10.467 ,  11.291 ,  12.801 ,  14.166 ,  15.585 ,  16.399 ,  16.850 ,  19.114 ,  23.365 ,  27.164 ,  29.945 ,  31.057 ,  32.252 ,  34.794 ,  34.968 ,  36.529 ,  34.336 ,  34.603 ,  32.246 ,  37.289 ,  35.301 
Julho,  11.221 ,  11.226 ,  11.792 ,  12.488 ,  14.351 ,  14.081 ,  15.637 ,  16.925 ,  18.957 ,  20.809 ,  24.612 ,  28.132 ,  30.614 ,  32.549 ,  35.323 ,  36.685 ,  36.707 ,  37.562 ,  35.534 ,  39.128 ,  36.607 ,  39.883 ,
Agosto,  12.482 ,  12.358 ,  12.633 ,  12.689 ,  14.307 ,  15.863 ,  16.905 ,  17.391 ,  18.755 ,  20.379 ,  24.723 ,  29.859 ,  31.983 ,  33.613 ,  35.291 ,  35.357 ,  38.067 ,  38.068 ,  37.821 ,  38.663 ,  36.023 ,  40.129 ,
Setembro,  13.591 ,  11.393 ,  11.987 ,  12.936 ,  15.013 ,  15.731 ,  16.027 ,  16.008 ,  19.445 ,  20.750 ,  25.436 ,  28.528 ,  32.413 ,  31.905 ,  37.691 ,  36.366 ,  37.643 ,  37.903 ,  35.965 ,  36.943 ,  38.733 ,  38.227 ,
Outubro,  11.941 ,  11.387 ,  13.077 ,  12.688 ,  14.838 ,  13.754 ,  16.127 ,  17.317 ,  19.570 ,  21.873 ,  25.786 ,  28.397 ,  33.166 ,  33.989 ,  38.404 ,  36.830 ,  36.883 ,  36.569 ,  37.638 ,  37.816 ,  41.660 ,  39.112 ,
Novembro,  11.548 ,  11.948 ,  10.470 ,  11.680 ,  13.650 ,  13.981 ,  15.229 ,  15.836 ,  17.386 ,  20.045 ,  24.920 ,  28.770 ,  31.458 ,  32.568 ,  32.602 ,  32.945 ,  35.474 ,  36.020 ,  36.250 ,  36.887 ,  37.829 ,  36.108 ,
Dezembro,  10.818 ,  10.501 ,  12.259 ,  13.166 ,  14.940 ,  14.723 ,  16.592 ,  18.087 ,  20.161 ,  23.290 ,  27.827 ,  32.016 ,  34.125 ,  34.834 ,  38.988 ,  38.900 ,  40.945 ,  40.139 ,  39.941 ,  41.122 ,  44.642 ,  41.465 ,
