Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  31.042 ,  32.196 ,  30.528 ,  26.991 ,  28.021 ,  27.189 ,  29.476 ,  29.864 ,  30.542 ,  31.398 ,  33.102 ,  34.315 ,  36.090 ,  38.416 ,  41.189 ,  42.784 ,  39.798 ,  43.187 ,  40.632 ,  42.307 ,  41.517 ,  41.684 ,  42.687 
Fevereiro,  29.326 ,  29.426 ,  28.505 ,  25.285 ,  25.235 ,  26.245 ,  25.863 ,  27.248 ,  29.227 ,  27.885 ,  30.746 ,  33.103 ,  35.264 ,  34.940 ,  37.175 ,  36.587 ,  41.576 ,  39.982 ,  38.545 ,  38.998 ,  39.042 ,  38.168 ,  39.617 
Março,  31.646 ,  32.446 ,  34.099 ,  26.585 ,  29.417 ,  27.069 ,  29.589 ,  31.850 ,  31.196 ,  32.529 ,  34.397 ,  36.132 ,  39.839 ,  35.288 ,  38.345 ,  40.981 ,  43.933 ,  47.854 ,  41.059 ,  40.756 ,  43.478 ,  43.749 ,  43.433 
Abril,  31.875 ,  32.778 ,  29.506 ,  25.779 ,  28.398 ,  29.183 ,  27.665 ,  29.420 ,  31.993 ,  31.340 ,  33.397 ,  35.298 ,  35.075 ,  38.705 ,  39.859 ,  40.438 ,  45.256 ,  41.125 ,  42.760 ,  42.116 ,  43.354 ,  42.990 ,  42.888 
Maio,  33.626 ,  34.182 ,  35.004 ,  27.107 ,  26.463 ,  27.085 ,  31.820 ,  32.583 ,  32.422 ,  32.165 ,  33.105 ,  37.492 ,  37.730 ,  38.647 ,  41.394 ,  40.035 ,  47.883 ,  46.279 ,  43.909 ,  44.000 ,  45.044 ,  43.947 ,  43.570 
Junho,  33.360 ,  34.728 ,  30.074 ,  27.877 ,  28.443 ,  30.125 ,  30.428 ,  30.814 ,  32.285 ,  33.625 ,  33.596 ,  36.187 ,  37.711 ,  37.215 ,  38.704 ,  42.070 ,  48.820 ,  45.639 ,  46.161 ,  40.719 ,  47.442 ,  44.410 ,  43.468 
Julho,  33.093 ,  33.374 ,  30.398 ,  29.518 ,  30.003 ,  30.398 ,  31.280 ,  31.332 ,  34.471 ,  34.576 ,  35.315 ,  37.031 ,  37.150 ,  41.069 ,  43.224 ,  42.763 ,  44.376 ,  45.398 ,  45.250 ,  45.043 ,  47.321 ,  45.043 ,
Agosto,  33.350 ,  33.513 ,  28.980 ,  29.014 ,  28.576 ,  30.186 ,  32.169 ,  33.220 ,  33.442 ,  34.810 ,  35.738 ,  39.004 ,  39.517 ,  41.379 ,  40.718 ,  42.348 ,  52.753 ,  48.763 ,  47.124 ,  45.175 ,  45.352 ,  43.219 ,
Setembro,  32.687 ,  32.420 ,  30.960 ,  28.258 ,  29.400 ,  29.786 ,  31.032 ,  31.523 ,  33.152 ,  34.081 ,  34.920 ,  36.830 ,  35.842 ,  38.196 ,  41.614 ,  40.378 ,  45.771 ,  43.681 ,  42.369 ,  42.546 ,  43.831 ,  41.866 ,
Outubro,  33.455 ,  33.891 ,  31.248 ,  28.745 ,  27.855 ,  28.686 ,  30.992 ,  30.654 ,  33.617 ,  34.545 ,  34.344 ,  35.908 ,  39.294 ,  40.789 ,  41.440 ,  41.065 ,  44.276 ,  43.380 ,  44.244 ,  43.819 ,  46.054 ,  44.436 ,
Novembro,  32.665 ,  32.760 ,  30.007 ,  27.183 ,  28.401 ,  29.256 ,  31.068 ,  31.665 ,  30.863 ,  32.419 ,  34.389 ,  36.643 ,  37.528 ,  38.811 ,  39.243 ,  38.481 ,  43.376 ,  42.736 ,  42.349 ,  41.837 ,  41.870 ,  39.712 ,
Dezembro,  33.728 ,  34.693 ,  31.495 ,  28.657 ,  30.395 ,  30.885 ,  31.050 ,  32.985 ,  33.767 ,  35.920 ,  37.355 ,  39.921 ,  38.732 ,  40.123 ,  42.592 ,  42.046 ,  45.984 ,  44.247 ,  40.708 ,  43.461 ,  45.402 ,  43.567 ,
