Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  37.029 ,  43.409 ,  43.339 ,  38.294 ,  39.831 ,  36.063 ,  36.323 ,  38.027 ,  38.572 ,  38.400 ,  37.130 ,  38.557 ,  42.369 ,  43.042 ,  43.772 ,  42.057 ,  42.471 ,  44.347 ,  47.010 ,  46.198 ,  46.851 ,  46.530 ,  45.783 
Fevereiro,  37.849 ,  38.344 ,  38.286 ,  36.642 ,  35.927 ,  34.936 ,  33.644 ,  36.139 ,  38.210 ,  35.551 ,  35.840 ,  38.721 ,  41.504 ,  40.181 ,  41.152 ,  42.267 ,  43.699 ,  43.542 ,  43.247 ,  44.746 ,  46.582 ,  46.239 ,  45.668 
Março,  42.077 ,  44.849 ,  43.721 ,  37.339 ,  40.819 ,  37.963 ,  40.370 ,  38.466 ,  39.343 ,  37.874 ,  41.293 ,  42.516 ,  45.098 ,  42.299 ,  43.325 ,  47.437 ,  45.850 ,  50.620 ,  46.372 ,  45.197 ,  53.302 ,  52.072 ,  50.685 
Abril,  37.620 ,  42.337 ,  39.234 ,  36.600 ,  37.792 ,  37.408 ,  37.468 ,  36.519 ,  39.359 ,  38.762 ,  38.957 ,  38.745 ,  39.430 ,  46.522 ,  44.455 ,  44.821 ,  42.372 ,  42.499 ,  45.356 ,  46.314 ,  48.895 ,  46.988 ,  43.160 
Maio,  41.871 ,  44.525 ,  42.540 ,  38.928 ,  37.772 ,  37.841 ,  40.385 ,  39.538 ,  39.541 ,  38.628 ,  37.877 ,  42.081 ,  44.794 ,  45.561 ,  45.073 ,  45.018 ,  44.463 ,  47.602 ,  37.364 ,  47.490 ,  47.185 ,  47.570 ,  48.962 
Junho,  41.197 ,  44.003 ,  34.794 ,  37.692 ,  37.955 ,  40.349 ,  39.123 ,  38.992 ,  39.638 ,  39.877 ,  39.526 ,  41.128 ,  42.528 ,  43.394 ,  43.612 ,  46.037 ,  45.429 ,  47.616 ,  57.248 ,  44.296 ,  49.688 ,  49.570 ,  48.719 
Julho,  39.622 ,  44.900 ,  42.292 ,  39.768 ,  39.376 ,  39.094 ,  37.835 ,  38.939 ,  42.340 ,  40.921 ,  40.480 ,  40.899 ,  44.528 ,  46.608 ,  47.511 ,  47.202 ,  43.967 ,  47.357 ,  46.444 ,  49.994 ,  52.665 ,  51.211 ,
Agosto,  41.834 ,  44.340 ,  37.742 ,  38.096 ,  38.933 ,  38.893 ,  39.633 ,  40.470 ,  36.922 ,  38.326 ,  40.081 ,  45.569 ,  45.573 ,  47.002 ,  46.654 ,  46.834 ,  47.156 ,  48.921 ,  48.492 ,  49.119 ,  50.069 ,  49.956 ,
Setembro,  41.323 ,  41.547 ,  36.854 ,  37.690 ,  37.489 ,  35.907 ,  37.803 ,  36.343 ,  37.253 ,  37.991 ,  38.041 ,  39.688 ,  39.701 ,  41.468 ,  44.211 ,  43.049 ,  43.316 ,  45.369 ,  44.387 ,  44.386 ,  48.033 ,  44.903 ,
Outubro,  40.275 ,  44.586 ,  39.370 ,  39.501 ,  35.502 ,  34.842 ,  39.711 ,  39.430 ,  38.986 ,  38.571 ,  37.234 ,  41.724 ,  43.177 ,  46.706 ,  45.515 ,  43.610 ,  42.594 ,  43.864 ,  46.139 ,  49.120 ,  49.228 ,  44.986 ,
Novembro,  41.756 ,  43.197 ,  39.160 ,  37.247 ,  37.449 ,  36.103 ,  38.330 ,  38.345 ,  37.177 ,  36.578 ,  39.713 ,  41.846 ,  41.741 ,  43.287 ,  41.941 ,  41.565 ,  44.730 ,  45.201 ,  46.905 ,  45.960 ,  46.048 ,  46.066 ,
Dezembro,  42.732 ,  43.874 ,  39.249 ,  38.982 ,  39.089 ,  39.794 ,  38.690 ,  39.270 ,  42.932 ,  40.821 ,  41.630 ,  43.594 ,  42.875 ,  44.621 ,  47.184 ,  45.901 ,  46.558 ,  46.596 ,  46.821 ,  48.670 ,  49.699 ,  48.931 ,
