Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Janeiro,  21.713 ,  22.920 ,  20.623 ,  19.220 ,  20.277 ,  20.413 ,  21.543 ,  22.531 ,  23.760 ,  24.155 ,  23.826 ,  24.933 ,  27.073 ,  28.612 ,  31.297 ,  32.151 ,  29.409 ,  30.556 ,  31.284 ,  31.493 ,  30.764 ,  31.994 
Fevereiro,  20.648 ,  21.267 ,  20.532 ,  18.381 ,  18.879 ,  19.974 ,  20.084 ,  21.416 ,  23.414 ,  22.574 ,  23.409 ,  24.988 ,  27.369 ,  26.923 ,  30.124 ,  30.122 ,  30.994 ,  28.483 ,  29.472 ,  28.735 ,  29.574 ,  31.310 
Março,  24.551 ,  23.610 ,  24.250 ,  19.159 ,  21.781 ,  21.844 ,  23.750 ,  24.567 ,  24.548 ,  25.180 ,  26.817 ,  27.824 ,  29.811 ,  28.431 ,  31.667 ,  32.553 ,  33.308 ,  34.765 ,  32.484 ,  30.993 ,  34.796 ,  35.932 
Abril,  21.879 ,  21.337 ,  20.996 ,  20.297 ,  21.398 ,  21.619 ,  21.868 ,  22.877 ,  24.819 ,  25.277 ,  26.021 ,  26.758 ,  26.802 ,  30.566 ,  31.559 ,  32.689 ,  32.122 ,  30.542 ,  32.071 ,  32.092 ,  33.414 ,  34.047 
Maio,  23.170 ,  22.460 ,  23.217 ,  20.753 ,  20.970 ,  22.010 ,  23.563 ,  25.267 ,  25.040 ,  24.825 ,  25.468 ,  27.741 ,  28.972 ,  30.050 ,  32.842 ,  31.393 ,  31.413 ,  33.654 ,  30.557 ,  32.321 ,  34.158 ,  32.231 
Junho,  22.547 ,  22.940 ,  20.878 ,  19.559 ,  21.045 ,  22.553 ,  22.775 ,  23.274 ,  24.213 ,  25.974 ,  25.751 ,  26.547 ,  28.015 ,  27.805 ,  30.111 ,  32.552 ,  31.509 ,  31.124 ,  32.946 ,  29.555 ,  33.888 ,  33.825 
Julho,  22.148 ,  22.018 ,  21.064 ,  20.008 ,  21.391 ,  20.929 ,  22.529 ,  22.836 ,  24.579 ,  25.318 ,  25.954 ,  26.336 ,  27.339 ,  30.149 ,  33.233 ,  32.660 ,  30.158 ,  31.053 ,  30.737 ,  31.942 ,  34.226 ,  33.768 
Agosto,  23.430 ,  22.676 ,  19.217 ,  19.802 ,  20.954 ,  22.330 ,  23.585 ,  24.729 ,  24.554 ,  24.484 ,  26.359 ,  28.326 ,  29.201 ,  31.550 ,  31.146 ,  31.657 ,  33.196 ,  33.016 ,  32.323 ,  31.083 ,  31.813 ,  33.011 
Setembro,  22.384 ,  20.524 ,  21.300 ,  21.002 ,  21.076 ,  21.950 ,  21.580 ,  22.855 ,  24.682 ,  24.825 ,  26.374 ,  27.135 ,  26.433 ,  29.393 ,  31.850 ,  30.739 ,  30.863 ,  30.885 ,  29.824 ,  29.705 ,  31.595 ,  31.261 
Outubro,  23.481 ,  23.217 ,  22.605 ,  20.853 ,  21.767 ,  21.143 ,  23.182 ,  25.059 ,  25.628 ,  26.125 ,  26.591 ,  27.581 ,  29.362 ,  31.949 ,  33.847 ,  32.613 ,  30.947 ,  31.604 ,  31.652 ,  31.933 ,  34.573 ,  32.270 
Novembro,  22.752 ,  22.492 ,  21.200 ,  18.856 ,  21.050 ,  22.364 ,  23.176 ,  23.800 ,  22.948 ,  23.819 ,  26.386 ,  27.014 ,  27.177 ,  30.239 ,  29.897 ,  29.543 ,  29.590 ,  30.255 ,  30.360 ,  30.248 ,  32.046 ,  30.929 
Dezembro,  23.485 ,  23.638 ,  22.819 ,  20.694 ,  22.628 ,  23.591 ,  23.716 ,  24.726 ,  26.618 ,  26.902 ,  28.197 ,  31.218 ,  29.261 ,  31.055 ,  34.375 ,  33.275 ,  34.068 ,  31.606 ,  31.079 ,  33.117 ,  34.831 ,  33.944 
