Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  15.733 ,  17.061 ,  14.793 ,  12.611 ,  15.211 ,  13.653 ,  13.904 ,  15.149 ,  15.960 ,  15.571 ,  16.329 ,  17.102 ,  17.800 ,  18.962 ,  20.083 ,  20.346 ,  18.787 ,  19.880 ,  18.971 ,  19.859 ,  19.492 ,  20.214 ,  18.965 
Fevereiro,  14.018 ,  12.820 ,  14.434 ,  14.020 ,  13.536 ,  12.188 ,  12.881 ,  13.392 ,  14.550 ,  14.338 ,  14.951 ,  16.185 ,  17.482 ,  17.027 ,  18.391 ,  18.434 ,  19.004 ,  18.209 ,  18.158 ,  18.706 ,  18.250 ,  18.281 ,  18.287 
Março,  16.121 ,  16.438 ,  17.521 ,  13.180 ,  16.107 ,  13.114 ,  14.724 ,  15.540 ,  15.449 ,  15.746 ,  16.947 ,  18.195 ,  18.942 ,  17.759 ,  19.106 ,  20.260 ,  20.183 ,  21.517 ,  19.556 ,  19.383 ,  21.706 ,  21.414 ,  21.144 
Abril,  15.415 ,  15.212 ,  14.323 ,  13.775 ,  14.412 ,  13.436 ,  13.781 ,  15.006 ,  15.785 ,  16.218 ,  16.642 ,  17.294 ,  17.249 ,  18.935 ,  19.406 ,  19.956 ,  19.346 ,  19.024 ,  19.959 ,  19.693 ,  20.645 ,  19.951 ,  19.067 
Maio,  16.602 ,  16.539 ,  16.192 ,  13.425 ,  13.701 ,  13.545 ,  15.236 ,  16.026 ,  16.519 ,  16.242 ,  16.891 ,  18.655 ,  18.763 ,  18.877 ,  19.928 ,  19.480 ,  20.254 ,  21.472 ,  17.019 ,  20.590 ,  21.496 ,  20.734 ,  20.477 
Junho,  16.376 ,  17.339 ,  13.445 ,  14.883 ,  14.005 ,  14.320 ,  15.050 ,  16.301 ,  16.082 ,  16.895 ,  17.022 ,  18.348 ,  18.300 ,  18.272 ,  19.244 ,  20.505 ,  20.661 ,  21.188 ,  24.505 ,  19.508 ,  22.558 ,  21.486 ,  20.710 
Julho,  16.851 ,  17.283 ,  15.845 ,  15.725 ,  14.817 ,  14.929 ,  16.161 ,  15.968 ,  17.828 ,  17.787 ,  18.421 ,  19.004 ,  19.206 ,  20.771 ,  21.860 ,  22.035 ,  20.303 ,  22.024 ,  20.923 ,  22.179 ,  23.181 ,  22.034 ,
Agosto,  17.638 ,  16.544 ,  14.800 ,  16.222 ,  14.342 ,  15.370 ,  16.305 ,  17.695 ,  16.916 ,  17.500 ,  18.484 ,  20.424 ,  20.284 ,  20.589 ,  20.682 ,  21.590 ,  22.484 ,  22.989 ,  21.399 ,  21.514 ,  22.695 ,  21.131 ,
Setembro,  17.029 ,  16.365 ,  16.086 ,  15.058 ,  14.555 ,  14.853 ,  15.372 ,  15.650 ,  16.224 ,  17.614 ,  18.101 ,  18.719 ,  18.293 ,  19.419 ,  21.401 ,  20.553 ,  20.527 ,  21.811 ,  20.334 ,  20.975 ,  21.454 ,  20.370 ,
Outubro,  17.018 ,  17.268 ,  15.632 ,  16.087 ,  13.307 ,  14.218 ,  15.408 ,  16.324 ,  17.402 ,  17.700 ,  17.483 ,  17.982 ,  19.654 ,  20.185 ,  20.935 ,  20.220 ,  20.174 ,  20.833 ,  20.065 ,  21.494 ,  21.541 ,  19.822 ,
Novembro,  15.901 ,  16.306 ,  15.147 ,  14.472 ,  14.077 ,  14.904 ,  15.075 ,  15.885 ,  15.157 ,  16.589 ,  17.480 ,  18.293 ,  18.293 ,  19.171 ,  19.483 ,  18.848 ,  20.078 ,  19.776 ,  19.700 ,  19.785 ,  19.889 ,  18.804 ,
Dezembro,  16.374 ,  16.400 ,  16.352 ,  15.917 ,  14.418 ,  15.585 ,  15.562 ,  16.271 ,  17.015 ,  17.956 ,  18.656 ,  19.232 ,  18.971 ,  19.598 ,  21.455 ,  20.539 ,  21.071 ,  20.370 ,  19.464 ,  20.911 ,  21.867 ,  19.934 ,
