Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  37.944 ,  39.205 ,  35.861 ,  30.450 ,  33.033 ,  33.581 ,  34.275 ,  37.016 ,  37.821 ,  38.600 ,  39.564 ,  40.258 ,  42.187 ,  45.940 ,  47.494 ,  47.137 ,  43.240 ,  43.804 ,  44.899 ,  45.089 ,  43.378 ,  45.033 ,  41.581 
Fevereiro,  35.649 ,  30.955 ,  34.520 ,  32.992 ,  31.138 ,  31.291 ,  30.927 ,  33.601 ,  36.422 ,  35.499 ,  37.059 ,  39.026 ,  42.458 ,  41.298 ,  44.165 ,  42.950 ,  43.165 ,  40.575 ,  42.225 ,  43.973 ,  41.716 ,  41.942 ,  40.984 
Março,  39.641 ,  38.882 ,  42.152 ,  31.118 ,  37.202 ,  34.040 ,  37.141 ,  39.708 ,  38.187 ,  39.157 ,  42.654 ,  42.790 ,  46.812 ,  43.548 ,  46.371 ,  48.139 ,  47.029 ,  50.229 ,  47.122 ,  44.967 ,  48.032 ,  48.098 ,  46.950 
Abril,  38.216 ,  37.331 ,  35.027 ,  32.748 ,  33.760 ,  35.336 ,  34.091 ,  37.099 ,  40.063 ,  39.953 ,  41.509 ,  42.494 ,  42.317 ,  45.372 ,  46.907 ,  45.363 ,  46.152 ,  42.854 ,  47.206 ,  45.950 ,  45.136 ,  44.415 ,  41.827 
Maio,  40.874 ,  40.446 ,  40.806 ,  33.326 ,  33.979 ,  34.664 ,  38.485 ,  40.413 ,  39.853 ,  39.904 ,  41.171 ,  44.137 ,  46.266 ,  46.428 ,  49.989 ,  45.649 ,  45.999 ,  48.676 ,  40.456 ,  48.373 ,  46.047 ,  44.866 ,  45.077 
Junho,  39.781 ,  40.517 ,  33.889 ,  34.045 ,  35.433 ,  36.922 ,  38.317 ,  40.859 ,  40.037 ,  42.018 ,  42.068 ,  44.004 ,  45.596 ,  44.703 ,  46.181 ,  48.026 ,  47.445 ,  48.944 ,  59.520 ,  45.268 ,  48.651 ,  47.987 ,  46.390 
Julho,  42.020 ,  40.572 ,  40.548 ,  37.163 ,  38.061 ,  37.558 ,  39.247 ,  40.611 ,  43.795 ,  44.778 ,  46.529 ,  45.900 ,  47.403 ,  49.998 ,  52.206 ,  51.597 ,  47.860 ,  51.042 ,  48.053 ,  50.953 ,  52.193 ,  49.577 ,
Agosto,  42.575 ,  41.109 ,  37.708 ,  36.392 ,  36.866 ,  39.596 ,  41.496 ,  43.273 ,  42.370 ,  43.361 ,  45.703 ,  48.286 ,  49.764 ,  50.470 ,  51.984 ,  49.677 ,  51.603 ,  53.328 ,  50.655 ,  49.457 ,  49.807 ,  48.057 ,
Setembro,  40.104 ,  38.609 ,  37.642 ,  34.835 ,  36.427 ,  37.001 ,  38.825 ,  39.704 ,  42.269 ,  42.468 ,  44.805 ,  45.350 ,  45.041 ,  47.403 ,  51.426 ,  48.037 ,  47.704 ,  50.540 ,  47.816 ,  48.052 ,  48.771 ,  45.473 ,
Outubro,  40.671 ,  40.600 ,  39.503 ,  35.848 ,  35.190 ,  36.518 ,  38.141 ,  41.542 ,  43.007 ,  42.791 ,  42.688 ,  44.035 ,  48.386 ,  49.798 ,  50.476 ,  48.255 ,  46.717 ,  48.411 ,  47.448 ,  49.635 ,  49.369 ,  43.973 ,
Novembro,  38.601 ,  38.117 ,  36.927 ,  33.603 ,  36.026 ,  35.407 ,  37.588 ,  39.778 ,  38.716 ,  39.785 ,  42.114 ,  43.448 ,  45.805 ,  47.163 ,  47.054 ,  43.951 ,  46.367 ,  46.953 ,  46.576 ,  45.728 ,  44.721 ,  42.939 ,
Dezembro,  40.625 ,  40.767 ,  40.074 ,  35.648 ,  38.364 ,  38.642 ,  39.711 ,  41.619 ,  42.221 ,  43.586 ,  45.683 ,  46.881 ,  46.814 ,  49.630 ,  50.721 ,  49.231 ,  49.640 ,  48.709 ,  47.023 ,  48.260 ,  50.019 ,  45.792 ,
