Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  14.918 ,  17.524 ,  14.348 ,  12.168 ,  13.535 ,  14.010 ,  14.622 ,  15.108 ,  15.487 ,  15.155 ,  15.311 ,  15.409 ,  16.051 ,  16.572 ,  17.019 ,  17.037 ,  16.158 ,  16.268 ,  17.117 ,  17.259 ,  17.325 ,  17.227 ,  16.523 
Fevereiro,  13.765 ,  14.440 ,  14.262 ,  12.049 ,  11.645 ,  12.927 ,  12.364 ,  13.306 ,  14.088 ,  13.932 ,  14.313 ,  14.612 ,  15.555 ,  15.028 ,  15.511 ,  15.245 ,  15.774 ,  14.953 ,  15.544 ,  15.943 ,  15.721 ,  15.687 ,  16.036 
Março,  15.429 ,  16.787 ,  16.876 ,  12.153 ,  14.337 ,  13.998 ,  15.632 ,  15.642 ,  15.132 ,  15.637 ,  16.453 ,  16.255 ,  17.042 ,  15.488 ,  15.920 ,  16.791 ,  16.956 ,  18.109 ,  17.047 ,  16.232 ,  17.709 ,  18.196 ,  17.999 
Abril,  15.017 ,  15.650 ,  13.837 ,  12.490 ,  14.573 ,  14.199 ,  13.465 ,  14.288 ,  15.607 ,  15.683 ,  15.415 ,  15.628 ,  15.336 ,  16.313 ,  16.327 ,  16.385 ,  16.465 ,  15.576 ,  17.069 ,  16.963 ,  18.252 ,  16.953 ,  16.087 
Maio,  15.977 ,  17.329 ,  15.282 ,  12.943 ,  13.446 ,  13.634 ,  15.273 ,  15.726 ,  15.852 ,  15.349 ,  15.591 ,  16.376 ,  16.643 ,  16.699 ,  17.057 ,  16.540 ,  16.821 ,  17.422 ,  15.981 ,  17.656 ,  18.058 ,  16.767 ,  17.170 
Junho,  15.359 ,  16.829 ,  13.458 ,  13.374 ,  13.939 ,  14.813 ,  15.176 ,  15.037 ,  15.832 ,  16.190 ,  15.616 ,  16.177 ,  15.846 ,  15.831 ,  16.275 ,  16.876 ,  17.006 ,  17.200 ,  19.003 ,  16.626 ,  19.367 ,  18.006 ,  17.243 
Julho,  16.356 ,  16.886 ,  15.547 ,  14.139 ,  15.270 ,  14.963 ,  15.805 ,  15.285 ,  16.750 ,  17.220 ,  17.129 ,  16.837 ,  16.929 ,  17.676 ,  18.025 ,  18.212 ,  17.001 ,  17.891 ,  18.525 ,  18.446 ,  19.335 ,  18.303 ,
Agosto,  17.060 ,  16.165 ,  14.613 ,  14.107 ,  14.989 ,  15.165 ,  16.369 ,  16.471 ,  16.410 ,  16.871 ,  16.729 ,  17.556 ,  17.916 ,  17.373 ,  17.273 ,  17.291 ,  18.432 ,  18.548 ,  18.078 ,  17.872 ,  19.006 ,  17.191 ,
Setembro,  17.217 ,  15.420 ,  14.846 ,  13.188 ,  14.566 ,  14.821 ,  15.557 ,  14.956 ,  16.234 ,  16.733 ,  16.426 ,  16.811 ,  16.036 ,  16.710 ,  18.329 ,  16.787 ,  17.296 ,  17.682 ,  17.559 ,  17.699 ,  18.213 ,  16.976 ,
Outubro,  16.645 ,  17.034 ,  15.503 ,  13.708 ,  14.130 ,  14.218 ,  15.540 ,  15.677 ,  16.584 ,  16.466 ,  15.873 ,  16.124 ,  17.020 ,  17.309 ,  17.265 ,  17.254 ,  16.309 ,  17.378 ,  17.662 ,  18.438 ,  18.791 ,  16.342 ,
Novembro,  16.398 ,  15.842 ,  13.953 ,  12.694 ,  14.675 ,  14.719 ,  15.762 ,  15.553 ,  14.894 ,  15.497 ,  15.773 ,  16.360 ,  16.200 ,  16.412 ,  15.986 ,  16.173 ,  16.820 ,  16.804 ,  17.318 ,  16.734 ,  16.691 ,  16.314 ,
Dezembro,  16.988 ,  16.727 ,  15.135 ,  14.784 ,  15.057 ,  15.460 ,  15.427 ,  16.217 ,  16.215 ,  16.478 ,  16.983 ,  16.970 ,  16.282 ,  16.870 ,  17.907 ,  17.762 ,  17.745 ,  17.279 ,  16.857 ,  18.075 ,  18.528 ,  17.158 ,
