Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  5.447 ,  6.119 ,  4.266 ,  4.386 ,  4.900 ,  4.857 ,  4.988 ,  5.520 ,  5.678 ,  5.881 ,  5.771 ,  6.329 ,  6.800 ,  7.149 ,  7.206 ,  7.303 ,  6.615 ,  7.310 ,  7.719 ,  7.174 ,  7.262 ,  7.517 ,  7.055 
Fevereiro,  5.832 ,  5.998 ,  6.408 ,  5.046 ,  4.609 ,  4.652 ,  4.827 ,  5.425 ,  5.951 ,  5.913 ,  6.103 ,  6.704 ,  7.129 ,  6.787 ,  7.116 ,  7.058 ,  7.301 ,  7.127 ,  7.167 ,  7.278 ,  7.145 ,  7.285 ,  7.296 
Março,  6.549 ,  6.630 ,  6.133 ,  4.932 ,  5.397 ,  5.392 ,  5.680 ,  5.960 ,  6.136 ,  6.420 ,  7.255 ,  7.289 ,  7.402 ,  7.162 ,  7.653 ,  7.808 ,  7.810 ,  8.737 ,  8.040 ,  7.454 ,  8.570 ,  8.485 ,  8.325 
Abril,  5.956 ,  5.766 ,  4.767 ,  5.264 ,  5.029 ,  5.233 ,  4.971 ,  5.662 ,  6.419 ,  6.560 ,  6.669 ,  7.003 ,  6.887 ,  7.521 ,  7.050 ,  7.633 ,  7.310 ,  7.306 ,  7.561 ,  7.670 ,  7.936 ,  7.825 ,  7.105 
Maio,  6.645 ,  6.379 ,  4.726 ,  5.090 ,  5.222 ,  5.472 ,  5.499 ,  6.118 ,  6.560 ,  6.193 ,  6.626 ,  6.823 ,  7.331 ,  7.497 ,  7.416 ,  7.372 ,  7.821 ,  8.025 ,  7.030 ,  7.867 ,  7.942 ,  7.704 ,  7.661 
Junho,  6.057 ,  6.448 ,  3.734 ,  4.885 ,  5.180 ,  5.272 ,  5.209 ,  5.713 ,  6.264 ,  6.421 ,  6.706 ,  6.859 ,  7.109 ,  6.801 ,  7.037 ,  7.399 ,  7.825 ,  8.153 ,  8.957 ,  7.061 ,  8.160 ,  7.966 ,  7.585 
Julho,  6.665 ,  6.177 ,  5.620 ,  5.156 ,  5.231 ,  5.389 ,  4.912 ,  5.823 ,  6.341 ,  6.708 ,  6.944 ,  6.737 ,  7.181 ,  7.565 ,  7.789 ,  7.924 ,  7.553 ,  7.610 ,  7.497 ,  7.998 ,  8.461 ,  7.941 ,
Agosto,  6.145 ,  7.038 ,  4.840 ,  5.054 ,  5.129 ,  5.517 ,  5.245 ,  6.025 ,  6.035 ,  6.239 ,  6.722 ,  7.140 ,  7.304 ,  7.663 ,  7.324 ,  7.442 ,  7.912 ,  8.205 ,  7.970 ,  7.746 ,  7.790 ,  7.773 ,
Setembro,  5.834 ,  5.959 ,  5.263 ,  5.252 ,  4.936 ,  5.282 ,  5.152 ,  5.527 ,  6.088 ,  6.322 ,  6.624 ,  6.848 ,  6.441 ,  6.742 ,  7.249 ,  7.555 ,  7.816 ,  7.602 ,  7.185 ,  7.428 ,  7.661 ,  7.605 ,
Outubro,  6.151 ,  6.526 ,  5.676 ,  5.218 ,  5.402 ,  5.456 ,  5.015 ,  5.909 ,  6.332 ,  6.400 ,  6.402 ,  6.774 ,  7.453 ,  7.471 ,  7.742 ,  7.256 ,  7.394 ,  7.640 ,  7.692 ,  7.996 ,  8.072 ,  7.234 ,
Novembro,  6.274 ,  6.110 ,  6.071 ,  4.863 ,  5.417 ,  5.380 ,  5.199 ,  6.097 ,  5.809 ,  6.169 ,  6.694 ,  7.011 ,  7.165 ,  7.247 ,  7.146 ,  7.075 ,  7.634 ,  7.521 ,  7.658 ,  7.373 ,  7.345 ,  7.415 ,
Dezembro,  6.399 ,  6.898 ,  5.505 ,  5.763 ,  5.402 ,  5.697 ,  5.388 ,  6.496 ,  6.766 ,  7.141 ,  7.291 ,  7.203 ,  7.180 ,  7.590 ,  7.934 ,  7.917 ,  8.150 ,  7.869 ,  7.833 ,  8.041 ,  8.454 ,  8.013 ,
