Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.211 ,  1.244 ,  1.061 ,  1.247 ,  966 ,  780 ,  914 ,  1.230 ,  1.124 ,  1.365 ,  1.377 ,  1.460 ,  1.546 ,  1.609 ,  1.712 ,  1.709 ,  1.689 ,  1.763 ,  1.896 ,  1.996 ,  2.048 ,  2.243 ,  2.221 
Fevereiro,  1.278 ,  1.235 ,  1.405 ,  1.017 ,  910 ,  859 ,  817 ,  1.157 ,  1.158 ,  1.241 ,  1.321 ,  1.456 ,  1.539 ,  1.546 ,  1.554 ,  1.673 ,  1.768 ,  1.765 ,  1.838 ,  1.993 ,  2.006 ,  2.214 ,  2.278 
Março,  1.324 ,  1.418 ,  1.412 ,  1.096 ,  1.115 ,  982 ,  1.030 ,  1.301 ,  1.465 ,  1.333 ,  1.555 ,  1.652 ,  1.683 ,  1.669 ,  1.760 ,  1.791 ,  1.886 ,  2.042 ,  2.096 ,  2.001 ,  2.232 ,  2.442 ,  2.579 
Abril,  1.320 ,  1.332 ,  1.214 ,  1.139 ,  963 ,  910 ,  930 ,  1.372 ,  1.335 ,  1.323 ,  1.529 ,  1.533 ,  1.658 ,  1.729 ,  1.739 ,  1.770 ,  1.801 ,  1.811 ,  2.023 ,  2.132 ,  2.274 ,  2.380 ,  2.235 
Maio,  1.333 ,  1.302 ,  1.504 ,  1.114 ,  1.038 ,  952 ,  1.047 ,  1.472 ,  1.411 ,  1.443 ,  1.532 ,  1.617 ,  1.675 ,  1.730 ,  1.794 ,  1.866 ,  1.897 ,  1.967 ,  2.214 ,  2.179 ,  2.270 ,  2.315 ,  2.484 
Junho,  1.342 ,  1.310 ,  1.273 ,  1.126 ,  1.058 ,  1.018 ,  980 ,  1.331 ,  1.485 ,  1.480 ,  1.508 ,  1.631 ,  1.631 ,  1.634 ,  1.685 ,  1.845 ,  1.904 ,  2.027 ,  2.059 ,  2.029 ,  2.324 ,  2.398 ,  2.376 
Julho,  1.407 ,  1.449 ,  1.427 ,  1.191 ,  1.049 ,  910 ,  1.037 ,  1.424 ,  1.465 ,  1.556 ,  1.625 ,  1.557 ,  1.743 ,  1.800 ,  1.888 ,  1.886 ,  1.909 ,  2.005 ,  2.191 ,  2.250 ,  2.520 ,  2.468 ,
Agosto,  1.300 ,  1.569 ,  1.273 ,  1.126 ,  995 ,  970 ,  1.027 ,  1.352 ,  1.334 ,  1.438 ,  1.593 ,  1.569 ,  1.722 ,  1.769 ,  1.800 ,  1.863 ,  1.927 ,  2.027 ,  2.174 ,  2.192 ,  2.273 ,  2.363 ,
Setembro,  1.250 ,  1.388 ,  1.156 ,  1.094 ,  1.002 ,  936 ,  1.034 ,  1.238 ,  1.435 ,  1.373 ,  1.528 ,  1.503 ,  1.574 ,  1.691 ,  1.834 ,  1.797 ,  1.964 ,  1.970 ,  2.032 ,  2.098 ,  2.255 ,  2.359 ,
Outubro,  1.378 ,  1.296 ,  1.416 ,  1.084 ,  991 ,  887 ,  1.006 ,  1.293 ,  1.356 ,  1.384 ,  1.510 ,  1.482 ,  1.640 ,  1.718 ,  1.829 ,  1.790 ,  1.788 ,  1.914 ,  2.184 ,  2.134 ,  2.353 ,  2.290 ,
Novembro,  1.285 ,  1.353 ,  1.489 ,  1.019 ,  941 ,  887 ,  985 ,  1.248 ,  1.368 ,  1.337 ,  1.499 ,  1.532 ,  1.596 ,  1.671 ,  1.683 ,  1.747 ,  1.850 ,  1.936 ,  2.022 ,  2.062 ,  2.205 ,  2.337 ,
Dezembro,  1.388 ,  1.497 ,  1.194 ,  1.150 ,  973 ,  1.006 ,  999 ,  1.333 ,  1.487 ,  1.627 ,  1.632 ,  1.658 ,  1.690 ,  1.750 ,  1.883 ,  1.931 ,  1.991 ,  2.032 ,  2.175 ,  2.248 ,  2.399 ,  2.487 ,
