Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  60.336 ,  64.455 ,  59.987 ,  55.685 ,  60.518 ,  55.891 ,  56.635 ,  59.056 ,  60.649 ,  58.620 ,  56.870 ,  58.236 ,  60.577 ,  64.801 ,  62.105 ,  62.481 ,  58.655 ,  60.390 ,  60.908 ,  58.840 ,  58.679 ,  60.796 ,  55.466 
Fevereiro,  62.760 ,  56.473 ,  58.807 ,  54.206 ,  54.401 ,  55.359 ,  53.861 ,  55.730 ,  59.667 ,  53.250 ,  53.978 ,  58.040 ,  58.296 ,  59.533 ,  58.717 ,  57.066 ,  60.709 ,  56.604 ,  57.457 ,  57.678 ,  57.649 ,  59.834 ,  56.524 
Março,  72.329 ,  69.291 ,  69.428 ,  63.600 ,  66.650 ,  63.768 ,  67.163 ,  67.019 ,  63.737 ,  62.825 ,  67.950 ,  68.978 ,  68.992 ,  68.468 ,  68.732 ,  70.840 ,  70.078 ,  73.147 ,  67.112 ,  64.477 ,  68.523 ,  70.059 ,  66.900 
Abril,  70.821 ,  66.514 ,  63.656 ,  61.772 ,  64.994 ,  64.791 ,  61.880 ,  63.034 ,  67.773 ,  63.235 ,  66.868 ,  68.158 ,  66.367 ,  72.714 ,  71.025 ,  69.864 ,  68.013 ,  65.681 ,  67.124 ,  67.604 ,  64.045 ,  66.421 ,  64.094 
Maio,  78.341 ,  78.470 ,  79.145 ,  71.092 ,  70.520 ,  68.712 ,  74.392 ,  74.611 ,  73.107 ,  65.629 ,  71.337 ,  74.770 ,  74.738 ,  76.701 ,  77.503 ,  70.694 ,  78.218 ,  76.465 ,  66.187 ,  71.177 ,  66.749 ,  72.703 ,  74.129 
Junho,  81.538 ,  76.264 ,  69.623 ,  68.240 ,  73.229 ,  70.680 ,  72.750 ,  74.041 ,  75.323 ,  73.788 ,  76.311 ,  78.863 ,  76.641 ,  76.133 ,  76.825 ,  79.174 ,  83.098 ,  77.666 ,  84.238 ,  67.523 ,  73.248 ,  78.381 ,  76.587 
Julho,  87.039 ,  79.592 ,  81.142 ,  76.783 ,  76.738 ,  72.105 ,  68.465 ,  77.872 ,  75.831 ,  80.214 ,  80.377 ,  79.693 ,  78.329 ,  84.472 ,  82.992 ,  82.128 ,  77.665 ,  78.480 ,  76.339 ,  80.694 ,  81.469 ,  81.363 ,
Agosto,  82.026 ,  74.505 ,  72.512 ,  72.085 ,  72.866 ,  73.040 ,  75.826 ,  78.239 ,  72.179 ,  72.108 ,  78.155 ,  82.382 ,  76.484 ,  83.140 ,  78.528 ,  74.431 ,  82.632 ,  77.287 ,  82.207 ,  76.724 ,  75.607 ,  75.242 ,
Setembro,  75.273 ,  72.540 ,  74.401 ,  72.239 ,  67.900 ,  72.465 ,  68.611 ,  66.319 ,  73.491 ,  70.234 ,  70.945 ,  73.591 ,  67.434 ,  73.237 ,  75.502 ,  72.414 ,  74.238 ,  68.990 ,  66.098 ,  69.878 ,  72.819 ,  69.407 ,
Outubro,  74.529 ,  74.348 ,  68.180 ,  70.093 ,  69.255 ,  65.918 ,  68.139 ,  70.646 ,  72.318 ,  70.775 ,  69.793 ,  69.311 ,  73.704 ,  76.128 ,  74.103 ,  74.503 ,  70.195 ,  69.789 ,  71.218 ,  71.988 ,  71.567 ,  68.715 ,
Novembro,  72.267 ,  67.944 ,  70.751 ,  63.695 ,  64.013 ,  64.913 ,  65.815 ,  67.376 ,  66.703 ,  62.708 ,  68.241 ,  68.510 ,  65.220 ,  68.643 ,  65.417 ,  67.876 ,  69.383 ,  68.209 ,  65.171 ,  63.854 ,  64.465 ,  62.732 ,
Dezembro,  63.988 ,  69.135 ,  65.999 ,  66.068 ,  65.940 ,  63.796 ,  61.603 ,  63.170 ,  65.013 ,  65.691 ,  66.615 ,  67.859 ,  62.556 ,  65.044 ,  67.060 ,  67.842 ,  67.252 ,  64.199 ,  61.410 ,  63.450 ,  67.058 ,  63.377 ,
