Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  268.908 ,  292.519 ,  280.038 ,  256.341 ,  251.248 ,  242.580 ,  240.030 ,  249.262 ,  253.295 ,  251.110 ,  242.601 ,  246.369 ,  261.123 ,  262.045 ,  256.721 ,  248.479 ,  238.285 ,  237.575 ,  246.958 ,  234.391 ,  242.652 ,  249.801 ,  236.651 
Fevereiro,  279.395 ,  274.141 ,  272.848 ,  250.260 ,  240.932 ,  243.857 ,  230.461 ,  235.340 ,  254.643 ,  235.586 ,  239.511 ,  249.193 ,  257.521 ,  249.669 ,  245.648 ,  245.453 ,  245.792 ,  229.984 ,  241.471 ,  239.887 ,  247.130 ,  239.042 ,  242.824 
Março,  304.826 ,  309.607 ,  303.040 ,  258.427 ,  280.385 ,  264.651 ,  271.120 ,  257.475 ,  264.688 ,  258.711 ,  282.640 ,  284.580 ,  282.657 ,  270.179 ,  269.169 ,  277.608 ,  271.807 ,  284.022 ,  266.916 ,  255.827 ,  285.911 ,  280.754 ,  274.976 
Abril,  297.112 ,  287.207 ,  279.634 ,  264.169 ,  266.616 ,  253.599 ,  255.206 ,  247.354 ,  274.843 ,  264.132 ,  273.012 ,  269.024 ,  259.534 ,  291.711 ,  276.039 ,  269.973 ,  251.298 ,  240.928 ,  263.292 ,  261.858 ,  273.793 ,  264.188 ,  245.517 
Maio,  324.020 ,  330.865 ,  314.734 ,  280.852 ,  276.869 ,  267.856 ,  288.177 ,  281.751 ,  286.549 ,  268.656 ,  282.943 ,  291.950 ,  300.279 ,  290.823 ,  294.488 ,  272.662 ,  279.864 ,  276.739 ,  262.686 ,  272.877 ,  246.633 ,  270.891 ,  282.070 
Junho,  330.873 ,  324.328 ,  277.903 ,  270.591 ,  291.990 ,  282.873 ,  277.265 ,  281.921 ,  289.113 ,  287.140 ,  295.173 ,  296.418 ,  287.447 ,  285.080 ,  281.536 ,  285.753 ,  295.883 ,  285.738 ,  296.495 ,  259.768 ,  270.586 ,  291.025 ,  282.439 
Julho,  328.840 ,  329.633 ,  330.484 ,  301.179 ,  293.277 ,  280.471 ,  277.578 ,  284.530 ,  303.667 ,  301.129 ,  300.866 ,  297.962 ,  296.775 ,  312.698 ,  310.730 ,  301.020 ,  286.036 ,  282.694 ,  271.745 ,  297.386 ,  296.023 ,  303.885 ,
Agosto,  336.942 ,  333.280 ,  302.184 ,  281.669 ,  290.429 ,  294.144 ,  292.804 ,  296.076 ,  294.459 ,  292.104 ,  303.588 ,  318.205 ,  303.730 ,  312.295 ,  301.178 ,  284.383 ,  298.744 ,  302.370 ,  293.451 ,  288.959 ,  290.741 ,  291.872 ,
Setembro,  322.476 ,  310.882 ,  290.107 ,  289.428 ,  274.095 ,  274.700 ,  272.715 ,  263.283 ,  303.083 ,  279.674 ,  283.471 ,  287.107 ,  267.780 ,  283.861 ,  291.479 ,  277.680 ,  278.135 ,  270.424 ,  265.743 ,  265.380 ,  275.308 ,  269.910 ,
Outubro,  314.183 ,  324.010 ,  307.500 ,  287.598 ,  276.040 ,  261.645 ,  273.414 ,  285.678 ,  289.044 ,  290.689 ,  282.247 ,  280.842 ,  289.873 ,  308.292 ,  290.690 ,  266.636 ,  266.815 ,  265.631 ,  274.766 ,  280.208 ,  277.205 ,  272.822 ,
Novembro,  309.212 ,  306.646 ,  291.229 ,  261.960 ,  264.609 ,  258.684 ,  270.117 ,  273.758 ,  260.238 ,  258.346 ,  279.260 ,  283.741 ,  279.499 ,  277.866 ,  266.244 ,  250.686 ,  267.171 ,  269.629 ,  264.336 ,  256.907 ,  265.759 ,  259.406 ,
Dezembro,  300.379 ,  307.748 ,  273.892 ,  274.119 ,  279.055 ,  277.582 ,  270.152 ,  273.536 ,  271.907 ,  284.323 ,  284.868 ,  287.136 ,  258.403 ,  276.143 ,  281.607 ,  267.856 ,  271.375 ,  266.034 ,  252.080 ,  266.905 ,  281.331 ,  267.208 ,
