Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  46.103 ,  25.552 ,  25.909 ,  34.142 ,  29.877 ,  28.418 ,  19.107 ,  42.059 ,  48.373 ,  31.988 ,  26.581 ,  27.213 ,  27.921 ,  109.066 ,  74.689 ,  68.406 ,  34.709 ,  11.878 ,  10.578 ,  14.159 ,  4.794 ,  29.140 ,  4.042 
Fevereiro,  49.167 ,  21.338 ,  21.622 ,  41.218 ,  37.091 ,  24.886 ,  36.111 ,  39.031 ,  34.417 ,  42.862 ,  30.104 ,  28.542 ,  16.542 ,  76.162 ,  83.777 ,  51.394 ,  29.419 ,  20.912 ,  14.219 ,  23.901 ,  4.759 ,  3.207 ,  4.709 
Março,  43.800 ,  17.632 ,  23.068 ,  39.037 ,  33.116 ,  29.917 ,  37.119 ,  40.608 ,  41.511 ,  44.797 ,  27.649 ,  24.531 ,  21.628 ,  64.180 ,  84.420 ,  49.389 ,  15.371 ,  30.687 ,  30.756 ,  15.832 ,  6.019 ,  4.217 ,  2.503 
Abril,  39.292 ,  18.738 ,  28.687 ,  37.194 ,  29.895 ,  28.779 ,  45.225 ,  23.415 ,  43.901 ,  46.084 ,  27.392 ,  31.525 ,  37.211 ,  45.844 ,  81.668 ,  37.797 ,  17.902 ,  18.937 ,  17.202 ,  14.577 ,  4.936 ,  4.460 ,  3.434 
Maio,  33.606 ,  26.044 ,  33.343 ,  24.729 ,  22.079 ,  30.411 ,  39.550 ,  33.852 ,  30.554 ,  35.166 ,  23.731 ,  28.538 ,  16.996 ,  70.511 ,  73.128 ,  36.753 ,  19.862 ,  13.612 ,  13.244 ,  7.260 ,  7.017 ,  5.652 ,  4.413 
Junho,  31.009 ,  27.807 ,  31.307 ,  23.051 ,  36.334 ,  41.917 ,  42.303 ,  31.104 ,  45.049 ,  34.562 ,  23.752 ,  30.325 ,  16.998 ,  64.781 ,  54.891 ,  38.811 ,  12.244 ,  14.062 ,  10.306 ,  4.177 ,  1.447 ,  32.324 ,  7.081 
Julho,  33.966 ,  31.492 ,  19.705 ,  33.539 ,  30.080 ,  29.836 ,  47.690 ,  42.752 ,  47.253 ,  32.753 ,  22.215 ,  26.239 ,  22.641 ,  18.018 ,  72.963 ,  32.423 ,  11.639 ,  27.145 ,  12.475 ,  5.990 ,  3.108 ,  24.672 ,
Agosto,  34.728 ,  44.141 ,  29.401 ,  19.032 ,  24.940 ,  35.676 ,  46.549 ,  50.029 ,  39.187 ,  30.813 ,  43.076 ,  31.325 ,  32.995 ,  29.046 ,  94.859 ,  38.970 ,  16.651 ,  42.743 ,  17.497 ,  4.746 ,  6.820 ,  36.020 ,
Setembro,  26.792 ,  29.179 ,  19.030 ,  27.947 ,  24.640 ,  30.722 ,  44.561 ,  57.192 ,  30.741 ,  24.276 ,  36.871 ,  26.771 ,  27.532 ,  34.869 ,  90.113 ,  48.255 ,  14.808 ,  42.153 ,  12.533 ,  6.373 ,  4.669 ,  38.400 ,
Outubro,  33.709 ,  23.753 ,  24.040 ,  26.832 ,  25.418 ,  23.694 ,  46.897 ,  59.924 ,  33.173 ,  28.620 ,  33.554 ,  23.551 ,  62.973 ,  46.230 ,  90.976 ,  47.442 ,  31.166 ,  43.595 ,  15.294 ,  3.388 ,  11.742 ,  31.798 ,
Novembro,  32.063 ,  26.028 ,  27.407 ,  35.612 ,  30.584 ,  31.932 ,  41.742 ,  53.869 ,  26.678 ,  30.355 ,  31.253 ,  21.603 ,  114.789 ,  57.107 ,  90.835 ,  36.980 ,  16.183 ,  25.019 ,  14.342 ,  789 ,  18.372 ,  26.941 ,
Dezembro,  29.519 ,  33.540 ,  21.474 ,  41.508 ,  36.537 ,  48.584 ,  32.180 ,  44.532 ,  32.842 ,  24.834 ,  24.912 ,  22.996 ,  49.109 ,  46.339 ,  89.679 ,  34.626 ,  29.263 ,  13.417 ,  18.792 ,  1.229 ,  8.372 ,  9.794 ,
