Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  3.964 ,  839 ,  1.450 ,  911 ,  895 ,  1.514 ,  1.020 ,  1.043 ,  1.009 ,  619 ,  879 ,  559 ,  806 ,  805 ,  452 ,  116 ,  43 ,  56 ,  88 ,  56 ,  8 ,  25 ,  25 
Fevereiro,  1.955 ,  1.396 ,  816 ,  1.013 ,  885 ,  1.116 ,  1.041 ,  972 ,  1.004 ,  580 ,  872 ,  530 ,  716 ,  405 ,  530 ,  111 ,  122 ,  60 ,  25 ,  33 ,  26 ,  24 ,  57 
Março,  2.113 ,  1.635 ,  7.321 ,  951 ,  1.333 ,  2.111 ,  1.429 ,  1.031 ,  853 ,  1.001 ,  1.098 ,  537 ,  834 ,  338 ,  452 ,  139 ,  68 ,  83 ,  93 ,  28 ,  80 ,  24 ,  80 
Abril,  2.429 ,  964 ,  986 ,  1.113 ,  1.746 ,  1.116 ,  1.344 ,  1.090 ,  980 ,  824 ,  1.014 ,  524 ,  759 ,  251 ,  328 ,  63 ,  98 ,  58 ,  84 ,  59 ,  25 ,  49 ,  55 
Maio,  1.641 ,  1.004 ,  1.184 ,  1.134 ,  1.038 ,  1.253 ,  1.394 ,  1.053 ,  1.026 ,  832 ,  848 ,  552 ,  766 ,  346 ,  516 ,  45 ,  40 ,  55 ,  32 ,  34 ,  51 ,  53 ,  54 
Junho,  1.776 ,  781 ,  2.606 ,  1.642 ,  1.037 ,  1.285 ,  1.103 ,  1.078 ,  1.027 ,  830 ,  842 ,  541 ,  768 ,  285 ,  407 ,  135 ,  40 ,  62 ,  57 ,  87 ,  54 ,  76 ,  77 
Julho,  1.738 ,  1.093 ,  884 ,  1.232 ,  1.073 ,  1.227 ,  1.420 ,  1.062 ,  972 ,  882 ,  563 ,  544 ,  765 ,  295 ,  246 ,  36 ,  65 ,  85 ,  30 ,  87 ,  51 ,  81 ,
Agosto,  1.987 ,  1.153 ,  873 ,  1.067 ,  1.027 ,  1.154 ,  1.262 ,  972 ,  854 ,  768 ,  653 ,  573 ,  832 ,  230 ,  154 ,  72 ,  55 ,  65 ,  59 ,  94 ,  75 ,  79 ,
Setembro,  1.022 ,  931 ,  1.076 ,  1.177 ,  1.357 ,  1.188 ,  824 ,  869 ,  735 ,  1.164 ,  639 ,  579 ,  681 ,  287 ,  84 ,  54 ,  70 ,  89 ,  32 ,  101 ,  52 ,  122 ,
Outubro,  882 ,  1.059 ,  1.322 ,  1.025 ,  1.106 ,  1.227 ,  1.012 ,  1.656 ,  845 ,  968 ,  613 ,  468 ,  907 ,  318 ,  62 ,  90 ,  55 ,  107 ,  32 ,  35 ,  162 ,  79 ,
Novembro,  737 ,  1.100 ,  984 ,  894 ,  1.236 ,  1.108 ,  1.259 ,  1.093 ,  641 ,  895 ,  666 ,  471 ,  793 ,  475 ,  91 ,  68 ,  31 ,  8 ,  88 ,  61 ,  112 ,  56 ,
Dezembro,  765 ,  884 ,  1.106 ,  1.129 ,  1.465 ,  1.253 ,  976 ,  1.051 ,  735 ,  1.041 ,  614 ,  729 ,  674 ,  483 ,  100 ,  67 ,  56 ,  57 ,  61 ,  33 ,  112 ,  25 ,
