Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  46.704 ,  45.876 ,  35.921 ,  39.502 ,  22.507 ,  29.027 ,  43.225 ,  38.740 ,  27.085 ,  6.208 ,  22.874 ,  2.885 ,  2.506 ,  41.615 ,  11.230 ,  38.422 ,  21.972 ,  877 ,  1.732 ,  1.798 ,  -   ,  16.924 ,  7.418 
Fevereiro,  49.845 ,  32.455 ,  26.840 ,  37.791 ,  17.148 ,  22.912 ,  38.404 ,  32.178 ,  25.056 ,  7.721 ,  20.220 ,  844 ,  456 ,  40.427 ,  37.152 ,  39.984 ,  22.009 ,  581 ,  1.080 ,  1.448 ,  701 ,  18.914 ,  937 
Março,  51.710 ,  39.834 ,  29.535 ,  39.632 ,  22.314 ,  30.031 ,  38.282 ,  41.397 ,  24.177 ,  20.046 ,  22.474 ,  1.252 ,  402 ,  33.765 ,  36.181 ,  38.550 ,  23.054 ,  5.196 ,  1.124 ,  1.286 ,  2.307 ,  22.409 ,  868 
Abril,  40.474 ,  39.311 ,  39.507 ,  32.416 ,  21.214 ,  31.962 ,  36.690 ,  32.164 ,  20.586 ,  22.126 ,  21.372 ,  800 ,  4.853 ,  24.092 ,  29.015 ,  36.637 ,  5.425 ,  313 ,  404 ,  2.204 ,  1.726 ,  12.371 ,  601 
Maio,  53.663 ,  39.598 ,  43.306 ,  39.212 ,  13.202 ,  39.901 ,  40.496 ,  40.727 ,  22.580 ,  9.416 ,  21.225 ,  1.631 ,  2.440 ,  36.323 ,  27.124 ,  35.283 ,  3.384 ,  17.419 ,  501 ,  307 ,  2.037 ,  20.731 ,  415 
Junho,  44.030 ,  34.054 ,  39.163 ,  37.267 ,  15.976 ,  42.392 ,  39.109 ,  38.331 ,  20.791 ,  11.755 ,  21.156 ,  1.194 ,  2.482 ,  25.545 ,  19.313 ,  23.057 ,  6.499 ,  3.021 ,  1.608 ,  520 ,  1.225 ,  19.531 ,  325 
Julho,  44.492 ,  32.236 ,  43.711 ,  35.934 ,  16.696 ,  44.027 ,  40.900 ,  36.157 ,  24.132 ,  23.939 ,  19.030 ,  1.573 ,  2.313 ,  1.169 ,  16.101 ,  17.484 ,  2.647 ,  2.691 ,  3.173 ,  1.232 ,  649 ,  28.842 ,
Agosto,  48.786 ,  33.201 ,  45.070 ,  22.711 ,  15.248 ,  43.070 ,  45.313 ,  39.207 ,  23.631 ,  23.058 ,  16.313 ,  594 ,  3.128 ,  2.186 ,  32.702 ,  14.579 ,  919 ,  26.329 ,  26.929 ,  414 ,  266 ,  27.105 ,
Setembro,  46.460 ,  31.145 ,  44.192 ,  27.318 ,  14.965 ,  45.384 ,  41.285 ,  34.102 ,  25.609 ,  23.926 ,  11.908 ,  1.305 ,  314 ,  4.594 ,  27.798 ,  18.499 ,  4.455 ,  25.581 ,  16.775 ,  644 ,  1.660 ,  27.093 ,
Outubro,  40.894 ,  25.406 ,  39.387 ,  25.646 ,  13.949 ,  39.052 ,  37.177 ,  43.725 ,  24.010 ,  22.506 ,  491 ,  783 ,  10.731 ,  27.048 ,  30.717 ,  17.527 ,  1.389 ,  26.968 ,  388 ,  129 ,  14.283 ,  24.907 ,
Novembro,  38.730 ,  31.925 ,  44.271 ,  21.269 ,  25.717 ,  42.383 ,  38.401 ,  32.762 ,  24.086 ,  23.658 ,  1.119 ,  1.215 ,  25.315 ,  42.749 ,  28.328 ,  19.461 ,  1.727 ,  21.812 ,  1.434 ,  197 ,  21.755 ,  17.188 ,
Dezembro,  38.351 ,  30.220 ,  40.888 ,  27.973 ,  32.793 ,  38.796 ,  37.110 ,  23.073 ,  9.106 ,  21.845 ,  1.100 ,  2.278 ,  24.132 ,  19.007 ,  30.744 ,  27.827 ,  2.349 ,  1.645 ,  2.487 ,  4.255 ,  25.215 ,  11.491 ,
