Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  35.486 ,  32.835 ,  36.404 ,  33.488 ,  24.581 ,  28.093 ,  26.691 ,  26.850 ,  35.428 ,  11.410 ,  21.554 ,  23.944 ,  31.877 ,  25.747 ,  28.124 ,  20.414 ,  21.836 ,  13.673 ,  10.727 ,  4.222 ,  4.255 ,  4.675 ,  6.505 
Fevereiro,  33.303 ,  34.733 ,  31.814 ,  26.795 ,  24.646 ,  24.545 ,  24.719 ,  23.974 ,  30.296 ,  24.215 ,  20.212 ,  22.673 ,  29.615 ,  25.492 ,  18.783 ,  20.657 ,  18.340 ,  6.609 ,  5.628 ,  4.198 ,  4.859 ,  4.488 ,  3.914 
Março,  40.863 ,  40.230 ,  29.821 ,  29.791 ,  26.529 ,  26.583 ,  26.840 ,  26.615 ,  33.034 ,  23.345 ,  22.893 ,  27.688 ,  30.199 ,  22.281 ,  27.480 ,  20.870 ,  23.303 ,  8.896 ,  6.012 ,  3.642 ,  4.427 ,  4.239 ,  4.725 
Abril,  37.949 ,  36.223 ,  31.404 ,  28.677 ,  22.839 ,  26.010 ,  22.268 ,  26.148 ,  34.240 ,  23.162 ,  21.200 ,  21.956 ,  26.018 ,  29.217 ,  30.331 ,  18.963 ,  21.238 ,  11.040 ,  5.859 ,  7.265 ,  5.102 ,  4.169 ,  4.840 
Maio,  47.678 ,  36.111 ,  31.267 ,  25.108 ,  25.106 ,  27.593 ,  24.559 ,  25.993 ,  28.918 ,  23.819 ,  22.121 ,  24.728 ,  31.448 ,  28.134 ,  29.521 ,  17.717 ,  9.159 ,  9.435 ,  7.705 ,  4.004 ,  5.193 ,  3.890 ,  4.778 
Junho,  40.642 ,  34.947 ,  31.423 ,  13.760 ,  25.831 ,  27.852 ,  26.980 ,  29.392 ,  29.471 ,  23.371 ,  21.880 ,  23.668 ,  23.265 ,  23.121 ,  29.981 ,  16.934 ,  8.223 ,  10.157 ,  6.430 ,  4.145 ,  3.692 ,  4.903 ,  5.198 
Julho,  43.869 ,  38.415 ,  32.976 ,  18.314 ,  29.808 ,  29.843 ,  25.584 ,  31.588 ,  30.667 ,  24.896 ,  24.181 ,  25.125 ,  28.613 ,  27.019 ,  28.913 ,  16.932 ,  12.127 ,  13.259 ,  5.852 ,  5.072 ,  3.995 ,  5.054 ,
Agosto,  42.224 ,  39.038 ,  34.986 ,  29.111 ,  30.317 ,  30.312 ,  27.653 ,  33.173 ,  34.285 ,  24.380 ,  24.101 ,  26.477 ,  28.240 ,  29.798 ,  31.292 ,  17.712 ,  10.422 ,  10.236 ,  8.408 ,  6.359 ,  7.142 ,  4.776 ,
Setembro,  40.579 ,  36.905 ,  33.744 ,  31.078 ,  31.166 ,  30.067 ,  30.760 ,  35.227 ,  31.197 ,  23.653 ,  23.304 ,  28.793 ,  22.839 ,  29.799 ,  31.562 ,  19.415 ,  14.880 ,  7.943 ,  8.228 ,  5.184 ,  5.899 ,  9.631 ,
Outubro,  39.022 ,  37.605 ,  34.549 ,  25.979 ,  29.558 ,  28.435 ,  31.369 ,  36.718 ,  27.276 ,  24.175 ,  22.601 ,  28.951 ,  28.685 ,  29.002 ,  24.189 ,  19.536 ,  18.075 ,  12.145 ,  7.153 ,  7.834 ,  4.205 ,  4.474 ,
Novembro,  36.271 ,  37.955 ,  31.390 ,  25.455 ,  29.543 ,  27.983 ,  30.665 ,  33.864 ,  24.826 ,  23.444 ,  20.574 ,  27.224 ,  22.425 ,  29.258 ,  21.091 ,  20.100 ,  17.374 ,  6.667 ,  6.343 ,  4.529 ,  4.446 ,  5.081 ,
Dezembro,  35.008 ,  34.085 ,  33.521 ,  29.366 ,  28.113 ,  29.760 ,  24.936 ,  32.825 ,  29.260 ,  21.680 ,  24.163 ,  30.766 ,  24.151 ,  30.017 ,  22.378 ,  20.418 ,  17.059 ,  8.573 ,  4.532 ,  3.980 ,  4.834 ,  4.856 ,
