Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  10.831 ,  10.830 ,  9.954 ,  12.945 ,  18.879 ,  16.946 ,  15.731 ,  19.179 ,  24.887 ,  11.539 ,  19.331 ,  29.217 ,  26.922 ,  78.282 ,  32.506 ,  69.785 ,  61.295 ,  29.882 ,  30.748 ,  36.351 ,  34.797 ,  59.873 ,  31.050 
Fevereiro,  11.389 ,  8.306 ,  8.640 ,  12.028 ,  7.341 ,  10.815 ,  21.222 ,  16.535 ,  16.272 ,  10.790 ,  6.336 ,  26.288 ,  25.923 ,  38.704 ,  39.907 ,  60.413 ,  42.107 ,  24.622 ,  25.205 ,  29.711 ,  30.939 ,  41.950 ,  33.367 
Março,  12.215 ,  10.319 ,  12.692 ,  13.059 ,  22.238 ,  19.075 ,  12.477 ,  23.664 ,  23.754 ,  12.770 ,  16.105 ,  29.212 ,  32.077 ,  38.411 ,  53.776 ,  66.281 ,  26.468 ,  27.056 ,  23.478 ,  27.130 ,  28.328 ,  36.925 ,  33.686 
Abril,  9.102 ,  8.465 ,  18.104 ,  10.231 ,  14.109 ,  14.651 ,  10.772 ,  13.852 ,  24.899 ,  12.070 ,  14.534 ,  29.034 ,  27.929 ,  42.727 ,  55.676 ,  33.279 ,  27.081 ,  22.859 ,  19.413 ,  27.620 ,  36.775 ,  30.759 ,  34.486 
Maio,  11.365 ,  10.133 ,  9.307 ,  14.209 ,  18.391 ,  14.298 ,  12.578 ,  25.532 ,  15.292 ,  12.330 ,  23.492 ,  34.406 ,  31.954 ,  43.541 ,  43.723 ,  34.126 ,  26.341 ,  27.518 ,  24.439 ,  29.371 ,  36.174 ,  32.143 ,  32.573 
Junho,  10.912 ,  8.501 ,  11.413 ,  11.114 ,  16.651 ,  18.270 ,  11.840 ,  19.689 ,  14.752 ,  12.600 ,  19.883 ,  31.203 ,  29.458 ,  58.151 ,  46.507 ,  57.870 ,  42.519 ,  26.631 ,  29.646 ,  27.654 ,  29.992 ,  63.915 ,  33.948 
Julho,  10.559 ,  8.294 ,  14.978 ,  21.022 ,  12.544 ,  17.579 ,  15.172 ,  20.729 ,  23.070 ,  15.129 ,  24.545 ,  28.673 ,  27.869 ,  22.406 ,  59.063 ,  58.996 ,  38.445 ,  25.394 ,  29.269 ,  36.471 ,  34.897 ,  74.872 ,
Agosto,  13.100 ,  7.816 ,  1.581 ,  14.839 ,  14.433 ,  18.406 ,  19.321 ,  16.403 ,  20.848 ,  12.058 ,  28.729 ,  27.754 ,  32.647 ,  22.444 ,  75.543 ,  54.053 ,  37.435 ,  64.679 ,  69.812 ,  32.496 ,  32.451 ,  71.309 ,
Setembro,  8.628 ,  7.646 ,  15.792 ,  10.921 ,  21.334 ,  22.555 ,  18.283 ,  16.382 ,  23.317 ,  12.675 ,  24.683 ,  30.355 ,  26.423 ,  22.039 ,  74.279 ,  49.838 ,  43.793 ,  69.146 ,  64.084 ,  34.600 ,  31.397 ,  69.048 ,
Outubro,  7.702 ,  8.481 ,  4.784 ,  10.527 ,  16.568 ,  13.363 ,  27.488 ,  24.215 ,  21.268 ,  13.052 ,  40.005 ,  26.507 ,  29.077 ,  27.757 ,  77.944 ,  70.676 ,  46.222 ,  78.595 ,  36.147 ,  38.901 ,  48.642 ,  77.942 ,
Novembro,  12.594 ,  7.480 ,  16.412 ,  24.189 ,  14.912 ,  17.746 ,  21.804 ,  17.504 ,  27.395 ,  12.809 ,  27.333 ,  26.264 ,  63.963 ,  28.215 ,  70.142 ,  63.263 ,  40.971 ,  62.049 ,  33.250 ,  34.908 ,  58.961 ,  61.321 ,
Dezembro,  9.780 ,  7.324 ,  17.626 ,  22.746 ,  29.881 ,  20.511 ,  18.895 ,  17.387 ,  12.304 ,  18.904 ,  22.663 ,  29.229 ,  59.576 ,  33.023 ,  75.586 ,  69.873 ,  35.789 ,  19.163 ,  30.158 ,  33.859 ,  46.876 ,  43.555 ,
