Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  3.629 ,  968 ,  720 ,  820 ,  521 ,  276 ,  158 ,  157 ,  71 ,  748 ,  779 ,  755 ,  896 ,  8.663 ,  4.812 ,  5.061 ,  4.471 ,  1.345 ,  1.977 ,  1.758 ,  59 ,  1.248 ,  892 
Fevereiro,  2.687 ,  721 ,  901 ,  771 ,  309 ,  214 ,  162 ,  79 ,  85 ,  1.736 ,  718 ,  910 ,  286 ,  6.733 ,  9.713 ,  5.436 ,  5.503 ,  348 ,  696 ,  562 ,  658 ,  1.358 ,  1.388 
Março,  3.484 ,  859 ,  986 ,  714 ,  330 ,  445 ,  122 ,  105 ,  114 ,  3.090 ,  474 ,  653 ,  267 ,  7.868 ,  7.657 ,  4.941 ,  4.189 ,  403 ,  1.684 ,  1.386 ,  1.721 ,  2.799 ,  894 
Abril,  2.477 ,  734 ,  1.127 ,  2.242 ,  541 ,  511 ,  68 ,  73 ,  141 ,  3.555 ,  714 ,  489 ,  265 ,  4.469 ,  7.363 ,  5.368 ,  4.803 ,  954 ,  1.224 ,  419 ,  1.076 ,  766 ,  488 
Maio,  921 ,  1.223 ,  1.056 ,  777 ,  416 ,  452 ,  104 ,  56 ,  14 ,  3.019 ,  620 ,  751 ,  573 ,  7.280 ,  7.217 ,  4.904 ,  3.090 ,  433 ,  324 ,  532 ,  968 ,  191 ,  453 
Junho,  2.173 ,  1.014 ,  2.701 ,  1.023 ,  478 ,  483 ,  208 ,  186 ,  46 ,  4.221 ,  946 ,  757 ,  713 ,  7.790 ,  6.340 ,  6.501 ,  631 ,  2.180 ,  1.179 ,  543 ,  820 ,  346 ,  100 
Julho,  1.700 ,  913 ,  892 ,  699 ,  463 ,  512 ,  181 ,  86 ,  30 ,  831 ,  939 ,  2.737 ,  1.029 ,  5.803 ,  5.534 ,  4.673 ,  710 ,  2.802 ,  404 ,  301 ,  489 ,  336 ,
Agosto,  1.882 ,  893 ,  1.083 ,  867 ,  308 ,  452 ,  157 ,  202 ,  28 ,  626 ,  203 ,  906 ,  355 ,  6.083 ,  6.189 ,  4.451 ,  356 ,  3.503 ,  995 ,  666 ,  865 ,  1.089 ,
Setembro,  1.820 ,  905 ,  800 ,  964 ,  259 ,  361 ,  292 ,  112 ,  28 ,  1.460 ,  856 ,  502 ,  2.070 ,  5.955 ,  5.905 ,  5.816 ,  220 ,  1.865 ,  799 ,  252 ,  499 ,  1.582 ,
Outubro,  1.577 ,  899 ,  765 ,  447 ,  378 ,  368 ,  155 ,  101 ,  0 ,  835 ,  857 ,  579 ,  2.641 ,  6.197 ,  7.100 ,  4.859 ,  1.813 ,  1.773 ,  201 ,  569 ,  494 ,  814 ,
Novembro,  965 ,  973 ,  1.960 ,  445 ,  432 ,  385 ,  158 ,  99 ,  13 ,  2.333 ,  305 ,  1.657 ,  9.937 ,  6.902 ,  6.034 ,  4.933 ,  1.624 ,  1.347 ,  660 ,  1.029 ,  626 ,  150 ,
Dezembro,  1.250 ,  1.364 ,  2.222 ,  313 ,  387 ,  390 ,  117 ,  130 ,  0 ,  848 ,  984 ,  309 ,  13.397 ,  5.541 ,  6.010 ,  4.285 ,  1.528 ,  493 ,  1.449 ,  62 ,  580 ,  -   ,
