Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.611 ,  3.380 ,  3.057 ,  2.778 ,  1.239 ,  1.010 ,  128 ,  25 ,  565 ,  334 ,  29 ,  264 ,  392 ,  290 ,  540 ,  188 ,  -   ,  -   ,  9 ,  33 ,  -   ,  0 ,  32 
Fevereiro,  4.184 ,  4.205 ,  3.039 ,  2.952 ,  2.085 ,  958 ,  317 ,  125 ,  400 ,  443 ,  -   ,  313 ,  482 ,  147 ,  360 ,  63 ,  -   ,  34 ,  76 ,  -   ,  -   ,  -   ,  61 
Março,  5.440 ,  5.151 ,  3.504 ,  2.814 ,  1.097 ,  1.018 ,  165 ,  137 ,  656 ,  520 ,  53 ,  250 ,  468 ,  236 ,  452 ,  -   ,  -   ,  32 ,  56 ,  35 ,  67 ,  -   ,  33 
Abril,  5.897 ,  5.051 ,  3.084 ,  3.189 ,  908 ,  892 ,  68 ,  114 ,  3.506 ,  448 ,  132 ,  183 ,  720 ,  211 ,  459 ,  -   ,  -   ,  157 ,  -   ,  -   ,  -   ,  32 ,  98 
Maio,  7.377 ,  5.384 ,  3.016 ,  2.285 ,  1.246 ,  1.243 ,  186 ,  28 ,  993 ,  562 ,  15 ,  165 ,  527 ,  253 ,  319 ,  -   ,  -   ,  -   ,  -   ,  34 ,  -   ,  -   ,  0 
Junho,  4.252 ,  4.945 ,  3.095 ,  2.517 ,  819 ,  872 ,  40 ,  39 ,  651 ,  461 ,  27 ,  405 ,  620 ,  192 ,  78 ,  -   ,  -   ,  94 ,  -   ,  96 ,  -   ,  -   ,  79 
Julho,  4.575 ,  4.349 ,  3.134 ,  2.527 ,  1.026 ,  663 ,  40 ,  75 ,  870 ,  417 ,  26 ,  263 ,  299 ,  389 ,  95 ,  -   ,  -   ,  89 ,  67 ,  101 ,  32 ,  -   ,
Agosto,  6.464 ,  4.434 ,  3.071 ,  2.670 ,  1.135 ,  173 ,  61 ,  14 ,  304 ,  214 ,  93 ,  336 ,  586 ,  348 ,  103 ,  -   ,  -   ,  111 ,  132 ,  -   ,  70 ,  32 ,
Setembro,  5.031 ,  3.375 ,  2.912 ,  2.864 ,  1.143 ,  127 ,  28 ,  0 ,  391 ,  86 ,  52 ,  338 ,  387 ,  351 ,  188 ,  -   ,  -   ,  57 ,  197 ,  67 ,  -   ,  -   ,
Outubro,  4.847 ,  4.034 ,  2.692 ,  2.712 ,  1.142 ,  128 ,  27 ,  102 ,  240 ,  88 ,  163 ,  454 ,  297 ,  309 ,  203 ,  -   ,  -   ,  14 ,  -   ,  -   ,  -   ,  33 ,
Novembro,  4.983 ,  3.140 ,  2.851 ,  2.407 ,  1.152 ,  199 ,  33 ,  187 ,  226 ,  130 ,  30 ,  479 ,  505 ,  350 ,  187 ,  -   ,  -   ,  50 ,  -   ,  -   ,  -   ,  33 ,
Dezembro,  4.440 ,  2.975 ,  3.436 ,  3.014 ,  1.139 ,  341 ,  2 ,  526 ,  462 ,  266 ,  48 ,  502 ,  123 ,  248 ,  168 ,  -   ,  -   ,  66 ,  -   ,  -   ,  34 ,  -   ,
