Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  50.889 ,  50.438 ,  46.934 ,  44.579 ,  49.053 ,  58.721 ,  58.087 ,  72.392 ,  67.070 ,  78.920 ,  58.713 ,  70.087 ,  68.050 ,  69.028 ,  76.392 ,  74.897 ,  84.467 ,  75.121 ,  71.935 ,  35.082 ,  65.779 ,  65.317 ,  63.561 
Fevereiro,  47.775 ,  45.173 ,  45.019 ,  47.538 ,  63.580 ,  51.597 ,  59.427 ,  66.444 ,  63.359 ,  76.546 ,  65.430 ,  59.743 ,  71.269 ,  66.182 ,  59.396 ,  65.310 ,  76.465 ,  62.377 ,  64.206 ,  29.970 ,  55.665 ,  59.979 ,  51.573 
Março,  54.322 ,  51.839 ,  50.751 ,  58.994 ,  50.075 ,  55.277 ,  67.496 ,  77.059 ,  63.609 ,  78.911 ,  71.471 ,  66.701 ,  79.336 ,  79.124 ,  74.637 ,  75.204 ,  77.689 ,  79.561 ,  39.453 ,  33.251 ,  66.656 ,  67.926 ,  63.449 
Abril,  46.038 ,  49.458 ,  57.506 ,  57.309 ,  55.880 ,  54.594 ,  79.719 ,  69.202 ,  61.358 ,  79.006 ,  74.750 ,  68.477 ,  80.741 ,  73.117 ,  77.536 ,  72.165 ,  73.279 ,  77.845 ,  37.162 ,  30.221 ,  65.938 ,  69.760 ,  53.561 
Maio,  52.004 ,  48.287 ,  44.368 ,  52.553 ,  45.756 ,  57.057 ,  74.309 ,  76.441 ,  59.181 ,  76.994 ,  71.131 ,  64.822 ,  77.794 ,  65.153 ,  80.005 ,  72.378 ,  75.242 ,  68.736 ,  40.586 ,  39.418 ,  73.125 ,  69.779 ,  63.943 
Junho,  48.041 ,  44.679 ,  54.705 ,  52.881 ,  50.954 ,  53.305 ,  76.234 ,  73.873 ,  61.455 ,  75.047 ,  74.408 ,  63.660 ,  69.285 ,  50.567 ,  74.173 ,  76.673 ,  77.604 ,  68.554 ,  31.902 ,  47.383 ,  51.530 ,  60.279 ,  57.332 
Julho,  50.536 ,  44.503 ,  44.553 ,  55.043 ,  56.502 ,  52.837 ,  74.684 ,  81.768 ,  67.671 ,  78.537 ,  67.007 ,  67.406 ,  78.608 ,  62.833 ,  76.991 ,  79.203 ,  59.553 ,  78.117 ,  34.499 ,  66.468 ,  52.242 ,  73.029 ,
Agosto,  51.172 ,  41.951 ,  47.259 ,  49.487 ,  51.753 ,  58.832 ,  75.007 ,  81.530 ,  86.824 ,  70.426 ,  85.348 ,  70.890 ,  71.952 ,  65.967 ,  75.711 ,  79.511 ,  74.971 ,  82.129 ,  34.916 ,  56.907 ,  54.666 ,  74.034 ,
Setembro,  49.910 ,  40.470 ,  45.742 ,  40.685 ,  48.806 ,  54.963 ,  74.742 ,  82.242 ,  76.995 ,  72.265 ,  65.668 ,  68.941 ,  82.442 ,  68.454 ,  99.640 ,  76.506 ,  78.278 ,  72.309 ,  36.615 ,  58.005 ,  26.238 ,  74.712 ,
Outubro,  50.303 ,  52.441 ,  38.821 ,  53.341 ,  50.715 ,  33.202 ,  80.228 ,  87.456 ,  90.553 ,  70.909 ,  68.395 ,  78.752 ,  78.464 ,  70.716 ,  49.563 ,  79.697 ,  75.769 ,  79.397 ,  33.325 ,  62.004 ,  50.685 ,  51.097 ,
Novembro,  56.295 ,  44.370 ,  44.521 ,  56.997 ,  54.988 ,  51.080 ,  83.355 ,  79.552 ,  77.245 ,  66.682 ,  68.077 ,  64.671 ,  59.964 ,  74.301 ,  72.173 ,  82.829 ,  53.371 ,  75.107 ,  38.396 ,  61.804 ,  62.717 ,  88.077 ,
Dezembro,  52.667 ,  47.567 ,  53.352 ,  61.063 ,  53.286 ,  56.791 ,  74.310 ,  77.246 ,  88.550 ,  72.895 ,  71.692 ,  77.732 ,  66.210 ,  88.731 ,  74.310 ,  80.894 ,  89.124 ,  71.285 ,  36.415 ,  56.766 ,  66.837 ,  69.301 ,
