Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  4.406 ,  1.013 ,  1.047 ,  899 ,  837 ,  707 ,  461 ,  108 ,  311 ,  71 ,  43 ,  57 ,  2.337 ,  30.025 ,  36.849 ,  49.210 ,  33.359 ,  18.218 ,  10.163 ,  6.433 ,  326 ,  28.485 ,  -   
Fevereiro,  5.057 ,  898 ,  969 ,  575 ,  583 ,  664 ,  118 ,  112 ,  67 ,  177 ,  28 ,  485 ,  13 ,  19.141 ,  54.812 ,  45.932 ,  20.368 ,  12.534 ,  15.290 ,  20.484 ,  340 ,  14.311 ,  16 
Março,  4.446 ,  1.151 ,  727 ,  588 ,  681 ,  681 ,  168 ,  158 ,  134 ,  29 ,  42 ,  2.660 ,  13 ,  31.130 ,  43.091 ,  48.087 ,  11.495 ,  28.644 ,  26.041 ,  17.667 ,  -   ,  2.265 ,  -   
Abril,  4.475 ,  971 ,  969 ,  514 ,  535 ,  688 ,  89 ,  237 ,  178 ,  174 ,  28 ,  458 ,  2.762 ,  24.991 ,  55.030 ,  42.939 ,  38.407 ,  15.439 ,  12.526 ,  26.139 ,  995 ,  15 ,  -   
Maio,  3.913 ,  1.076 ,  1.225 ,  525 ,  731 ,  670 ,  80 ,  264 ,  57 ,  59 ,  84 ,  327 ,  2.498 ,  37.032 ,  48.064 ,  41.090 ,  16.977 ,  7.366 ,  640 ,  24.613 ,  445 ,  623 ,  -   
Junho,  3.565 ,  652 ,  4.431 ,  725 ,  802 ,  661 ,  95 ,  116 ,  58 ,  145 ,  14 ,  301 ,  13 ,  35.184 ,  34.505 ,  53.462 ,  10.376 ,  5.655 ,  1.550 ,  288 ,  -   ,  56.191 ,  248 
Julho,  2.160 ,  1.242 ,  959 ,  848 ,  1.151 ,  687 ,  172 ,  114 ,  102 ,  114 ,  14 ,  299 ,  26 ,  3.963 ,  33.022 ,  39.315 ,  2.535 ,  11.482 ,  6.942 ,  -   ,  17 ,  45.098 ,
Agosto,  4.259 ,  959 ,  796 ,  820 ,  1.476 ,  656 ,  230 ,  105 ,  146 ,  71 ,  57 ,  225 ,  65 ,  24 ,  62.116 ,  32.650 ,  6.603 ,  50.207 ,  46.770 ,  -   ,  -   ,  58.407 ,
Setembro,  2.816 ,  774 ,  948 ,  721 ,  695 ,  825 ,  188 ,  92 ,  225 ,  85 ,  70 ,  79 ,  26 ,  28.059 ,  66.503 ,  42.076 ,  15.932 ,  47.301 ,  38.150 ,  -   ,  -   ,  59.690 ,
Outubro,  2.667 ,  819 ,  913 ,  587 ,  696 ,  601 ,  170 ,  147 ,  113 ,  114 ,  42 ,  86 ,  13.570 ,  36.668 ,  67.492 ,  39.499 ,  31.274 ,  48.640 ,  11.878 ,  -   ,  12.072 ,  62.983 ,
Novembro,  2.107 ,  1.009 ,  681 ,  731 ,  600 ,  281 ,  113 ,  106 ,  71 ,  71 ,  1.025 ,  272 ,  52.690 ,  52.185 ,  60.544 ,  42.723 ,  16.618 ,  38.628 ,  16.965 ,  347 ,  28.232 ,  40.788 ,
Dezembro,  1.144 ,  583 ,  695 ,  607 ,  683 ,  303 ,  117 ,  115 ,  156 ,  14 ,  28 ,  3.015 ,  62.993 ,  29.175 ,  51.601 ,  36.155 ,  22.195 ,  8.773 ,  17.054 ,  971 ,  24.428 ,  12.786 ,
