Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.186 ,  497 ,  405 ,  176 ,  99 ,  267 ,  329 ,  107 ,  154 ,  42 ,  114 ,  50 ,  37 ,  68 ,  57 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Fevereiro,  2.078 ,  207 ,  202 ,  75 ,  124 ,  159 ,  218 ,  49 ,  109 ,  57 ,  36 ,  51 ,  48 ,  47 ,  43 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Março,  2.268 ,  219 ,  183 ,  97 ,  136 ,  63 ,  331 ,  80 ,  102 ,  70 ,  66 ,  50 ,  34 ,  39 ,  57 ,  57 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Abril,  1.346 ,  323 ,  197 ,  323 ,  109 ,  113 ,  282 ,  40 ,  73 ,  71 ,  78 ,  38 ,  37 ,  59 ,  43 ,  57 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Maio,  1.329 ,  340 ,  272 ,  160 ,  96 ,  261 ,  109 ,  103 ,  54 ,  26 ,  111 ,  37 ,  47 ,  50 ,  43 ,  54 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Junho,  576 ,  423 ,  233 ,  135 ,  85 ,  182 ,  108 ,  53 ,  126 ,  116 ,  74 ,  50 ,  24 ,  56 ,  43 ,  40 ,  42 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Julho,  208 ,  199 ,  154 ,  224 ,  97 ,  388 ,  136 ,  126 ,  58 ,  47 ,  60 ,  24 ,  36 ,  36 ,  58 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Agosto,  761 ,  488 ,  154 ,  186 ,  110 ,  124 ,  95 ,  79 ,  88 ,  80 ,  118 ,  39 ,  47 ,  53 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Setembro,  1.623 ,  479 ,  165 ,  76 ,  119 ,  193 ,  80 ,  69 ,  86 ,  100 ,  128 ,  36 ,  48 ,  41 ,  29 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Outubro,  767 ,  461 ,  195 ,  125 ,  84 ,  660 ,  42 ,  95 ,  80 ,  82 ,  77 ,  24 ,  51 ,  58 ,  57 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Novembro,  902 ,  379 ,  135 ,  86 ,  96 ,  204 ,  117 ,  56 ,  70 ,  106 ,  38 ,  38 ,  35 ,  57 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   ,
Dezembro,  295 ,  224 ,  148 ,  132 ,  123 ,  201 ,  38 ,  53 ,  80 ,  51 ,  39 ,  34 ,  36 ,  43 ,  57 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
