Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  26 ,  29 ,  -   ,  29 ,  -   ,  -   ,  -   ,  4 ,  -   ,  -   ,  18.155 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Fevereiro,  -   ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,  20.443 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Março,  -   ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0 ,  -   ,  -   ,  32.383 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Abril,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0 ,  0 ,  19.666 ,  31.176 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Maio,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0 ,  0 ,  20.502 ,  26.299 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Junho,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  29.256 ,  30.712 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Julho,  -   ,  -   ,  -   ,  -   ,  -   ,  26 ,  -   ,  4 ,  0 ,  37.449 ,  36.832 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Agosto,  51 ,  55 ,  30 ,  -   ,  -   ,  25 ,  -   ,  0 ,  -   ,  38.056 ,  34.043 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Setembro,  60 ,  26 ,  26 ,  -   ,  -   ,  26 ,  -   ,  0 ,  -   ,  38.271 ,  34.496 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Outubro,  24 ,  28 ,  30 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0 ,  36.054 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Novembro,  -   ,  -   ,  30 ,  -   ,  -   ,  -   ,  -   ,  0 ,  -   ,  21.557 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
Dezembro,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0 ,  24.044 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,
