Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  20.637 ,  23.555 ,  17.198 ,  16.996 ,  12.201 ,  13.065 ,  13.216 ,  12.897 ,  14.080 ,  8.304 ,  7.569 ,  8.702 ,  5.993 ,  4.582 ,  4.989 ,  4.767 ,  4.024 ,  3.865 ,  3.024 ,  2.827 ,  2.845 ,  3.290 ,  2.519 
Fevereiro,  23.039 ,  15.677 ,  15.716 ,  14.562 ,  10.650 ,  11.971 ,  11.460 ,  11.461 ,  12.034 ,  7.068 ,  7.850 ,  7.645 ,  5.371 ,  4.327 ,  4.466 ,  3.510 ,  2.963 ,  3.157 ,  3.089 ,  2.846 ,  2.118 ,  2.244 ,  3.792 
Março,  25.683 ,  22.309 ,  15.641 ,  16.199 ,  12.865 ,  14.796 ,  14.629 ,  13.499 ,  12.032 ,  8.362 ,  8.069 ,  9.646 ,  7.369 ,  4.800 ,  5.075 ,  4.755 ,  3.899 ,  3.993 ,  3.476 ,  2.987 ,  2.352 ,  3.593 ,  2.741 
Abril,  24.672 ,  19.753 ,  17.965 ,  16.587 ,  13.716 ,  14.239 ,  13.685 ,  13.381 ,  12.068 ,  7.996 ,  9.532 ,  8.472 ,  5.008 ,  5.566 ,  4.479 ,  4.534 ,  3.075 ,  3.755 ,  3.065 ,  2.858 ,  2.295 ,  3.913 ,  3.657 
Maio,  22.093 ,  23.065 ,  16.591 ,  17.664 ,  14.101 ,  16.781 ,  14.885 ,  15.437 ,  12.232 ,  6.972 ,  7.353 ,  8.884 ,  4.380 ,  5.117 ,  6.620 ,  3.960 ,  4.217 ,  4.175 ,  2.044 ,  3.200 ,  1.806 ,  4.000 ,  5.598 
Junho,  23.730 ,  22.203 ,  16.896 ,  16.906 ,  16.319 ,  16.134 ,  12.941 ,  14.627 ,  12.834 ,  8.066 ,  8.512 ,  9.455 ,  5.844 ,  6.017 ,  5.399 ,  4.871 ,  3.576 ,  5.566 ,  3.499 ,  2.873 ,  2.834 ,  3.782 ,  3.642 
Julho,  25.736 ,  22.814 ,  18.248 ,  17.836 ,  17.916 ,  15.754 ,  12.233 ,  15.583 ,  11.797 ,  10.115 ,  9.718 ,  7.544 ,  5.190 ,  6.046 ,  8.644 ,  4.925 ,  4.038 ,  3.582 ,  3.326 ,  3.199 ,  3.530 ,  3.676 ,
Agosto,  26.768 ,  21.456 ,  17.803 ,  14.310 ,  15.080 ,  17.724 ,  13.261 ,  14.532 ,  8.738 ,  8.373 ,  8.789 ,  11.167 ,  4.652 ,  4.576 ,  5.745 ,  3.535 ,  2.200 ,  3.416 ,  2.384 ,  2.499 ,  3.837 ,  3.457 ,
Setembro,  22.664 ,  19.213 ,  17.142 ,  16.585 ,  15.477 ,  16.243 ,  12.352 ,  12.664 ,  10.169 ,  10.087 ,  7.573 ,  9.855 ,  4.910 ,  4.817 ,  5.181 ,  3.706 ,  3.140 ,  3.736 ,  2.534 ,  2.654 ,  3.289 ,  2.744 ,
Outubro,  25.088 ,  22.399 ,  18.381 ,  14.154 ,  15.887 ,  16.140 ,  11.701 ,  14.825 ,  10.426 ,  7.944 ,  7.616 ,  6.614 ,  5.328 ,  5.536 ,  5.648 ,  5.134 ,  3.100 ,  4.039 ,  3.754 ,  2.631 ,  2.789 ,  2.604 ,
Novembro,  23.007 ,  17.674 ,  16.711 ,  14.404 ,  16.240 ,  15.268 ,  12.801 ,  12.973 ,  10.336 ,  6.321 ,  9.513 ,  7.470 ,  5.105 ,  3.905 ,  4.276 ,  4.556 ,  2.457 ,  3.111 ,  2.515 ,  2.547 ,  3.713 ,  2.887 ,
Dezembro,  19.098 ,  16.157 ,  16.083 ,  12.436 ,  15.252 ,  14.196 ,  12.753 ,  11.182 ,  8.069 ,  7.387 ,  9.113 ,  5.218 ,  3.878 ,  4.324 ,  4.512 ,  3.116 ,  2.449 ,  2.265 ,  2.186 ,  1.912 ,  3.114 ,  2.897 ,
