Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  26.580 ,  32.330 ,  27.769 ,  33.629 ,  39.398 ,  33.552 ,  31.679 ,  33.331 ,  33.857 ,  32.805 ,  32.122 ,  38.162 ,  40.867 ,  41.327 ,  41.623 ,  40.649 ,  34.405 ,  34.826 ,  33.484 ,  31.298 ,  33.741 ,  33.374 ,  34.169 
Fevereiro,  27.261 ,  28.440 ,  28.577 ,  25.735 ,  24.428 ,  27.430 ,  26.095 ,  26.968 ,  31.322 ,  26.776 ,  28.644 ,  35.686 ,  37.422 ,  35.536 ,  37.545 ,  33.568 ,  32.079 ,  29.513 ,  27.888 ,  29.111 ,  28.364 ,  28.895 ,  34.992 
Março,  24.085 ,  26.900 ,  28.454 ,  19.592 ,  27.029 ,  24.719 ,  25.703 ,  24.117 ,  26.776 ,  27.539 ,  29.159 ,  37.104 ,  36.172 ,  33.593 ,  36.706 ,  39.156 ,  33.648 ,  31.303 ,  30.039 ,  28.249 ,  25.276 ,  30.743 ,  35.335 
Abril,  20.770 ,  20.800 ,  22.025 ,  19.873 ,  21.262 ,  19.905 ,  19.342 ,  20.065 ,  23.905 ,  21.459 ,  23.616 ,  27.624 ,  26.742 ,  29.968 ,  33.513 ,  34.700 ,  27.419 ,  25.585 ,  26.453 ,  27.143 ,  20.092 ,  25.521 ,  29.483 
Maio,  20.076 ,  21.096 ,  21.297 ,  19.557 ,  18.269 ,  18.774 ,  20.223 ,  20.931 ,  20.864 ,  19.441 ,  24.051 ,  25.670 ,  28.803 ,  28.196 ,  30.152 ,  29.093 ,  28.040 ,  27.879 ,  23.816 ,  26.108 ,  20.011 ,  24.517 ,  29.936 
Junho,  18.135 ,  20.544 ,  18.765 ,  17.908 ,  18.378 ,  18.664 ,  19.261 ,  20.306 ,  20.072 ,  20.110 ,  22.618 ,  25.113 ,  27.246 ,  26.018 ,  27.034 ,  26.987 ,  26.267 ,  24.351 ,  26.838 ,  23.204 ,  20.546 ,  25.292 ,  24.471 
Julho,  17.532 ,  20.801 ,  20.979 ,  20.076 ,  19.718 ,  19.793 ,  20.543 ,  21.191 ,  21.674 ,  22.863 ,  24.842 ,  25.427 ,  26.282 ,  28.275 ,  29.811 ,  28.013 ,  26.319 ,  24.293 ,  25.765 ,  25.264 ,  25.201 ,  26.270 ,
Agosto,  20.157 ,  23.006 ,  22.126 ,  19.519 ,  20.269 ,  21.846 ,  23.415 ,  22.421 ,  21.828 ,  20.903 ,  25.961 ,  28.382 ,  29.040 ,  29.973 ,  30.441 ,  28.023 ,  29.721 ,  28.012 ,  29.457 ,  26.566 ,  26.557 ,  27.780 ,
Setembro,  21.694 ,  22.904 ,  26.385 ,  24.260 ,  26.209 ,  24.935 ,  26.340 ,  24.014 ,  26.863 ,  26.742 ,  30.435 ,  33.394 ,  30.663 ,  30.576 ,  34.327 ,  30.753 ,  32.127 ,  27.589 ,  29.339 ,  29.748 ,  30.024 ,  31.819 ,
Outubro,  28.148 ,  29.458 ,  35.496 ,  31.741 ,  31.379 ,  30.935 ,  32.568 ,  34.398 ,  33.130 ,  35.647 ,  37.039 ,  39.453 ,  40.046 ,  38.423 ,  38.897 ,  36.558 ,  35.046 ,  32.744 ,  35.200 ,  36.417 ,  36.662 ,  36.672 ,
Novembro,  31.551 ,  32.608 ,  35.583 ,  30.377 ,  34.578 ,  34.614 ,  33.638 ,  34.228 ,  30.663 ,  34.653 ,  40.174 ,  40.031 ,  41.700 ,  40.496 ,  39.214 ,  36.001 ,  37.010 ,  34.845 ,  35.107 ,  34.499 ,  34.320 ,  37.830 ,
Dezembro,  32.329 ,  32.189 ,  36.141 ,  34.845 ,  36.978 ,  33.753 ,  34.701 ,  33.288 ,  34.884 ,  37.976 ,  42.805 ,  43.295 ,  40.054 ,  39.167 ,  41.570 ,  39.894 ,  38.828 ,  35.079 ,  33.324 ,  34.446 ,  36.463 ,  38.311 ,
