Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  50.005 ,  36.288 ,  42.495 ,  37.129 ,  45.255 ,  64.414 ,  66.138 ,  50.450 ,  51.206 ,  62.668 ,  69.490 ,  102.626 ,  98.428 ,  106.242 ,  102.942 ,  101.910 ,  78.591 ,  57.320 ,  93.547 ,  91.216 ,  70.639 ,  51.987 ,  83.459 
Fevereiro,  48.091 ,  34.727 ,  38.731 ,  36.032 ,  44.682 ,  54.774 ,  58.768 ,  47.488 ,  53.644 ,  55.658 ,  72.828 ,  100.645 ,  97.011 ,  101.904 ,  100.231 ,  81.715 ,  77.039 ,  61.476 ,  83.427 ,  74.097 ,  59.749 ,  46.339 ,  79.567 
Março,  48.297 ,  36.425 ,  45.234 ,  37.806 ,  47.926 ,  67.068 ,  63.322 ,  54.938 ,  57.808 ,  59.636 ,  98.809 ,  104.418 ,  100.303 ,  108.269 ,  99.271 ,  91.857 ,  80.091 ,  65.453 ,  94.673 ,  78.138 ,  65.863 ,  61.782 ,  80.479 
Abril,  41.858 ,  35.951 ,  38.957 ,  37.885 ,  51.009 ,  54.935 ,  57.172 ,  54.410 ,  57.983 ,  63.130 ,  89.530 ,  102.381 ,  103.943 ,  114.417 ,  103.791 ,  100.076 ,  77.800 ,  71.807 ,  96.636 ,  84.423 ,  56.412 ,  92.139 ,  81.446 
Maio,  43.865 ,  38.380 ,  41.758 ,  38.656 ,  47.585 ,  62.058 ,  56.165 ,  55.490 ,  57.814 ,  62.852 ,  98.873 ,  106.929 ,  111.019 ,  112.674 ,  125.997 ,  83.815 ,  91.876 ,  97.394 ,  64.355 ,  81.764 ,  57.816 ,  81.390 ,  91.668 
Junho,  35.125 ,  38.682 ,  41.892 ,  37.684 ,  49.510 ,  69.141 ,  53.221 ,  56.221 ,  63.306 ,  65.376 ,  97.531 ,  111.145 ,  115.350 ,  112.224 ,  102.641 ,  86.349 ,  91.609 ,  102.017 ,  85.200 ,  75.935 ,  62.241 ,  87.413 ,  86.178 
Julho,  34.681 ,  38.519 ,  41.289 ,  40.715 ,  56.233 ,  70.844 ,  54.277 ,  61.288 ,  64.254 ,  75.738 ,  103.460 ,  116.416 ,  118.297 ,  123.041 ,  114.934 ,  87.829 ,  91.047 ,  100.997 ,  99.531 ,  85.566 ,  70.907 ,  77.412 ,
Agosto,  36.086 ,  42.437 ,  47.512 ,  40.287 ,  65.782 ,  81.734 ,  64.394 ,  67.502 ,  64.895 ,  78.015 ,  111.900 ,  130.761 ,  129.930 ,  121.270 ,  97.410 ,  110.896 ,  109.300 ,  103.947 ,  103.487 ,  93.216 ,  64.080 ,  89.266 ,
Setembro,  37.846 ,  42.170 ,  25.710 ,  43.968 ,  72.397 ,  80.103 ,  57.157 ,  74.816 ,  64.457 ,  81.047 ,  106.168 ,  118.593 ,  125.127 ,  113.926 ,  119.469 ,  93.041 ,  86.043 ,  103.007 ,  92.106 ,  84.813 ,  64.573 ,  89.099 ,
Outubro,  37.770 ,  45.644 ,  46.614 ,  50.031 ,  69.891 ,  77.476 ,  57.472 ,  64.632 ,  69.273 ,  93.306 ,  109.196 ,  121.292 ,  130.806 ,  123.802 ,  111.157 ,  101.841 ,  76.243 ,  94.805 ,  107.551 ,  89.660 ,  65.254 ,  94.616 ,
Novembro,  38.299 ,  43.135 ,  26.057 ,  46.314 ,  76.819 ,  76.237 ,  66.363 ,  57.292 ,  64.383 ,  89.318 ,  121.185 ,  113.673 ,  119.943 ,  101.785 ,  102.991 ,  97.152 ,  65.513 ,  88.620 ,  102.905 ,  75.265 ,  65.616 ,  84.587 ,
Dezembro,  34.029 ,  38.963 ,  40.110 ,  49.016 ,  71.051 ,  71.376 ,  59.727 ,  58.685 ,  71.379 ,  86.633 ,  107.678 ,  119.433 ,  105.577 ,  106.910 ,  114.102 ,  99.279 ,  79.448 ,  101.535 ,  86.401 ,  67.019 ,  61.278 ,  79.493 ,
