Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  147.902 ,  155.361 ,  169.080 ,  138.431 ,  153.068 ,  158.167 ,  164.580 ,  170.447 ,  271.660 ,  180.753 ,  194.305 ,  212.767 ,  240.450 ,  253.288 ,  273.140 ,  270.018 ,  219.744 ,  230.776 ,  242.471 ,  243.295 ,  247.103 ,  264.492 ,  245.466 
Fevereiro,  168.725 ,  139.637 ,  154.694 ,  136.447 ,  139.578 ,  142.732 ,  147.972 ,  146.274 ,  246.772 ,  165.426 ,  187.878 ,  207.762 ,  227.801 ,  272.400 ,  257.394 ,  221.020 ,  223.391 ,  212.587 ,  216.280 ,  232.323 ,  236.281 ,  232.408 ,  243.168 
Março,  148.222 ,  170.655 ,  170.426 ,  136.933 ,  166.015 ,  169.972 ,  168.523 ,  179.547 ,  243.320 ,  187.462 ,  228.933 ,  230.453 ,  266.386 ,  278.529 ,  269.785 ,  274.263 ,  260.082 ,  269.290 ,  265.242 ,  249.924 ,  248.515 ,  297.187 ,  282.068 
Abril,  149.074 ,  173.509 ,  167.918 ,  149.037 ,  171.319 ,  175.915 ,  155.479 ,  174.809 ,  209.253 ,  192.555 ,  224.583 ,  236.726 ,  259.061 ,  290.951 ,  310.099 ,  274.260 ,  262.874 ,  249.233 ,  263.677 ,  271.176 ,  213.012 ,  283.040 ,  266.750 
Maio,  155.890 ,  178.648 ,  168.900 ,  159.588 ,  171.654 ,  171.108 ,  173.530 ,  185.671 ,  211.638 ,  196.167 ,  234.448 ,  251.196 ,  271.623 ,  297.635 ,  301.527 ,  263.719 ,  252.193 ,  259.013 ,  200.423 ,  263.850 ,  223.415 ,  285.029 ,  263.955 
Junho,  161.229 ,  178.906 ,  155.751 ,  150.514 ,  169.299 ,  169.701 ,  167.116 ,  183.221 ,  208.067 ,  211.338 ,  227.347 ,  241.033 ,  270.580 ,  269.675 ,  265.608 ,  265.099 ,  239.177 ,  252.106 ,  280.151 ,  242.197 ,  241.623 ,  273.200 ,  249.589 
Julho,  151.629 ,  184.714 ,  165.546 ,  162.366 ,  174.869 ,  171.353 ,  171.619 ,  179.933 ,  206.712 ,  227.560 ,  238.874 ,  254.197 ,  271.805 ,  289.185 ,  290.478 ,  283.072 ,  246.037 ,  260.376 ,  270.969 ,  274.221 ,  268.408 ,  302.205 ,
Agosto,  171.500 ,  191.981 ,  129.773 ,  154.969 ,  179.159 ,  186.750 ,  185.938 ,  198.019 ,  205.974 ,  219.709 ,  242.883 ,  271.696 ,  284.126 ,  290.766 ,  299.529 ,  280.874 ,  265.261 ,  274.785 ,  287.214 ,  282.639 ,  279.727 ,  296.853 ,
Setembro,  161.425 ,  185.254 ,  165.853 ,  161.029 ,  183.843 ,  178.444 ,  180.998 ,  180.407 ,  212.850 ,  221.994 ,  237.747 ,  257.903 ,  258.560 ,  272.660 ,  308.516 ,  278.297 ,  246.726 ,  262.943 ,  260.832 ,  264.681 ,  287.061 ,  287.955 ,
Outubro,  165.132 ,  199.580 ,  189.251 ,  178.403 ,  178.602 ,  176.804 ,  182.272 ,  206.276 ,  216.597 ,  231.992 ,  236.662 ,  248.717 ,  284.767 ,  296.824 ,  317.319 ,  280.407 ,  260.497 ,  275.262 ,  282.686 ,  289.574 ,  309.354 ,  299.963 ,
Novembro,  161.152 ,  199.282 ,  165.168 ,  162.308 ,  181.132 ,  178.226 ,  181.461 ,  192.456 ,  192.173 ,  210.842 ,  235.064 ,  244.544 ,  267.990 ,  278.883 ,  277.149 ,  259.250 ,  247.307 ,  263.651 ,  272.091 ,  267.524 ,  273.748 ,  273.003 ,
Dezembro,  150.803 ,  174.152 ,  168.736 ,  165.645 ,  185.402 ,  179.451 ,  180.612 ,  209.037 ,  194.150 ,  218.878 ,  240.577 ,  247.614 ,  262.822 ,  258.153 ,  276.801 ,  256.934 ,  249.779 ,  245.605 ,  250.518 ,  257.125 ,  282.005 ,  264.965 ,
