Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  201.503 ,  219.332 ,  238.069 ,  235.379 ,  252.124 ,  234.481 ,  246.287 ,  257.835 ,  277.039 ,  276.077 ,  283.368 ,  293.076 ,  340.071 ,  386.080 ,  394.632 ,  423.913 ,  403.604 ,  381.610 ,  388.809 ,  436.829 ,  437.654 ,  434.428 ,  466.974 
Fevereiro,  237.509 ,  222.111 ,  251.285 ,  256.875 ,  264.817 ,  275.158 ,  271.674 ,  288.831 ,  306.203 ,  292.071 ,  338.194 ,  340.438 ,  370.174 ,  379.959 ,  440.294 ,  353.761 ,  426.612 ,  432.806 ,  451.400 ,  444.582 ,  505.918 ,  482.521 ,  506.932 
Março,  274.807 ,  321.508 ,  315.656 ,  306.307 ,  346.547 ,  360.186 ,  345.288 ,  367.933 ,  361.613 ,  356.752 ,  401.269 ,  425.491 ,  433.063 ,  414.705 ,  438.512 ,  476.662 ,  475.018 ,  490.742 ,  497.751 ,  465.694 ,  513.817 ,  617.723 ,  547.920 
Abril,  274.020 ,  273.465 ,  286.476 ,  288.856 ,  325.005 ,  307.987 ,  287.508 ,  288.377 ,  343.679 ,  330.960 ,  341.684 ,  350.137 ,  369.035 ,  424.480 ,  411.246 ,  414.424 ,  432.440 ,  381.538 ,  461.944 ,  452.177 ,  420.525 ,  518.620 ,  477.124 
Maio,  250.320 ,  268.192 ,  265.264 ,  297.767 ,  275.453 ,  291.192 ,  282.281 ,  295.134 ,  328.724 ,  315.990 ,  339.862 ,  382.752 ,  395.629 ,  403.589 ,  439.834 ,  412.251 ,  408.254 ,  433.457 ,  348.011 ,  455.323 ,  465.551 ,  490.889 ,  511.175 
Junho,  273.576 ,  263.064 ,  267.679 ,  266.144 ,  294.582 ,  293.846 ,  280.073 ,  310.870 ,  339.412 ,  321.965 ,  347.768 ,  365.483 ,  372.442 ,  376.618 ,  401.535 ,  441.576 ,  442.392 ,  447.837 ,  490.752 ,  470.472 ,  467.515 ,  479.727 ,  468.603 
Julho,  246.804 ,  273.965 ,  290.832 ,  299.992 ,  311.590 ,  297.982 ,  295.295 ,  309.806 ,  345.278 ,  319.251 ,  367.465 ,  372.890 ,  402.046 ,  454.352 ,  465.257 ,  419.390 ,  456.011 ,  503.168 ,  506.808 ,  520.079 ,  514.211 ,  547.803 ,
Agosto,  271.591 ,  310.435 ,  298.384 ,  316.059 ,  348.684 ,  331.253 ,  320.199 ,  346.730 ,  332.764 ,  327.465 ,  384.734 ,  416.040 ,  468.061 ,  489.306 ,  473.556 ,  470.308 ,  448.191 ,  493.586 ,  517.450 ,  525.252 ,  520.255 ,  584.058 ,
Setembro,  246.292 ,  283.961 ,  301.944 ,  309.260 ,  328.659 ,  300.205 ,  308.544 ,  315.517 ,  357.876 ,  329.345 ,  373.439 ,  421.758 ,  414.805 ,  439.947 ,  448.149 ,  450.677 ,  462.356 ,  480.554 ,  473.553 ,  474.910 ,  539.533 ,  542.750 ,
Outubro,  267.572 ,  295.240 ,  332.723 ,  326.118 ,  308.133 ,  290.589 ,  320.642 ,  348.680 ,  347.526 ,  349.356 ,  370.793 ,  392.533 ,  434.592 ,  477.232 ,  504.042 ,  469.039 ,  422.616 ,  454.324 ,  458.686 ,  519.511 ,  554.200 ,  540.289 ,
Novembro,  261.220 ,  271.780 ,  266.145 ,  279.734 ,  281.003 ,  290.671 ,  293.352 ,  307.088 ,  307.482 ,  321.683 ,  353.191 ,  376.114 ,  404.808 ,  440.185 ,  412.638 ,  397.806 ,  399.294 ,  431.607 ,  458.588 ,  451.226 ,  477.953 ,  510.631 ,
Dezembro,  226.565 ,  225.857 ,  238.727 ,  267.583 ,  265.099 ,  268.239 ,  260.335 ,  269.180 ,  282.618 ,  313.051 ,  324.495 ,  345.871 ,  353.531 ,  372.910 ,  383.268 ,  385.579 ,  377.271 ,  394.965 ,  431.073 ,  391.946 ,  433.501 ,  490.628 ,
