Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.155 ,  1.528 ,  765 ,  978 ,  830 ,  885 ,  863 ,  1.431 ,  1.119 ,  1.120 ,  1.151 ,  1.493 ,  1.400 ,  1.185 ,  1.142 ,  1.051 ,  939 ,  1.009 ,  1.059 ,  1.070 ,  1.325 ,  1.150 ,  1.015 
Fevereiro,  1.251 ,  1.021 ,  715 ,  808 ,  760 ,  965 ,  736 ,  1.138 ,  1.087 ,  1.003 ,  1.180 ,  1.301 ,  1.027 ,  1.018 ,  967 ,  946 ,  762 ,  827 ,  932 ,  1.018 ,  1.302 ,  1.018 ,  638 
Março,  813 ,  1.453 ,  652 ,  785 ,  931 ,  1.032 ,  863 ,  1.191 ,  1.127 ,  1.364 ,  1.336 ,  1.433 ,  1.098 ,  1.030 ,  1.369 ,  1.024 ,  741 ,  963 ,  1.031 ,  979 ,  907 ,  807 ,  1.222 
Abril,  702 ,  1.180 ,  798 ,  1.195 ,  914 ,  876 ,  775 ,  1.116 ,  1.074 ,  1.336 ,  1.089 ,  1.438 ,  1.106 ,  936 ,  1.364 ,  849 ,  671 ,  888 ,  1.124 ,  1.021 ,  103 ,  572 ,  727 
Maio,  964 ,  1.062 ,  1.714 ,  1.096 ,  931 ,  905 ,  822 ,  1.225 ,  1.036 ,  1.247 ,  1.185 ,  1.394 ,  1.008 ,  1.074 ,  895 ,  851 ,  745 ,  871 ,  1.175 ,  988 ,  143 ,  637 ,  671 
Junho,  938 ,  1.022 ,  739 ,  1.139 ,  1.014 ,  918 ,  639 ,  1.047 ,  1.023 ,  980 ,  1.076 ,  1.244 ,  1.102 ,  963 ,  810 ,  723 ,  686 ,  873 ,  1.080 ,  1.043 ,  134 ,  698 ,  595 
Julho,  1.119 ,  1.041 ,  709 ,  1.034 ,  1.063 ,  872 ,  752 ,  1.206 ,  1.238 ,  987 ,  1.025 ,  1.325 ,  1.248 ,  1.032 ,  973 ,  778 ,  703 ,  1.003 ,  1.346 ,  1.086 ,  347 ,  715 ,
Agosto,  1.099 ,  1.016 ,  634 ,  780 ,  1.127 ,  584 ,  692 ,  1.036 ,  971 ,  1.015 ,  948 ,  1.396 ,  1.216 ,  895 ,  1.007 ,  733 ,  697 ,  995 ,  1.305 ,  1.153 ,  443 ,  819 ,
Setembro,  1.047 ,  652 ,  773 ,  961 ,  904 ,  547 ,  675 ,  864 ,  1.060 ,  1.015 ,  991 ,  1.365 ,  1.092 ,  876 ,  1.014 ,  701 ,  724 ,  942 ,  949 ,  1.045 ,  574 ,  784 ,
Outubro,  1.061 ,  814 ,  884 ,  861 ,  904 ,  631 ,  1.021 ,  1.045 ,  1.081 ,  1.040 ,  1.342 ,  1.399 ,  1.316 ,  987 ,  1.053 ,  740 ,  723 ,  1.127 ,  1.012 ,  1.157 ,  720 ,  983 ,
Novembro,  1.418 ,  968 ,  800 ,  789 ,  879 ,  658 ,  1.429 ,  985 ,  992 ,  1.214 ,  1.232 ,  1.410 ,  1.321 ,  1.069 ,  906 ,  774 ,  857 ,  1.073 ,  1.031 ,  1.250 ,  1.043 ,  1.044 ,
Dezembro,  1.405 ,  791 ,  965 ,  1.044 ,  877 ,  849 ,  1.338 ,  1.275 ,  1.133 ,  1.225 ,  1.501 ,  1.539 ,  1.208 ,  1.146 ,  992 ,  771 ,  1.003 ,  1.068 ,  1.199 ,  1.206 ,  1.175 ,  1.226 ,
