Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  5.706 ,  4.943 ,  4.260 ,  3.849 ,  2.300 ,  1.535 ,  1.869 ,  3.588 ,  3.341 ,  3.724 ,  4.017 ,  5.486 ,  7.018 ,  6.922 ,  7.387 ,  6.833 ,  6.507 ,  5.983 ,  5.744 ,  7.101 ,  6.496 ,  4.961 ,  6.047 
Fevereiro,  6.022 ,  3.947 ,  3.419 ,  2.824 ,  2.792 ,  1.618 ,  1.426 ,  2.891 ,  3.443 ,  3.116 ,  3.536 ,  5.887 ,  6.699 ,  6.106 ,  6.790 ,  6.297 ,  6.259 ,  4.975 ,  4.871 ,  6.122 ,  5.928 ,  4.012 ,  4.440 
Março,  5.936 ,  5.031 ,  3.632 ,  2.378 ,  2.583 ,  2.155 ,  2.031 ,  3.752 ,  3.912 ,  3.888 ,  4.702 ,  5.586 ,  7.384 ,  5.885 ,  7.418 ,  6.292 ,  6.147 ,  5.890 ,  5.932 ,  6.524 ,  4.931 ,  4.060 ,  5.385 
Abril,  5.129 ,  5.289 ,  3.843 ,  2.377 ,  2.709 ,  1.615 ,  1.755 ,  3.582 ,  3.541 ,  3.527 ,  4.551 ,  4.767 ,  6.800 ,  6.443 ,  6.671 ,  6.130 ,  5.865 ,  5.522 ,  5.925 ,  6.311 ,  1.869 ,  3.566 ,  6.208 
Maio,  6.069 ,  5.727 ,  4.540 ,  1.820 ,  2.437 ,  2.400 ,  1.889 ,  4.170 ,  3.363 ,  3.639 ,  5.341 ,  5.759 ,  7.394 ,  6.528 ,  7.689 ,  8.228 ,  5.919 ,  6.435 ,  5.200 ,  6.874 ,  2.309 ,  4.498 ,  7.095 
Junho,  5.597 ,  4.444 ,  4.457 ,  1.639 ,  3.274 ,  2.261 ,  2.501 ,  5.381 ,  6.352 ,  4.313 ,  5.184 ,  6.309 ,  7.064 ,  6.262 ,  6.676 ,  7.088 ,  8.005 ,  6.267 ,  6.878 ,  6.749 ,  2.209 ,  4.599 ,  6.972 
Julho,  5.654 ,  6.556 ,  2.959 ,  1.968 ,  2.941 ,  3.859 ,  3.564 ,  4.101 ,  4.634 ,  5.476 ,  6.034 ,  6.882 ,  7.624 ,  7.590 ,  7.715 ,  7.393 ,  6.293 ,  6.387 ,  7.654 ,  8.090 ,  2.506 ,  5.543 ,
Agosto,  5.522 ,  5.665 ,  2.667 ,  2.562 ,  2.517 ,  2.271 ,  4.363 ,  4.027 ,  3.898 ,  3.928 ,  5.536 ,  6.777 ,  9.225 ,  7.759 ,  9.168 ,  8.675 ,  6.219 ,  6.383 ,  8.007 ,  7.244 ,  2.628 ,  5.805 ,
Setembro,  6.170 ,  4.686 ,  2.093 ,  1.505 ,  2.554 ,  2.991 ,  4.867 ,  4.452 ,  4.274 ,  3.882 ,  6.094 ,  6.533 ,  4.512 ,  7.549 ,  9.829 ,  7.740 ,  5.797 ,  5.416 ,  7.473 ,  5.740 ,  2.829 ,  3.964 ,
Outubro,  5.431 ,  5.154 ,  4.255 ,  6.112 ,  2.082 ,  2.143 ,  3.413 ,  4.022 ,  3.968 ,  4.361 ,  5.817 ,  6.401 ,  7.021 ,  7.904 ,  7.769 ,  6.900 ,  5.870 ,  5.590 ,  6.754 ,  5.269 ,  3.738 ,  7.556 ,
Novembro,  5.072 ,  4.888 ,  4.234 ,  2.172 ,  2.100 ,  2.426 ,  2.925 ,  3.803 ,  3.713 ,  4.119 ,  5.064 ,  6.674 ,  6.542 ,  6.925 ,  6.974 ,  6.655 ,  5.153 ,  4.990 ,  6.180 ,  4.786 ,  3.911 ,  5.290 ,
Dezembro,  4.852 ,  4.703 ,  3.774 ,  2.378 ,  2.065 ,  2.134 ,  3.672 ,  3.462 ,  3.862 ,  3.831 ,  5.455 ,  6.670 ,  6.937 ,  7.151 ,  6.974 ,  6.759 ,  5.728 ,  5.293 ,  6.864 ,  5.790 ,  5.324 ,  5.910 ,
