Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.609 ,  2.787 ,  2.535 ,  2.649 ,  1.989 ,  1.822 ,  2.194 ,  3.263 ,  3.060 ,  2.929 ,  3.849 ,  5.506 ,  6.510 ,  5.685 ,  5.351 ,  4.532 ,  5.575 ,  5.364 ,  5.050 ,  4.561 ,  4.305 ,  2.927 ,  2.677 
Fevereiro,  2.705 ,  2.096 ,  2.154 ,  1.863 ,  1.848 ,  1.297 ,  1.908 ,  2.613 ,  2.741 ,  2.681 ,  3.723 ,  4.598 ,  5.672 ,  4.568 ,  4.221 ,  3.888 ,  4.779 ,  3.954 ,  3.921 ,  3.523 ,  3.300 ,  1.965 ,  2.095 
Março,  2.561 ,  2.257 ,  2.268 ,  2.180 ,  2.447 ,  1.706 ,  2.120 ,  2.808 ,  3.016 ,  3.029 ,  4.094 ,  5.067 ,  5.713 ,  4.780 ,  4.620 ,  3.966 ,  4.360 ,  4.253 ,  4.145 ,  3.275 ,  2.429 ,  1.427 ,  2.240 
Abril,  1.895 ,  2.169 ,  2.490 ,  2.381 ,  2.089 ,  1.658 ,  1.899 ,  2.575 ,  2.943 ,  2.991 ,  4.078 ,  4.967 ,  5.180 ,  4.966 ,  4.801 ,  3.590 ,  3.440 ,  3.666 ,  3.778 ,  3.307 ,  686 ,  1.030 ,  1.919 
Maio,  1.812 ,  2.203 ,  2.403 ,  2.170 ,  2.115 ,  1.827 ,  2.264 ,  2.817 ,  2.948 ,  3.282 ,  4.125 ,  4.904 ,  4.859 ,  4.302 ,  4.414 ,  3.500 ,  3.428 ,  4.035 ,  3.893 ,  3.445 ,  616 ,  1.430 ,  1.966 
Junho,  2.002 ,  2.112 ,  2.495 ,  2.111 ,  2.332 ,  1.735 ,  2.136 ,  2.804 ,  2.817 ,  2.914 ,  4.059 ,  5.140 ,  5.307 ,  4.476 ,  4.053 ,  3.412 ,  3.539 ,  3.942 ,  3.790 ,  3.448 ,  722 ,  1.612 ,  1.927 
Julho,  2.260 ,  2.736 ,  2.887 ,  2.267 ,  2.292 ,  2.008 ,  2.654 ,  3.038 ,  3.053 ,  3.263 ,  4.176 ,  5.593 ,  5.734 ,  5.078 ,  4.542 ,  4.850 ,  3.989 ,  4.506 ,  4.640 ,  4.556 ,  1.331 ,  2.285 ,
Agosto,  2.230 ,  2.445 ,  2.638 ,  2.241 ,  2.215 ,  2.009 ,  2.914 ,  2.886 ,  2.780 ,  3.256 ,  4.337 ,  5.421 ,  5.341 ,  4.374 ,  4.202 ,  4.069 ,  3.951 ,  4.332 ,  4.187 ,  3.495 ,  1.347 ,  2.313 ,
Setembro,  2.150 ,  2.218 ,  2.705 ,  1.940 ,  1.939 ,  1.933 ,  2.615 ,  2.745 ,  2.394 ,  3.262 ,  4.369 ,  4.950 ,  5.274 ,  3.954 ,  4.002 ,  3.949 ,  3.787 ,  4.130 ,  3.484 ,  3.242 ,  1.660 ,  2.247 ,
Outubro,  2.280 ,  2.745 ,  2.902 ,  1.972 ,  2.116 ,  2.288 ,  2.903 ,  3.087 ,  2.129 ,  3.764 ,  4.536 ,  5.669 ,  5.122 ,  4.204 ,  4.154 ,  4.577 ,  4.194 ,  4.387 ,  3.676 ,  3.529 ,  2.180 ,  2.421 ,
Novembro,  2.163 ,  2.624 ,  2.888 ,  1.746 ,  1.824 ,  2.219 ,  2.805 ,  2.866 ,  2.139 ,  3.588 ,  4.532 ,  6.010 ,  5.058 ,  4.576 ,  4.275 ,  4.824 ,  4.327 ,  4.561 ,  3.782 ,  3.458 ,  2.345 ,  2.240 ,
Dezembro,  2.294 ,  2.699 ,  2.712 ,  2.215 ,  1.925 ,  2.228 ,  3.029 ,  3.066 ,  2.580 ,  4.037 ,  5.230 ,  6.385 ,  5.566 ,  5.427 ,  4.638 ,  5.010 ,  4.723 ,  5.098 ,  4.241 ,  3.805 ,  3.245 ,  3.137 ,
