Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  9.615 ,  8.922 ,  10.259 ,  7.032 ,  6.249 ,  6.273 ,  10.567 ,  9.601 ,  11.370 ,  15.259 ,  18.543 ,  25.894 ,  27.395 ,  28.265 ,  29.519 ,  26.751 ,  29.560 ,  27.081 ,  27.521 ,  28.391 ,  24.893 ,  16.624 ,  18.349 
Fevereiro,  9.146 ,  9.514 ,  8.560 ,  6.989 ,  5.833 ,  5.630 ,  8.746 ,  8.681 ,  10.846 ,  13.368 ,  16.894 ,  23.366 ,  26.385 ,  25.373 ,  25.540 ,  22.524 ,  27.448 ,  21.316 ,  22.256 ,  22.788 ,  20.651 ,  9.596 ,  14.143 
Março,  8.980 ,  9.522 ,  10.510 ,  7.048 ,  6.879 ,  8.159 ,  10.911 ,  10.941 ,  12.370 ,  14.231 ,  19.068 ,  24.942 ,  29.426 ,  28.131 ,  25.945 ,  25.512 ,  25.849 ,  24.350 ,  24.720 ,  24.405 ,  15.606 ,  11.500 ,  17.301 
Abril,  7.907 ,  8.615 ,  10.702 ,  6.761 ,  6.303 ,  8.650 ,  9.571 ,  10.378 ,  12.518 ,  13.818 ,  18.497 ,  24.699 ,  27.390 ,  28.381 ,  25.570 ,  24.284 ,  24.519 ,  22.658 ,  24.888 ,  24.352 ,  3.055 ,  8.770 ,  18.658 
Maio,  8.642 ,  9.611 ,  9.554 ,  6.718 ,  6.839 ,  9.171 ,  11.346 ,  11.546 ,  13.448 ,  14.819 ,  19.154 ,  26.750 ,  29.785 ,  28.653 ,  28.621 ,  27.781 ,  24.053 ,  23.836 ,  22.865 ,  23.844 ,  3.248 ,  10.393 ,  20.086 
Junho,  7.973 ,  8.800 ,  9.598 ,  7.734 ,  7.037 ,  9.552 ,  10.634 ,  11.226 ,  13.396 ,  14.851 ,  18.132 ,  25.731 ,  28.394 ,  27.921 ,  29.258 ,  27.842 ,  23.627 ,  21.761 ,  24.677 ,  23.892 ,  2.880 ,  11.411 ,  19.134 
Julho,  11.274 ,  10.771 ,  7.136 ,  7.880 ,  7.691 ,  10.011 ,  11.128 ,  11.702 ,  13.749 ,  17.706 ,  20.974 ,  26.267 ,  31.794 ,  31.500 ,  29.596 ,  30.861 ,  25.223 ,  25.433 ,  26.922 ,  27.934 ,  4.410 ,  14.186 ,
Agosto,  8.312 ,  10.501 ,  9.036 ,  6.986 ,  7.840 ,  11.420 ,  11.087 ,  11.485 ,  13.803 ,  17.424 ,  21.270 ,  25.323 ,  31.149 ,  31.014 ,  29.906 ,  28.092 ,  24.303 ,  23.829 ,  25.195 ,  23.928 ,  6.247 ,  14.973 ,
Setembro,  8.434 ,  9.066 ,  13.708 ,  6.884 ,  7.436 ,  10.938 ,  10.783 ,  11.429 ,  14.029 ,  16.544 ,  20.889 ,  27.311 ,  29.016 ,  28.210 ,  28.401 ,  27.411 ,  22.328 ,  23.245 ,  24.398 ,  21.483 ,  7.156 ,  15.952 ,
Outubro,  8.896 ,  10.511 ,  9.175 ,  7.278 ,  6.455 ,  10.589 ,  10.809 ,  11.844 ,  14.021 ,  16.718 ,  21.425 ,  24.653 ,  29.396 ,  29.347 ,  28.426 ,  28.161 ,  22.264 ,  23.545 ,  23.061 ,  22.324 ,  9.440 ,  16.194 ,
Novembro,  7.981 ,  9.091 ,  8.929 ,  6.238 ,  6.145 ,  9.743 ,  9.697 ,  12.007 ,  14.700 ,  16.241 ,  20.890 ,  24.574 ,  26.607 ,  27.407 ,  26.809 ,  26.463 ,  22.087 ,  22.697 ,  21.749 ,  19.984 ,  11.138 ,  16.114 ,
Dezembro,  8.820 ,  9.458 ,  7.315 ,  7.185 ,  6.771 ,  9.692 ,  10.523 ,  12.273 ,  15.045 ,  17.192 ,  24.298 ,  24.162 ,  28.571 ,  29.084 ,  27.792 ,  28.387 ,  24.345 ,  25.827 ,  24.669 ,  23.656 ,  15.003 ,  18.433 ,
