Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.278 ,  1.820 ,  1.936 ,  2.486 ,  2.062 ,  1.989 ,  2.083 ,  2.095 ,  2.355 ,  2.569 ,  3.132 ,  3.724 ,  3.741 ,  3.473 ,  3.089 ,  3.422 ,  3.541 ,  2.349 ,  2.753 ,  3.200 ,  2.410 ,  1.636 ,  2.228 
Fevereiro,  2.265 ,  1.624 ,  1.999 ,  2.126 ,  1.816 ,  1.709 ,  1.707 ,  2.049 ,  2.069 ,  2.312 ,  2.765 ,  3.631 ,  3.240 ,  2.850 ,  2.892 ,  3.050 ,  2.551 ,  1.958 ,  2.401 ,  2.479 ,  2.187 ,  1.317 ,  1.680 
Março,  2.168 ,  2.015 ,  2.213 ,  2.319 ,  2.369 ,  2.025 ,  2.345 ,  2.299 ,  2.448 ,  2.707 ,  3.620 ,  3.600 ,  3.554 ,  3.281 ,  3.145 ,  3.334 ,  2.904 ,  2.871 ,  2.945 ,  2.708 ,  1.478 ,  1.057 ,  2.485 
Abril,  1.747 ,  2.262 ,  2.229 ,  2.691 ,  2.404 ,  1.924 ,  2.021 ,  2.104 ,  2.064 ,  2.793 ,  3.326 ,  3.397 ,  3.443 ,  3.201 ,  3.424 ,  3.542 ,  2.729 ,  2.544 ,  3.213 ,  2.779 ,  527 ,  755 ,  1.606 
Maio,  1.671 ,  2.458 ,  2.495 ,  1.982 ,  2.246 ,  2.216 ,  2.099 ,  2.572 ,  3.470 ,  2.971 ,  3.712 ,  3.782 ,  3.732 ,  3.877 ,  3.336 ,  3.332 ,  2.842 ,  2.842 ,  3.211 ,  3.130 ,  601 ,  812 ,  1.254 
Junho,  1.538 ,  2.243 ,  2.590 ,  2.486 ,  2.822 ,  2.513 ,  2.078 ,  3.010 ,  2.372 ,  2.796 ,  3.565 ,  3.314 ,  4.456 ,  3.289 ,  2.972 ,  3.180 ,  2.987 ,  2.841 ,  2.317 ,  2.362 ,  472 ,  822 ,  1.016 
Julho,  1.849 ,  2.256 ,  2.622 ,  2.249 ,  2.406 ,  2.343 ,  2.546 ,  2.542 ,  2.675 ,  3.356 ,  3.722 ,  3.786 ,  4.112 ,  3.733 ,  3.462 ,  3.037 ,  2.334 ,  2.684 ,  3.053 ,  2.667 ,  511 ,  838 ,
Agosto,  1.894 ,  2.407 ,  1.867 ,  2.494 ,  2.482 ,  2.351 ,  2.458 ,  2.776 ,  2.842 ,  3.166 ,  4.509 ,  3.887 ,  4.274 ,  3.111 ,  3.898 ,  3.379 ,  2.471 ,  2.715 ,  2.869 ,  2.818 ,  636 ,  1.213 ,
Setembro,  1.631 ,  2.210 ,  3.054 ,  2.162 ,  2.380 ,  2.026 ,  2.190 ,  2.808 ,  2.553 ,  3.245 ,  3.994 ,  4.091 ,  3.286 ,  2.479 ,  3.276 ,  3.367 ,  2.437 ,  2.694 ,  2.477 ,  2.381 ,  770 ,  1.116 ,
Outubro,  1.959 ,  2.494 ,  2.539 ,  2.550 ,  2.210 ,  2.191 ,  2.088 ,  2.718 ,  2.766 ,  3.530 ,  3.913 ,  3.731 ,  3.868 ,  2.840 ,  3.320 ,  3.380 ,  2.316 ,  2.764 ,  2.722 ,  2.550 ,  1.111 ,  1.323 ,
Novembro,  1.786 ,  2.439 ,  3.294 ,  2.193 ,  2.009 ,  2.071 ,  2.365 ,  2.366 ,  2.535 ,  2.648 ,  3.800 ,  3.753 ,  3.532 ,  2.966 ,  3.184 ,  3.487 ,  2.063 ,  2.578 ,  2.776 ,  2.223 ,  994 ,  1.400 ,
Dezembro,  1.823 ,  2.313 ,  2.576 ,  2.157 ,  1.957 ,  2.116 ,  2.442 ,  2.512 ,  2.578 ,  3.032 ,  3.938 ,  3.827 ,  3.787 ,  2.969 ,  3.537 ,  3.454 ,  2.247 ,  2.962 ,  3.123 ,  2.435 ,  1.442 ,  2.141 ,
