Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  2.567 ,  2.694 ,  2.186 ,  2.291 ,  1.497 ,  1.641 ,  1.762 ,  2.334 ,  3.492 ,  3.733 ,  4.152 ,  6.296 ,  7.379 ,  7.277 ,  8.228 ,  8.060 ,  6.348 ,  4.717 ,  5.567 ,  6.503 ,  4.915 ,  4.056 ,  6.454 
Fevereiro,  2.677 ,  2.845 ,  2.054 ,  1.601 ,  1.566 ,  1.692 ,  1.637 ,  1.954 ,  3.129 ,  3.330 ,  3.584 ,  5.664 ,  6.040 ,  6.484 ,  7.123 ,  6.177 ,  5.073 ,  3.921 ,  4.118 ,  5.291 ,  4.321 ,  2.772 ,  4.973 
Março,  2.505 ,  2.809 ,  2.203 ,  2.228 ,  1.832 ,  1.826 ,  1.901 ,  2.493 ,  2.879 ,  3.435 ,  4.590 ,  5.849 ,  6.544 ,  7.255 ,  7.419 ,  6.868 ,  5.558 ,  4.560 ,  5.195 ,  5.744 ,  3.920 ,  2.399 ,  6.815 
Abril,  2.974 ,  2.538 ,  2.387 ,  1.962 ,  1.717 ,  1.757 ,  1.594 ,  2.990 ,  3.850 ,  3.636 ,  4.402 ,  5.634 ,  5.844 ,  7.328 ,  7.937 ,  5.960 ,  4.604 ,  4.466 ,  5.366 ,  5.767 ,  605 ,  1.882 ,  4.523 
Maio,  3.055 ,  2.439 ,  2.191 ,  1.713 ,  1.725 ,  2.027 ,  2.472 ,  2.522 ,  3.407 ,  3.227 ,  5.352 ,  5.956 ,  6.094 ,  6.245 ,  6.889 ,  6.182 ,  4.245 ,  4.768 ,  4.915 ,  5.516 ,  982 ,  2.229 ,  3.521 
Junho,  2.625 ,  2.117 ,  2.167 ,  1.569 ,  1.689 ,  1.881 ,  1.745 ,  2.796 ,  3.384 ,  3.369 ,  4.979 ,  6.189 ,  6.160 ,  5.762 ,  6.982 ,  6.251 ,  3.940 ,  4.352 ,  4.817 ,  4.756 ,  1.144 ,  2.701 ,  2.337 
Julho,  3.174 ,  2.523 ,  1.589 ,  1.668 ,  1.845 ,  1.864 ,  1.913 ,  3.308 ,  3.749 ,  3.700 ,  5.423 ,  6.686 ,  7.113 ,  6.462 ,  6.772 ,  6.361 ,  3.812 ,  4.514 ,  5.760 ,  5.460 ,  1.450 ,  3.018 ,
Agosto,  2.527 ,  2.660 ,  2.473 ,  1.345 ,  1.873 ,  1.839 ,  1.762 ,  3.336 ,  3.418 ,  3.682 ,  5.577 ,  6.595 ,  6.276 ,  6.057 ,  6.665 ,  6.167 ,  3.934 ,  4.313 ,  5.112 ,  5.439 ,  2.203 ,  3.444 ,
Setembro,  2.770 ,  2.506 ,  2.617 ,  1.583 ,  1.795 ,  1.880 ,  1.723 ,  3.049 ,  3.395 ,  3.413 ,  5.034 ,  6.111 ,  5.905 ,  5.677 ,  6.483 ,  6.246 ,  3.871 ,  4.437 ,  4.972 ,  4.428 ,  2.390 ,  3.553 ,
Outubro,  2.707 ,  2.573 ,  2.276 ,  1.644 ,  1.919 ,  1.878 ,  1.884 ,  3.577 ,  3.634 ,  3.676 ,  5.173 ,  6.547 ,  6.615 ,  6.569 ,  6.727 ,  6.338 ,  3.864 ,  4.849 ,  5.597 ,  4.495 ,  2.662 ,  3.903 ,
Novembro,  2.883 ,  2.327 ,  1.776 ,  1.392 ,  1.743 ,  1.731 ,  1.967 ,  3.354 ,  3.492 ,  3.558 ,  5.660 ,  6.766 ,  6.565 ,  7.183 ,  6.786 ,  6.565 ,  4.159 ,  5.303 ,  5.622 ,  4.661 ,  3.173 ,  4.084 ,
Dezembro,  3.021 ,  2.111 ,  1.842 ,  1.646 ,  1.951 ,  1.974 ,  2.467 ,  3.466 ,  3.645 ,  3.943 ,  5.707 ,  7.035 ,  6.862 ,  7.997 ,  7.641 ,  6.727 ,  4.731 ,  5.237 ,  6.136 ,  4.966 ,  3.427 ,  5.201 ,
