Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  51.931 ,  62.101 ,  56.712 ,  53.969 ,  41.853 ,  54.349 ,  59.110 ,  61.265 ,  69.262 ,  74.723 ,  79.314 ,  89.747 ,  111.780 ,  112.804 ,  112.839 ,  109.011 ,  99.421 ,  95.225 ,  99.234 ,  95.639 ,  89.051 ,  36.137 ,  47.189 
Fevereiro,  47.386 ,  54.489 ,  48.174 ,  44.971 ,  41.132 ,  50.259 ,  48.334 ,  57.735 ,  61.751 ,  66.033 ,  71.369 ,  82.844 ,  106.223 ,  102.727 ,  97.472 ,  97.794 ,  92.803 ,  84.587 ,  85.390 ,  78.437 ,  77.527 ,  26.094 ,  42.126 
Março,  48.686 ,  61.124 ,  55.758 ,  38.083 ,  46.628 ,  55.623 ,  62.530 ,  66.456 ,  67.059 ,  70.998 ,  77.123 ,  92.922 ,  115.380 ,  114.045 ,  101.643 ,  105.401 ,  94.404 ,  91.649 ,  88.708 ,  83.961 ,  56.383 ,  25.780 ,  48.116 
Abril,  48.821 ,  58.138 ,  54.039 ,  50.337 ,  43.787 ,  52.796 ,  50.795 ,  60.292 ,  62.864 ,  67.180 ,  73.819 ,  85.435 ,  108.693 ,  109.569 ,  97.761 ,  101.068 ,  92.214 ,  87.375 ,  87.487 ,  72.326 ,  6.476 ,  21.790 ,  47.319 
Maio,  50.667 ,  59.576 ,  49.038 ,  41.940 ,  44.927 ,  55.233 ,  57.458 ,  57.353 ,  64.990 ,  66.819 ,  79.308 ,  92.516 ,  112.155 ,  111.153 ,  103.298 ,  106.067 ,  98.242 ,  89.883 ,  93.595 ,  75.037 ,  8.349 ,  25.404 ,  48.620 
Junho,  47.660 ,  57.659 ,  51.249 ,  40.462 ,  48.032 ,  52.729 ,  49.531 ,  56.679 ,  63.191 ,  64.454 ,  76.029 ,  89.187 ,  107.165 ,  108.046 ,  106.014 ,  101.048 ,  98.092 ,  88.421 ,  86.116 ,  71.990 ,  10.910 ,  25.413 ,  46.534 
Julho,  50.791 ,  60.890 ,  48.139 ,  41.608 ,  52.161 ,  53.016 ,  49.091 ,  65.888 ,  69.276 ,  71.235 ,  83.245 ,  98.062 ,  114.671 ,  117.020 ,  120.829 ,  110.941 ,  109.251 ,  95.886 ,  91.641 ,  82.414 ,  15.371 ,  32.576 ,
Agosto,  44.984 ,  63.223 ,  61.614 ,  40.273 ,  51.039 ,  59.992 ,  48.730 ,  63.202 ,  64.624 ,  74.252 ,  87.547 ,  99.265 ,  114.751 ,  111.221 ,  110.824 ,  108.825 ,  116.800 ,  93.107 ,  87.334 ,  76.893 ,  18.357 ,  31.980 ,
Setembro,  46.688 ,  55.593 ,  55.174 ,  41.341 ,  48.807 ,  53.968 ,  48.206 ,  60.309 ,  63.958 ,  73.367 ,  83.964 ,  98.136 ,  108.375 ,  103.265 ,  102.147 ,  98.603 ,  100.128 ,  92.590 ,  87.085 ,  74.509 ,  21.763 ,  33.957 ,
Outubro,  49.572 ,  56.644 ,  54.999 ,  44.156 ,  48.756 ,  55.917 ,  51.567 ,  61.675 ,  68.690 ,  75.734 ,  85.334 ,  99.600 ,  111.863 ,  104.106 ,  106.085 ,  100.408 ,  94.001 ,  92.194 ,  86.662 ,  78.019 ,  25.185 ,  34.442 ,
Novembro,  62.581 ,  53.179 ,  50.986 ,  38.766 ,  54.292 ,  54.269 ,  53.286 ,  63.452 ,  66.469 ,  69.839 ,  82.972 ,  101.138 ,  107.253 ,  101.092 ,  104.229 ,  94.783 ,  87.753 ,  89.971 ,  83.144 ,  73.094 ,  26.182 ,  38.486 ,
Dezembro,  62.199 ,  56.834 ,  50.676 ,  43.857 ,  54.344 ,  55.650 ,  58.795 ,  65.665 ,  71.075 ,  76.526 ,  88.700 ,  105.244 ,  111.506 ,  107.234 ,  110.275 ,  96.347 ,  93.352 ,  94.215 ,  91.121 ,  82.347 ,  34.900 ,  45.927 ,
