Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  3.747 ,  4.332 ,  4.180 ,  4.603 ,  5.403 ,  6.869 ,  8.618 ,  8.197 ,  7.733 ,  8.230 ,  9.259 ,  10.926 ,  9.755 ,  10.135 ,  9.507 ,  11.001 ,  11.600 ,  10.846 ,  9.123 ,  9.076 ,  8.939 ,  6.806 ,  8.699 
Fevereiro,  3.590 ,  3.829 ,  3.749 ,  3.128 ,  4.325 ,  5.348 ,  6.005 ,  7.021 ,  6.912 ,  6.415 ,  8.265 ,  8.783 ,  8.611 ,  8.029 ,  7.168 ,  7.192 ,  7.188 ,  7.423 ,  6.747 ,  6.523 ,  6.732 ,  3.980 ,  5.915 
Março,  3.898 ,  4.618 ,  3.664 ,  4.706 ,  6.441 ,  7.149 ,  8.489 ,  7.202 ,  7.316 ,  6.929 ,  8.646 ,  9.440 ,  8.267 ,  7.986 ,  7.945 ,  7.208 ,  7.039 ,  7.422 ,  7.014 ,  6.510 ,  4.829 ,  3.505 ,  6.146 
Abril,  3.590 ,  3.352 ,  3.459 ,  4.830 ,  5.204 ,  5.904 ,  5.880 ,  7.354 ,  6.772 ,  6.608 ,  7.986 ,  8.683 ,  7.844 ,  7.293 ,  7.629 ,  6.670 ,  6.018 ,  6.687 ,  6.350 ,  5.923 ,  915 ,  2.024 ,  5.313 
Maio,  3.629 ,  4.350 ,  4.016 ,  3.988 ,  4.199 ,  5.047 ,  6.021 ,  6.188 ,  6.009 ,  6.188 ,  8.479 ,  8.369 ,  8.213 ,  7.300 ,  7.462 ,  6.942 ,  6.506 ,  6.811 ,  6.478 ,  5.751 ,  839 ,  2.995 ,  5.764 
Junho,  4.115 ,  3.129 ,  3.088 ,  3.157 ,  4.389 ,  4.535 ,  5.191 ,  5.999 ,  5.960 ,  8.347 ,  7.772 ,  8.256 ,  8.077 ,  7.197 ,  9.272 ,  7.252 ,  6.249 ,  6.592 ,  6.527 ,  5.208 ,  1.107 ,  3.838 ,  5.321 
Julho,  3.418 ,  4.537 ,  4.757 ,  6.217 ,  5.542 ,  6.503 ,  6.021 ,  8.547 ,  7.884 ,  7.296 ,  9.547 ,  9.120 ,  10.060 ,  8.182 ,  7.480 ,  8.910 ,  7.366 ,  8.747 ,  9.583 ,  7.330 ,  1.314 ,  6.454 ,
Agosto,  2.605 ,  3.093 ,  5.118 ,  4.520 ,  7.018 ,  6.483 ,  7.916 ,  7.273 ,  7.211 ,  7.094 ,  9.451 ,  9.533 ,  8.764 ,  7.436 ,  6.785 ,  8.158 ,  7.043 ,  7.854 ,  7.213 ,  6.048 ,  1.530 ,  5.384 ,
Setembro,  2.785 ,  2.999 ,  4.699 ,  6.547 ,  6.056 ,  6.027 ,  6.383 ,  7.361 ,  5.785 ,  6.814 ,  8.286 ,  9.258 ,  8.493 ,  7.259 ,  6.653 ,  6.873 ,  7.205 ,  5.791 ,  6.600 ,  6.141 ,  2.155 ,  5.054 ,
Outubro,  3.326 ,  3.426 ,  4.929 ,  4.294 ,  5.938 ,  6.266 ,  6.085 ,  6.589 ,  5.691 ,  7.299 ,  9.241 ,  9.192 ,  9.024 ,  8.953 ,  7.473 ,  7.925 ,  7.969 ,  6.457 ,  7.162 ,  6.191 ,  3.533 ,  5.582 ,
Novembro,  4.107 ,  3.992 ,  4.052 ,  4.642 ,  10.166 ,  6.943 ,  6.454 ,  6.821 ,  9.093 ,  6.944 ,  13.205 ,  9.211 ,  9.499 ,  11.487 ,  8.010 ,  8.145 ,  7.920 ,  7.530 ,  11.003 ,  6.425 ,  3.875 ,  5.622 ,
Dezembro,  4.449 ,  3.970 ,  4.364 ,  5.384 ,  6.115 ,  7.625 ,  7.763 ,  7.577 ,  6.455 ,  8.295 ,  10.168 ,  9.315 ,  9.600 ,  9.194 ,  8.478 ,  9.343 ,  9.001 ,  8.529 ,  9.110 ,  7.743 ,  5.040 ,  7.303 ,
