Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  394 ,  747 ,  541 ,  286 ,  156 ,  268 ,  386 ,  284 ,  413 ,  385 ,  446 ,  563 ,  1.108 ,  839 ,  713 ,  598 ,  737 ,  607 ,  672 ,  834 ,  750 ,  548 ,  943 
Fevereiro,  376 ,  516 ,  669 ,  246 ,  132 ,  250 ,  384 ,  260 ,  448 ,  343 ,  385 ,  596 ,  900 ,  711 ,  576 ,  656 ,  473 ,  522 ,  522 ,  629 ,  651 ,  458 ,  682 
Março,  379 ,  757 ,  555 ,  246 ,  682 ,  389 ,  447 ,  332 ,  332 ,  390 ,  560 ,  623 ,  1.097 ,  901 ,  624 ,  703 ,  497 ,  634 ,  615 ,  644 ,  434 ,  488 ,  921 
Abril,  273 ,  803 ,  958 ,  273 ,  165 ,  382 ,  380 ,  322 ,  456 ,  394 ,  482 ,  684 ,  1.031 ,  948 ,  596 ,  654 ,  384 ,  574 ,  567 ,  560 ,  67 ,  268 ,  906 
Maio,  434 ,  798 ,  487 ,  243 ,  209 ,  495 ,  464 ,  368 ,  402 ,  381 ,  470 ,  739 ,  984 ,  828 ,  638 ,  416 ,  464 ,  533 ,  588 ,  520 ,  72 ,  398 ,  848 
Junho,  367 ,  479 ,  529 ,  300 ,  258 ,  556 ,  520 ,  415 ,  418 ,  388 ,  519 ,  867 ,  946 ,  589 ,  496 ,  362 ,  467 ,  499 ,  477 ,  485 ,  100 ,  427 ,  690 
Julho,  414 ,  886 ,  100 ,  249 ,  273 ,  482 ,  494 ,  458 ,  541 ,  415 ,  554 ,  1.005 ,  925 ,  657 ,  625 ,  390 ,  529 ,  576 ,  748 ,  647 ,  209 ,  559 ,
Agosto,  546 ,  999 ,  -   ,  309 ,  410 ,  581 ,  445 ,  441 ,  384 ,  465 ,  581 ,  1.076 ,  858 ,  488 ,  527 ,  298 ,  460 ,  528 ,  605 ,  474 ,  254 ,  594 ,
Setembro,  882 ,  582 ,  126 ,  284 ,  376 ,  533 ,  259 ,  458 ,  392 ,  462 ,  551 ,  991 ,  843 ,  462 ,  574 ,  456 ,  479 ,  464 ,  613 ,  618 ,  295 ,  577 ,
Outubro,  854 ,  773 ,  278 ,  181 ,  307 ,  570 ,  493 ,  410 ,  454 ,  460 ,  537 ,  1.000 ,  849 ,  628 ,  582 ,  717 ,  501 ,  555 ,  721 ,  700 ,  466 ,  630 ,
Novembro,  837 ,  497 ,  443 ,  204 ,  354 ,  423 ,  469 ,  402 ,  479 ,  515 ,  544 ,  1.067 ,  781 ,  656 ,  662 ,  706 ,  503 ,  636 ,  682 ,  624 ,  412 ,  611 ,
Dezembro,  745 ,  480 ,  474 ,  212 ,  367 ,  458 ,  483 ,  362 ,  487 ,  531 ,  657 ,  1.162 ,  859 ,  772 ,  709 ,  587 ,  596 ,  742 ,  843 ,  689 ,  507 ,  653 ,
