Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Janeiro,  319 ,  267 ,  217 ,  241 ,  102 ,  77 ,  34 ,  46 ,  40 ,  38 ,  11 ,  5 ,  -   
Fevereiro,  283 ,  201 ,  243 ,  159 ,  130 ,  104 ,  43 ,  36 ,  21 ,  30 ,  10 ,  5 ,  -   
Março,  274 ,  287 ,  307 ,  160 ,  95 ,  74 ,  70 ,  28 ,  16 ,  25 ,  16 ,  6 ,  6 
Abril,  272 ,  222 ,  213 ,  171 ,  84 ,  61 ,  36 ,  21 ,  20 ,  40 ,  -   ,  -   ,  -   
Maio,  305 ,  269 ,  235 ,  181 ,  85 ,  84 ,  40 ,  25 ,  15 ,  17 ,  20 ,  11 ,  5 
Junho,  312 ,  245 ,  201 ,  160 ,  140 ,  70 ,  55 ,  25 ,  15 ,  10 ,  -   ,  -   ,  5 
Julho,  251 ,  208 ,  256 ,  176 ,  133 ,  75 ,  50 ,  36 ,  20 ,  11 ,  5 ,  6 ,  -   
Agosto,  257 ,  214 ,  238 ,  233 ,  163 ,  75 ,  40 ,  25 ,  15 ,  11 ,  6 ,  5 ,  -   
Setembro,  295 ,  227 ,  272 ,  123 ,  139 ,  52 ,  40 ,  21 ,  23 ,  16 ,  5 ,  6 ,  -   
Outubro,  248 ,  219 ,  239 ,  163 ,  180 ,  82 ,  41 ,  30 ,  10 ,  5 ,  10 ,  -   ,  -   
Novembro,  267 ,  257 ,  189 ,  137 ,  101 ,  55 ,  31 ,  15 ,  5 ,  10 ,  6 ,  -   ,  -   
Dezembro,  218 ,  324 ,  156 ,  150 ,  124 ,  73 ,  25 ,  15 ,  28 ,  7 ,  -   ,  5 ,  -   
